# Table of selected background quantitites
# All densities are mutiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_ncdm[0]        13:(.)rho_lambda         14:(.)rho_ur             15:(.)rho_crit           16:gr.fac. D             17:gr.fac. f          
       1.000000000000e+14       7.555732043223e-26       4.632966010831e-09       2.158337376331e+22       1.418607626259e+04       1.418607626259e-10       1.418607626259e+18       2.674976931415e-09       2.753580214648e+44       2.475646374719e+33       1.324053566704e+34       6.336118327401e+43       3.511370374088e-08       1.271228182523e+44       4.658420230068e+44       5.366626187701e-18       2.000000000017e+00 
       9.930486593843e+13       7.661882522698e-26       4.665707820095e-09       2.128434993113e+22       1.418607626259e+04       1.428537879643e-10       1.408746401449e+18       2.693701769935e-09       2.677810562215e+44       2.424377237712e+33       1.296633219271e+34       6.161768772997e+43       3.511370374088e-08       1.236248080240e+44       4.530235519909e+44       5.442021919013e-18       2.000000000016e+00 
       9.861456399050e+13       7.769524310259e-26       4.698449629359e-09       2.098946888280e+22       1.418607626259e+04       1.438537644801e-10       1.398953725371e+18       2.712557682324e-09       2.604125846403e+44       2.374169853480e+33       1.269780730625e+34       5.992216756383e+43       3.511370374088e-08       1.202230517628e+44       4.405578039820e+44       5.518476884953e-18       2.000000000014e+00 
       9.792906056653e+13       7.878678357294e-26       4.731191438623e-09       2.069867322270e+22       1.418607626259e+04       1.448607408314e-10       1.389229121521e+18       2.731545586100e-09       2.532468696478e+44       2.325002233767e+33       1.243484340756e+34       5.827330264783e+43       3.511370374088e-08       1.169149008696e+44       4.284350731800e+44       5.596005966711e-18       2.000000000013e+00 
       9.724832231036e+13       7.989365909536e-26       4.763933247887e-09       2.041190635038e+22       1.418607626259e+04       1.458747660172e-10       1.379572116704e+18       2.750666405203e-09       2.462783320360e+44       2.276852845679e+33       1.217732533195e+34       5.666980917985e+43       3.511370374088e-08       1.136977796265e+44       4.166459208568e+44       5.674624254538e-18       2.000000000012e+00 
       9.657231609767e+13       8.101608511199e-26       4.798494046554e-09       2.012911244958e+22       1.418607626259e+04       1.468958893794e-10       1.369982241017e+18       2.769921070039e-09       2.395015461189e+44       2.229700602256e+33       1.192514029970e+34       5.511043868389e+43       3.511370374088e-08       1.105691831909e+44       4.051811680079e+44       5.754347050690e-18       2.000000000011e+00 
       9.590100903443e+13       8.215428009173e-26       4.831235855818e-09       1.985023647731e+22       1.418607626259e+04       1.479241606050e-10       1.360459027822e+18       2.789310517529e-09       2.329112355080e+44       2.183524853235e+33       1.167817786674e+34       5.359397703796e+43       3.511370374088e-08       1.075266756454e+44       3.940318882053e+44       5.835189872406e-18       2.000000000010e+00 
       9.523436845525e+13       8.330846557273e-26       4.865796654485e-09       1.957522415319e+22       1.418607626259e+04       1.489596297292e-10       1.351002013726e+18       2.808835691152e-09       2.265022690039e+44       2.138305376010e+33       1.143632987619e+34       5.211924352881e+43       3.511370374088e-08       1.045678881013e+44       3.831894006476e+44       5.917168454923e-18       2.000000000009e+00 
       9.457236192179e+13       8.447886620556e-26       4.898538463749e-09       1.930402194883e+22       1.418607626259e+04       1.500023471373e-10       1.341610738556e+18       2.828497540990e-09       2.202696566012e+44       2.094022366770e+33       1.119949041104e+34       5.068508993262e+43       3.511370374088e-08       1.016905168539e+44       3.726452634010e+44       6.000298754547e-18       2.000000000007e+00 
       9.391495722125e+13       8.566570979688e-26       4.933099262416e-09       1.903657707747e+22       1.418607626259e+04       1.510523635673e-10       1.332284745339e+18       2.848297023777e-09       2.142085456034e+44       2.050656431831e+33       1.096755574777e+34       4.929039962097e+43       3.511370374088e-08       9.889232158914e+43       3.623912668265e+44       6.084596951750e-18       2.000000000006e+00 
