# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.503626335532e-10       5.425613688081e-15       4.079100557034e-13       2.641727797037e-16       8.308286378049e-09       4.670552353574e-10      -2.104869637139e-12 
    3       1.409557318236e-10       7.816427524121e-15       4.722129408445e-13       2.806796567171e-16       5.183592273163e-09       3.320705144670e-10      -1.704479303177e-12 
    4       1.328381402261e-10       7.754222703251e-15       4.591976525100e-13       2.552802392324e-16       3.611719298632e-09       2.515764750109e-10      -1.228696910581e-12 
    5       1.268077426315e-10       6.042081437938e-15       4.072964006491e-13       2.085808244837e-16       2.696370110333e-09       1.987351476403e-10      -7.976198212491e-13 
    6       1.225720584378e-10       3.922324429283e-15       3.408859708974e-13       1.581673505141e-16       2.104748697836e-09       1.617069605852e-10      -4.483378773834e-13 
    7       1.197849905261e-10       2.257028910782e-15       2.755609706209e-13       1.149804283832e-16       1.695664847367e-09       1.345673351033e-10      -1.918145496600e-13 
    8       1.180274069532e-10       1.297586104968e-15       2.196453742290e-13       8.371967379809e-17       1.399716670625e-09       1.139529686063e-10      -2.393086751264e-14 
    9       1.170789780910e-10       8.839626949725e-16       1.767945846103e-13       6.479933820353e-17       1.178154465411e-09       9.784175327000e-11       6.824405779710e-14 
   10       1.167368250481e-10       7.410302833875e-16       1.476491620960e-13       5.635808371452e-17       1.007220003405e-09       8.502135025456e-11       1.023609770633e-13 
   11       1.168429085821e-10       6.721455929859e-16       1.309932901573e-13       5.576200886476e-17       8.477988549064e-10       7.495841332194e-11       9.729035397501e-14 
   12       1.173527694406e-10       6.049675083819e-16       1.243662075348e-13       6.047056312692e-17       7.405335735783e-10       6.638850118487e-11       7.081093738771e-14 
   13       1.181111684830e-10       5.453367426465e-16       1.248783728401e-13       6.853344943238e-17       6.525062591496e-10       5.924913104871e-11       3.675713913134e-14 
   14       1.190483550641e-10       5.159863431107e-16       1.299175418420e-13       7.855653504178e-17       5.792806456660e-10       5.308905402502e-11       4.816926226874e-15 
   15       1.201851085978e-10       5.240198983738e-16       1.373257312966e-13       8.974812469521e-17       5.176619324147e-10       4.791689455371e-11      -1.909943590499e-14 
   16       1.215120709560e-10       5.606079817659e-16       1.455187033859e-13       1.016694153900e-16       4.652858263111e-10       4.354027900029e-11      -3.300124278393e-14 
   17       1.229063419594e-10       6.140850102086e-16       1.536368447062e-13       1.141183466532e-16       4.203671337111e-10       3.974592725641e-11      -3.757521467372e-14 
   18       1.244151609026e-10       6.796519788049e-16       1.612832076580e-13       1.270306589713e-16       3.813877775151e-10       3.634288186538e-11      -3.524267987078e-14 
   19       1.260510837057e-10       7.609268607642e-16       1.685096427704e-13       1.403794467561e-16       3.477285462190e-10       3.332126933035e-11      -2.853227281879e-14 
   20       1.277382482069e-10       8.636258333332e-16       1.755289790321e-13       1.541508601794e-16       3.180896963188e-10       3.065937561134e-11      -2.053546165450e-14 
   21       1.294902813562e-10       9.908103394999e-16       1.826173731962e-13       1.683378947727e-16       2.920042402243e-10       2.833343458979e-11      -1.314259101222e-14 
   22       1.313143925725e-10       1.143869005583e-15       1.900478830517e-13       1.829407674025e-16       2.688467698817e-10       2.627654513728e-11      -7.859304452245e-15 
   23       1.331991014716e-10       1.321638016481e-15       1.978161493675e-13       1.979497009817e-16       2.482976262405e-10       2.444062542226e-11      -5.090292622554e-15 
