# dimensionless [l(l+1)/2pi] C_l's for scalar mode
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.432098496468e-10       5.272426220042e-15       4.008487544101e-13       0.000000000000e+00       8.308286378049e-09       4.670552353574e-10      -2.104869637139e-12 
    3       1.351586148020e-10       7.641222756597e-15       4.737818072868e-13       0.000000000000e+00       5.183592273163e-09       3.320705144670e-10      -1.704479303177e-12 
    4       1.274468295682e-10       7.585206865382e-15       4.634967191261e-13       0.000000000000e+00       3.611719298632e-09       2.515764750109e-10      -1.228696910581e-12 
    5       1.215377925177e-10       5.900541787150e-15       4.121285643925e-13       0.000000000000e+00       2.696370110333e-09       1.987351476403e-10      -7.976198212491e-13 
    6       1.173472834673e-10       3.815046482548e-15       3.454395886331e-13       0.000000000000e+00       2.104748697836e-09       1.617069605852e-10      -4.483378773834e-13 
    7       1.145665274410e-10       2.179648889102e-15       2.795942383276e-13       0.000000000000e+00       1.695664847367e-09       1.345673351033e-10      -1.918145496600e-13 
    8       1.127953377684e-10       1.240275433674e-15       2.231850538648e-13       0.000000000000e+00       1.399716670625e-09       1.139529686063e-10      -2.393086751264e-14 
    9       1.118236915883e-10       8.361675729544e-16       1.799748521985e-13       0.000000000000e+00       1.178154465411e-09       9.784175327000e-11       6.824405779710e-14 
   10       1.114546904774e-10       6.941597244981e-16       1.506294294661e-13       0.000000000000e+00       1.007220003405e-09       8.502135025456e-11       1.023609770633e-13 
   11       1.115337355670e-10       6.203857499539e-16       1.339220714508e-13       0.000000000000e+00       8.477988549064e-10       7.495841332194e-11       9.729035397501e-14 
   12       1.120182620781e-10       5.448961657464e-16       1.273690102722e-13       0.000000000000e+00       7.405335735783e-10       6.638850118487e-11       7.081093738771e-14 
   13       1.127540703036e-10       4.751814152751e-16       1.280563597405e-13       0.000000000000e+00       6.525062591496e-10       5.924913104871e-11       3.675713913134e-14 
   14       1.136719882249e-10       4.347963539485e-16       1.333520977636e-13       0.000000000000e+00       5.792806456660e-10       5.308905402502e-11       4.816926226874e-15 
   15       1.147930843338e-10       4.312138863911e-16       1.410836518487e-13       0.000000000000e+00       5.176619324147e-10       4.791689455371e-11      -1.909943590499e-14 
   16       1.161080919783e-10       4.556772452915e-16       1.496561864473e-13       0.000000000000e+00       4.652858263111e-10       4.354027900029e-11      -3.300124278393e-14 
   17       1.174940769105e-10       4.965010236562e-16       1.582022839216e-13       0.000000000000e+00       4.203671337111e-10       3.974592725641e-11      -3.757521467372e-14 
   18       1.189985010316e-10       5.488730513189e-16       1.663196497977e-13       0.000000000000e+00       3.813877775151e-10       3.634288186538e-11      -3.524267987078e-14 
   19       1.206327643145e-10       6.164142729283e-16       1.740570172095e-13       0.000000000000e+00       3.477285462190e-10       3.332126933035e-11      -2.853227281879e-14 
   20       1.223219170979e-10       7.048444164396e-16       1.816230803007e-13       0.000000000000e+00       3.180896963188e-10       3.065937561134e-11      -2.053546165450e-14 
   21       1.240788363667e-10       8.172462388420e-16       1.892917798309e-13       0.000000000000e+00       2.920042402243e-10       2.833343458979e-11      -1.314259101222e-14 
   22       1.259109091951e-10       9.550328148374e-16       1.973338410681e-13       0.000000000000e+00       2.688467698817e-10       2.627654513728e-11      -7.859304452245e-15 
   23       1.278061081417e-10       1.117051681706e-15       2.057425788451e-13       0.000000000000e+00       2.482976262405e-10       2.444062542226e-11      -5.090292622554e-15 
   24       1.297279558097e-10       1.300971669660e-15       2.143688360071e-13       0.000000000000e+00       2.298804421213e-10       2.276289331011e-11      -4.702040481017e-15 
   25       1.316890411684e-10       1.506600753586e-15       2.230019441482e-13       0.000000000000e+00       2.133781044126e-10       2.123241338235e-11      -6.117375481484e-15 
   26       1.337012037110e-10       1.734214736373e-15       2.313637450073e-13       0.000000000000e+00       1.984916252576e-10       1.984180422670e-11      -8.455711018961e-15 
   27       1.357636703138e-10       1.984031376101e-15       2.391705373188e-13       0.000000000000e+00       1.850419570085e-10       1.858996298014e-11      -1.087957947915e-14 
   28       1.378622681916e-10       2.256253272104e-15       2.461264917513e-13       0.000000000000e+00       1.727966199599e-10       1.746681838580e-11      -1.258199710086e-14 
   29       1.400018788283e-10       2.551738990668e-15       2.520614262953e-13       0.000000000000e+00       1.616926007999e-10       1.645770279804e-11      -1.341969051022e-14 
   30       1.421807952562e-10       2.871563028832e-15       2.568341545518e-13       0.000000000000e+00       1.516101093625e-10       1.553304524173e-11      -1.348810516685e-14 
   31       1.443867800872e-10       3.216895089349e-15       2.603215490506e-13       0.000000000000e+00       1.423428530530e-10       1.465649769037e-11      -1.293914620101e-14 
   32       1.466232064955e-10       3.589215477036e-15       2.625221034260e-13       0.000000000000e+00       1.338427967046e-10       1.383079586256e-11      -1.195423699753e-14 
   33       1.488900567365e-10       3.990194197176e-15       2.634945014621e-13       0.000000000000e+00       1.260497789968e-10       1.306777539678e-11      -1.077017330679e-14 
   34       1.511807198213e-10       4.421456329516e-15       2.633114692806e-13       0.000000000000e+00       1.188546476743e-10       1.237420258106e-11      -9.644965794555e-15 
   35       1.534991360808e-10       4.883927228566e-15       2.619830884647e-13       0.000000000000e+00       1.122204198560e-10       1.174528113865e-11      -8.697272967099e-15 
   36       1.558469576460e-10       5.378250711488e-15       2.595083768837e-13       0.000000000000e+00       1.060936590657e-10       1.116788757199e-11      -8.013561370942e-15 
   37       1.582212320858e-10       5.905019750928e-15       2.558785708619e-13       0.000000000000e+00       1.003943851325e-10       1.062638571600e-11      -7.661423272376e-15 
   38       1.606249268957e-10       6.465007575965e-15       2.510174925899e-13       0.000000000000e+00       9.510776266394e-11       1.011885382855e-11      -7.588526978130e-15 
   39       1.630587029777e-10       7.059003895231e-15       2.448206336006e-13       0.000000000000e+00       9.021693213736e-11       9.645608468591e-12      -7.688326296357e-15 
   40       1.655173250086e-10       7.687748768334e-15       2.371698270046e-13       0.000000000000e+00       8.567512442112e-11       9.204579029943e-12      -7.824532561968e-15 
   41       1.679931703154e-10       8.351918661157e-15       2.279536940166e-13       0.000000000000e+00       8.142193266629e-11       8.792208217586e-12      -7.864189273560e-15 
   42       1.704895799407e-10       9.052087188321e-15       2.171394023953e-13       0.000000000000e+00       7.744476873841e-11       8.407034257298e-12      -7.794673910454e-15 
   43       1.730108380949e-10       9.788745964383e-15       2.047225777859e-13       0.000000000000e+00       7.373302283272e-11       8.046904965886e-12      -7.641403282700e-15 
   44       1.755581200495e-10       1.056231010499e-14       1.907083313263e-13       0.000000000000e+00       7.025962362694e-11       7.707818062046e-12      -7.436433497602e-15 
   45       1.781307085026e-10       1.137315059364e-14       1.751042560524e-13       0.000000000000e+00       6.699069373376e-11       7.385266601813e-12      -7.214253309467e-15 
   46       1.807308332491e-10       1.222171253069e-14       1.578958064214e-13       0.000000000000e+00       6.392104551217e-11       7.079091186505e-12      -6.996704808918e-15 
   47       1.833597319900e-10       1.310842529943e-14       1.390643615601e-13       0.000000000000e+00       6.104706859338e-11       6.789835655002e-12      -6.804247346512e-15 
   48       1.860160117460e-10       1.403366726275e-14       1.185941027326e-13       0.000000000000e+00       5.835602465666e-11       6.517329389580e-12      -6.660317896720e-15 
   49       1.886954161982e-10       1.499776378413e-14       9.647205505326e-14       0.000000000000e+00       5.582536885809e-11       6.260630330026e-12      -6.591472579931e-15 
   50       1.913930293993e-10       1.600097845593e-14       7.268548272443e-14       0.000000000000e+00       5.342953162984e-11       6.018386419322e-12      -6.619435571317e-15 
   51       1.941111318668e-10       1.704348856872e-14       4.721314445224e-14       0.000000000000e+00       5.116400853919e-11       5.790167810577e-12      -6.734373147265e-15 
   52       1.968530747706e-10       1.812539956250e-14       2.003173651553e-14       0.000000000000e+00       4.902663639733e-11       5.575397769012e-12      -6.914609810409e-15 
   53       1.996209147318e-10       1.924674899319e-14      -8.881749077241e-15       0.000000000000e+00       4.701038466959e-11       5.372929435381e-12      -7.133853228292e-15 
   54       2.024152958158e-10       2.040750423395e-14      -3.955010741510e-14       0.000000000000e+00       4.510302798038e-11       5.181008530984e-12      -7.360954926507e-15 
   55       2.052361621909e-10       2.160757367176e-14      -7.199403002811e-14       0.000000000000e+00       4.329087064533e-11       4.997774348539e-12      -7.567114448984e-15 
   56       2.080853737672e-10       2.284684882034e-14      -1.062256931593e-13       0.000000000000e+00       4.157175402909e-11       4.822993907044e-12      -7.750135824801e-15 
   57       2.109645336403e-10       2.412516864264e-14      -1.422537217600e-13       0.000000000000e+00       3.994470686121e-11       4.656693273109e-12      -7.915777763716e-15 
   58       2.138741305752e-10       2.544230523785e-14      -1.800850292301e-13       0.000000000000e+00       3.840601038440e-11       4.498641051740e-12      -8.070887730187e-15 
   59       2.168134533635e-10       2.679796206847e-14      -2.197248233561e-13       0.000000000000e+00       3.694902873075e-11       4.348332063525e-12      -8.223452641731e-15 
   60       2.197805051793e-10       2.819177218741e-14      -2.611766122494e-13       0.000000000000e+00       3.556403929783e-11       4.204971021823e-12      -8.382649567281e-15 
   61       2.227730837651e-10       2.962331599801e-14      -3.044408976742e-13       0.000000000000e+00       3.424092949122e-11       4.067714709025e-12      -8.556181687921e-15 
   62       2.257924990659e-10       3.109218320331e-14      -3.495108988647e-13       0.000000000000e+00       3.297837803354e-11       3.936498954005e-12      -8.741472720068e-15 
   63       2.288405418796e-10       3.259792167921e-14      -3.963758750419e-13       0.000000000000e+00       3.177644287707e-11       3.811369158283e-12      -8.932576956151e-15 
   64       2.319183439739e-10       3.414001803820e-14      -4.450223183232e-13       0.000000000000e+00       3.063379957232e-11       3.692230216788e-12      -9.122684855265e-15 
   65       2.350263294336e-10       3.571789647627e-14      -4.954339180130e-13       0.000000000000e+00       2.954766259174e-11       3.578838397019e-12      -9.304087604953e-15 
   66       2.381641660080e-10       3.733091761972e-14      -5.475915248922e-13       0.000000000000e+00       2.851370665357e-11       3.470793218218e-12      -9.468141682996e-15 
   67       2.413307164583e-10       3.897837737206e-14      -6.014731155086e-13       0.000000000000e+00       2.752598804560e-11       3.367529330537e-12      -9.605233419192e-15 
   68       2.445247798977e-10       4.065948490722e-14      -6.570550672780e-13       0.000000000000e+00       2.657853010683e-11       3.268468851470e-12      -9.706948253849e-15 
   69       2.477475989971e-10       4.237329404898e-14      -7.143163636360e-13       0.000000000000e+00       2.567062859140e-11       3.173532371462e-12      -9.773168141822e-15 
   70       2.510007757377e-10       4.411875585177e-14      -7.732351807246e-13       0.000000000000e+00       2.480248491299e-11       3.082717378619e-12      -9.806355214247e-15 
   71       2.542854984303e-10       4.589473656776e-14      -8.337876498262e-13       0.000000000000e+00       2.397360163587e-11       2.995943017856e-12      -9.809494898458e-15 
   72       2.576025132673e-10       4.770001596042e-14      -8.959478551776e-13       0.000000000000e+00       2.318274636027e-11       2.913046073831e-12      -9.786116865883e-15 
   73       2.609520958739e-10       4.953328561799e-14      -9.596878317852e-13       0.000000000000e+00       2.242791560774e-11       2.833776953880e-12      -9.740315979934e-15 
   74       2.643340228606e-10       5.139314726700e-14      -1.024977563239e-12       0.000000000000e+00       2.170629870657e-11       2.757795670952e-12      -9.676773243894e-15 
   75       2.677475433748e-10       5.327811108582e-14      -1.091784979528e-12       0.000000000000e+00       2.101424167707e-11       2.684667826544e-12      -9.600776748809e-15 
   76       2.711918456651e-10       5.518666922444e-14      -1.160076008343e-12       0.000000000000e+00       2.034815323912e-11       2.613973615415e-12      -9.517332637189e-15 
   77       2.746676178841e-10       5.711753556984e-14      -1.229814744615e-12       0.000000000000e+00       1.970749340534e-11       2.545666667917e-12      -9.428264522710e-15 
   78       2.781757215438e-10       5.906944684211e-14      -1.300963308068e-12       0.000000000000e+00       1.909226679126e-11       2.479773650120e-12      -9.334620736352e-15 
   79       2.817167037502e-10       6.104109112502e-14      -1.373481791400e-12       0.000000000000e+00       1.850211231702e-11       2.416285375199e-12      -9.237539637620e-15 
   80       2.852907789068e-10       6.303110772160e-14      -1.447328259196e-12       0.000000000000e+00       1.793628641173e-11       2.355155103977e-12      -9.138251902459e-15 
   81       2.888978104164e-10       6.503808700991e-14      -1.522458746837e-12       0.000000000000e+00       1.739364621778e-11       2.296296845463e-12      -9.038082811192e-15 
   82       2.925372923837e-10       6.706057029870e-14      -1.598827259414e-12       0.000000000000e+00       1.687263279521e-11       2.239583657387e-12      -8.938454536440e-15 
   83       2.962083313179e-10       6.909704968304e-14      -1.676385770639e-12       0.000000000000e+00       1.637125432608e-11       2.184845946741e-12      -8.840888431054e-15 
   84       2.999100331846e-10       7.114596211666e-14      -1.755084536926e-12       0.000000000000e+00       1.588756962422e-11       2.131914776241e-12      -8.746628035920e-15 
   85       3.036427783666e-10       7.320567081570e-14      -1.834873101848e-12       0.000000000000e+00       1.542126755234e-11       2.080763755213e-12      -8.655431283697e-15 
   86       3.074071254995e-10       7.527448049316e-14      -1.915699456976e-12       0.000000000000e+00       1.497231986222e-11       2.031387664698e-12      -8.566581331892e-15 
   87       3.112034135994e-10       7.735064263021e-14      -1.997509745660e-12       0.000000000000e+00       1.454049590577e-11       1.983758613786e-12      -8.479244014214e-15 
   88       3.150317505774e-10       7.943235523472e-14      -2.080248267240e-12       0.000000000000e+00       1.412535424785e-11       1.937825096557e-12      -8.392463754046e-15 
   89       3.188920017550e-10       8.151776259970e-14      -2.163857481251e-12       0.000000000000e+00       1.372623427913e-11       1.893511049021e-12      -8.305159477916e-15 
   90       3.227837783791e-10       8.360495506182e-14      -2.248278011632e-12       0.000000000000e+00       1.334224782890e-11       1.850714906058e-12      -8.216120528970e-15 
