# dimensionless [l(l+1)/2pi] C_l's for tensor mode
# for l=2 to 500, i.e. number of multipoles equal to 499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       7.152310864250e-12       1.529577002944e-16       7.061305616652e-15       2.639430120024e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    3       5.796173284504e-12       1.747451020904e-16      -1.568847186532e-15       2.802199917122e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    4       5.389742915200e-12       1.682494431927e-16      -4.299011331128e-15       2.545138466604e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    5       5.267608009407e-12       1.403895307496e-16      -4.832037923339e-15       2.074307116463e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    6       5.221511696173e-12       1.056669068711e-16      -4.553370624115e-15       1.565563302707e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    7       5.214135884052e-12       7.523064009266e-17      -4.032829763082e-15       1.128310924022e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    8       5.226539755202e-12       5.454527499138e-17      -3.538960348544e-15       8.095437166542e-17       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    9       5.248421294076e-12       4.433576929024e-17      -3.179153659821e-15       6.134016277573e-17       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   10       5.273804969358e-12       4.263902821011e-17      -2.978621286359e-15       5.212686287097e-17       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   11       5.299255419419e-12       4.667762884948e-17      -2.926440276892e-15       5.068030358533e-17       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   12       5.322883151110e-12       5.405965824232e-17      -2.999578073389e-15       5.445967159411e-17       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   13       5.343653580827e-12       6.313511490397e-17      -3.173663612806e-15       6.151441664684e-17       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
