#scalar perturbations for mode k = 1.039140000000e-02 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:delta_ur              14:theta_ur              15:shear_ur              16:delta_cdm             17:theta_cdm             18:delta_ncdm[0]         19:theta_ncdm[0]         20:shear_ncdm[0]      
       6.818934635475e+00       1.490025440540e-05      -1.213607778709e+00       2.202917313988e-04       3.866590363765e-08       9.666475909413e-08       9.921307195129e-14       1.933295181883e-08      -9.102058340318e-01       2.202917313988e-04       6.011517542650e-01       6.968489046952e-01      -1.213607778709e+00       2.202414251121e-04       2.006794979531e-04      -9.102058340318e-01       2.203926409991e-04      -1.213614020334e+00       2.202427829153e-04       2.006803249483e-04 
       1.018710446814e+01       2.239495550766e-05      -1.220368689334e+00       3.282778754650e-04       1.298190771438e-07       3.245476928595e-07       7.512456216502e-13       6.490953857191e-08      -9.152765170026e-01       3.282778770105e-04       6.011083147833e-01       6.954666815451e-01      -1.220368231852e+00       3.281087583208e-04       4.469269579764e-04      -9.152771983279e-01       3.286114102833e-04      -1.220355818308e+00       3.278497439918e-04       4.462126156411e-04 
       1.518957571014e+01       3.369075843441e-05      -1.231531089988e+00       4.874212736806e-04       4.364378371752e-07       1.091094592938e-06       5.718896187936e-12       2.182189185876e-07      -9.236483175250e-01       4.874212886478e-04       6.009520442933e-01       6.933563847371e-01      -1.231528352306e+00       4.868540600943e-04       9.903221043296e-04      -9.236523220569e-01       4.885125611380e-04      -1.231509961935e+00       4.865965848202e-04       9.892470055605e-04 
       2.258536083572e+01       5.075105343568e-05      -1.250550108911e+00       7.195650950204e-04       1.449735096133e-06       3.624337740332e-06       4.287389177963e-11       7.248675480665e-07      -9.379125821129e-01       7.195652133139e-04       6.005506568392e-01       6.900902233410e-01      -1.250536095518e+00       7.176698877003e-04       2.176933367166e-03      -9.379325128171e-01       7.230832851136e-04      -1.250332856562e+00       7.154861980265e-04       2.163376867611e-03 
       3.344901602644e+01       7.659030260487e-05      -1.283789909443e+00       1.052513247077e-03       4.808548251791e-06       1.202137062948e-05       3.230532967402e-10       2.404274125896e-06      -9.628424368972e-01       1.052514127059e-03       5.996162709806e-01       6.849919398770e-01      -1.283720807861e+00       1.046222714883e-03       4.725533522300e-03      -9.629367752322e-01       1.063614150326e-03      -1.283217624222e+00       1.041991928456e-03       4.685643754870e-03 
       4.926568035047e+01       1.158684361984e-04      -1.342842677910e+00       1.516680195423e-03       1.601188504778e-05       4.002971261944e-05       2.480397928686e-09       8.005942523888e-06      -1.007132059570e+00       1.516686525392e-03       5.975658017250e-01       6.770130487679e-01      -1.342509413551e+00       1.496042778411e-03       1.005498971128e-02      -1.007561696482e+00       1.550644423053e-03      -1.342284225430e+00       1.495052989714e-03       1.003927432954e-02 
       7.202525479937e+01       1.758380971911e-04      -1.447977180628e+00       2.133310354468e-03       5.430778138516e-05       1.357694534629e-04       2.039610300919e-08       2.715389069258e-05      -1.085983411865e+00       2.133357006439e-03       5.934725570604e-01       6.646160072688e-01      -1.446413027821e+00       2.066974997481e-03       2.071753738802e-02      -1.087850106969e+00       2.232835315030e-03      -1.445071851583e+00       2.061795846406e-03       2.058909308435e-02 
       1.042967782697e+02       2.678496772040e-04      -1.631832245106e+00       2.886873660582e-03       1.739064623715e-04       4.347661559288e-04       1.546982859414e-07       8.695323118576e-05      -1.223879514932e+00       2.887188018854e-03       5.857237892205e-01       6.457877078411e-01      -1.624779678053e+00       2.681067924730e-03       4.049056659316e-02      -1.231503058675e+00       3.161824862743e-03      -1.623328229887e+00       2.678966099893e-03       4.035991360786e-02 
       1.492683656713e+02       4.097226216932e-04      -1.939713720654e+00       3.678971022969e-03       5.155604544636e-04       1.288901136159e-03       1.075306362215e-06       2.577802272318e-04      -1.454833264555e+00       3.680945607532e-03       5.725261008930e-01       6.184112018122e-01      -1.909768229049e+00       3.077473697421e-03       7.238042803954e-02      -1.483577737812e+00       4.381676012332e-03      -1.903798884825e+00       3.077175817926e-03       7.178371544643e-02 
       2.052298849316e+02       6.084653370998e-04      -2.373596495041e+00       4.251550993954e-03       1.417697819548e-03       3.544244548871e-03       7.088489097743e-06       7.088489097742e-04      -1.780544935098e+00       4.262101154912e-03       5.532235986479e-01       5.845877650577e-01      -2.268631309421e+00       2.769426803547e-03       1.076386065330e-01      -1.870025224581e+00       5.781891841377e-03      -2.265226829145e+00       2.776655878347e-03       1.073598091434e-01 
       2.052298849316e+02       6.084653370998e-04      -2.373596495041e+00       4.251550993954e-03       1.417697819548e-03       3.544244548871e-03       7.088489097743e-06       7.088489097742e-04      -1.780544935098e+00       4.262101154912e-03       5.532389005613e-01       5.845877650577e-01      -2.268631309421e+00       2.769426803547e-03       1.076386065330e-01      -1.870025224581e+00       5.781891841377e-03      -2.265226829145e+00       2.776655878347e-03       1.073598091434e-01 
       2.057110520506e+02       6.102809107313e-04      -2.377461208428e+00       4.254641285471e-03       1.430497508687e-03       3.547271770136e-03       7.098736684081e-06       7.094639311695e-04      -1.783448567482e+00       4.265287060987e-03       5.530685125804e-01       5.843037373062e-01      -2.271542130953e+00       2.763081414534e-03       1.078792738116e-01      -1.873662130284e+00       5.793388244938e-03      -2.268098436478e+00       2.770430089981e-03       1.075972518639e-01 
       2.061952110684e+02       6.121096107399e-04      -2.381351290398e+00       4.257713621485e-03       1.441877281822e-03       3.555174533652e-03       7.126988865805e-06       7.110503889570e-04      -1.786371312476e+00       4.268482032813e-03       5.528963826596e-01       5.840181061498e-01      -2.274466273054e+00       2.756636882397e-03       1.081199971627e-01      -1.877326743423e+00       5.804947001775e-03      -2.271004320543e+00       2.764060593751e-03       1.078364901567e-01 
       2.066824061366e+02       6.139516383076e-04      -2.385267101216e+00       4.260773749404e-03       1.452492990218e-03       3.566594454892e-03       7.169768122494e-06       7.133380709388e-04      -1.789313448299e+00       4.271671552389e-03       5.527269187941e-01       5.837308480332e-01      -2.277403876116e+00       2.750091663587e-03       1.083607628805e-01      -1.881019490795e+00       5.816569028226e-03      -2.273865267892e+00       2.757721064016e-03       1.080709984910e-01 
       2.071726838102e+02       6.158072046100e-04      -2.389209019525e+00       4.263822537395e-03       1.462739956534e-03       3.580649677416e-03       7.224169353451e-06       7.161514916557e-04      -1.792275262406e+00       4.274852933503e-03       5.525547116102e-01       5.834419387455e-01      -2.280355088561e+00       2.743444148032e-03       1.086015574410e-01      -1.884740817725e+00       5.828255282668e-03      -2.276769737553e+00       2.751215286618e-03       1.083080175767e-01 
       2.076660933276e+02       6.176765319337e-04      -2.393177444198e+00       4.266859965354e-03       1.472856204498e-03       3.596756882604e-03       7.287919112529e-06       7.193745223462e-04      -1.795257056706e+00       4.278025606552e-03       5.523857195142e-01       5.831513529901e-01      -2.283320069400e+00       2.736692658167e-03       1.088423675809e-01      -1.888491191155e+00       5.840006776394e-03      -2.279615594643e+00       2.744772295076e-03       1.085392105530e-01 
       2.081626869304e+02       6.195598549535e-04      -2.397172797212e+00       4.269885847576e-03       1.482985266982e-03       3.614521995896e-03       7.359308264347e-06       7.229286706937e-04      -1.798259150417e+00       4.281189384343e-03       5.522021942383e-01       5.828590640605e-01      -2.286298990478e+00       2.729835445385e-03       1.090831803887e-01      -1.892271102668e+00       5.851824583524e-03      -2.282700135418e+00       2.737711946236e-03       1.087886166260e-01 
       2.086625202281e+02       6.214574221894e-04      -2.401195526964e+00       4.272899966544e-03       1.493214321013e-03       3.633672845542e-03       7.437087459182e-06       7.267596966044e-04      -1.801281882686e+00       4.284344155750e-03       5.520437562436e-01       5.825650435285e-01      -2.289292038826e+00       2.722870684571e-03       1.093239834095e-01      -1.896081071772e+00       5.863709850996e-03      -2.285357455013e+00       2.731565063506e-03       1.090024866919e-01 
       2.091656526157e+02       6.233694976740e-04      -2.405246111820e+00       4.275902101128e-03       1.503597332327e-03       3.654017465607e-03       7.520364427404e-06       7.308293237239e-04      -1.804325615294e+00       4.287489830541e-03       5.518655708899e-01       5.822692609606e-01      -2.292299419047e+00       2.715796466907e-03       1.095647647664e-01      -1.899921649435e+00       5.875663809013e-03      -2.288339409044e+00       2.724595800293e-03       1.092413807709e-01 
       2.096721477517e+02       6.252963628612e-04      -2.409325064123e+00       4.278892030089e-03       1.514169108845e-03       3.675418111119e-03       7.608517423422e-06       7.351100732803e-04      -1.807390735678e+00       4.290626341186e-03       5.516861001576e-01       5.819716836100e-01      -2.295321355996e+00       2.708610791110e-03       1.098055132998e-01      -1.903793422087e+00       5.887687782535e-03      -2.291335663316e+00       2.717516766205e-03       1.094802322720e-01 
       2.101820740973e+02       6.272383187825e-04      -2.413432934627e+00       4.281869536630e-03       1.524953845797e-03       3.697774940535e-03       7.701127769590e-06       7.395820192011e-04      -1.810477660283e+00       4.293753640544e-03       5.515053111854e-01       5.816722760920e-01      -2.298358097706e+00       2.701311553149e-03       1.100462187228e-01      -1.907697016070e+00       5.899783203907e-03      -2.294346435823e+00       2.710325876548e-03       1.097190296699e-01 
       2.106955055362e+02       6.291956885248e-04      -2.417570317535e+00       4.284834409746e-03       1.535970354736e-03       3.721015675002e-03       7.797929873015e-06       7.442307312084e-04      -1.813586838357e+00       4.296871706541e-03       5.513231721198e-01       5.813710000276e-01      -2.301409918682e+00       2.693896534192e-03       1.102868718012e-01      -1.911633102703e+00       5.911951627147e-03      -2.297372005854e+00       2.703020977382e-03       1.099577641592e-01 
       2.112125220825e+02       6.311688200613e-04      -2.421737856285e+00       4.287786445759e-03       1.547235288737e-03       3.745088986040e-03       7.898775470837e-06       7.490459591352e-04      -1.816718756321e+00       4.299980546708e-03       5.511396500042e-01       5.810678136282e-01      -2.304477123701e+00       2.686363386690e-03       1.105274645569e-01      -1.915602404105e+00       5.924194744207e-03      -2.300412666650e+00       2.695599771269e-03       1.101964274112e-01 
       2.117332106811e+02       6.331580894587e-04      -2.425936249988e+00       4.290725449770e-03       1.558765167440e-03       3.769960233538e-03       8.003608863781e-06       7.540207846110e-04      -1.819873942626e+00       4.303080202702e-03       5.509547097560e-01       5.807626712524e-01      -2.307560051992e+00       2.678709618408e-03       1.107679904962e-01      -1.919605699698e+00       5.936514403191e-03      -2.303468739619e+00       2.688059814000e-03       1.104350122802e-01 
       2.122576661103e+02       6.351639044953e-04      -2.430166260793e+00       4.293651237265e-03       1.570577685924e-03       3.795608708606e-03       8.112450341058e-06       7.591510720927e-04      -1.823052973317e+00       4.306170755387e-03       5.507683135802e-01       5.804555228820e-01      -2.310659082035e+00       2.670932574273e-03       1.110084448625e-01      -1.923643833639e+00       5.948912628930e-03      -2.306540609649e+00       2.680398532748e-03       1.106735145217e-01 
       2.127859919883e+02       6.371867087068e-04      -2.434428721989e+00       4.296563635727e-03       1.582692594834e-03       3.822025858165e-03       8.225385564166e-06       7.644351152680e-04      -1.826256478140e+00       4.309252329766e-03       5.505804197061e-01       5.801463135678e-01      -2.313774636769e+00       2.663029415826e-03       1.112488249117e-01      -1.927717723037e+00       5.961391645782e-03      -2.309628662744e+00       2.672613127298e-03       1.109119298227e-01 
       2.133183018803e+02       6.392269858428e-04      -2.438724547013e+00       4.299462486401e-03       1.595132315682e-03       3.849214162027e-03       8.342559180617e-06       7.698734133692e-04      -1.829485147352e+00       4.312325100243e-03       5.503909826281e-01       5.798349827954e-01      -2.316907189396e+00       2.654997098326e-03       1.114891302046e-01      -1.931828367088e+00       5.973953902709e-03      -2.312733389049e+00       2.664700661153e-03       1.111502587663e-01 
       2.138547204864e+02       6.412852646702e-04      -2.443054739036e+00       4.302347646090e-03       1.607922373467e-03       3.877186446830e-03       8.464171309908e-06       7.754685345071e-04      -1.832739738955e+00       4.315389295081e-03       5.501999515336e-01       5.795214638296e-01      -2.320057269441e+00       2.646832345605e-03       1.117293629036e-01      -1.935976856869e+00       5.986602100038e-03      -2.315855270463e+00       2.656657899656e-03       1.113885014345e-01 
       2.143953848706e+02       6.433621239710e-04      -2.447420400955e+00       4.305218988975e-03       1.621091669376e-03       3.905965483270e-03       8.590475764450e-06       7.812250354534e-04      -1.836021086246e+00       4.318445199995e-03       5.500072709192e-01       5.792056830221e-01      -2.323225469005e+00       2.638531623273e-03       1.119695280538e-01      -1.940164385588e+00       5.999339217063e-03      -2.318994916020e+00       2.648481433194e-03       1.116266639053e-01 
       2.149404456593e+02       6.454581974573e-04      -2.451822745092e+00       4.308076408377e-03       1.634672567444e-03       3.935583739953e-03       8.721778939294e-06       7.871494126181e-04      -1.839330105150e+00       4.321493159238e-03       5.498128790463e-01       5.788875591523e-01      -2.326412448649e+00       2.630091111292e-03       1.122096338116e-01      -1.944392258661e+00       6.012168538698e-03      -2.322152937566e+00       2.640167500296e-03       1.118647522164e-01 
