#tensor perturbations for mode k = 1.039140000000e-02 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:shear_g                5:l4_g                   6:pol0_g                 7:pol2_g                 8:pol4_g                 9:H (gw)                10:Hdot (gwdot)          11:delta_ur              12:shear_ur              13:l4_ur              
       6.818934635475e+00       1.490025440540e-05      -0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       4.082482904639e-01       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
       1.018710446814e+01       2.239495550766e-05       1.525871658730e-07       0.000000000000e+00       0.000000000000e+00      -3.814679146824e-08       0.000000000000e+00       0.000000000000e+00       4.080554762785e-01      -1.028371897970e-04      -4.722787375619e-04      -3.526303874313e-09      -5.726639943744e-14 
       1.518957571014e+01       3.369075843441e-05       6.484082263437e-07       0.000000000000e+00       0.000000000000e+00      -1.621020565859e-07       0.000000000000e+00       0.000000000000e+00       4.073023699731e-01      -1.927417081680e-04      -2.316455740170e-03      -1.133519336355e-07      -1.176203059371e-11 
       2.258536083572e+01       5.075105343568e-05       2.250467547504e-06       0.000000000000e+00       0.000000000000e+00      -5.626168868761e-07       0.000000000000e+00       0.000000000000e+00       4.054837524672e-01      -2.965256081527e-04      -6.765670444750e-03      -1.207097511857e-06      -4.545071344092e-10 
       3.344901602644e+01       7.659030260487e-05       7.562581791438e-06       0.000000000000e+00       0.000000000000e+00      -1.890645447860e-06       0.000000000000e+00       0.000000000000e+00       4.015033617204e-01      -4.347753691251e-04      -1.647957100067e-02      -8.406391165646e-06      -9.127402780522e-09 
       4.926568035047e+01       1.158684361984e-04       2.485259856038e-05       0.000000000000e+00       0.000000000000e+00      -6.213149640096e-06       0.000000000000e+00       0.000000000000e+00       3.931125644728e-01      -6.242208930590e-04      -3.683858331320e-02      -4.715648444225e-05      -1.301958685941e-07 
       7.202525479937e+01       1.758380971911e-04       8.437403063974e-05       0.000000000000e+00       0.000000000000e+00      -2.109350765993e-05       0.000000000000e+00       0.000000000000e+00       3.760044556517e-01      -8.744243887666e-04      -7.781800791728e-02      -2.315710575274e-04      -1.501644317782e-06 
       1.042967782697e+02       2.678496772040e-04       2.689016446281e-04       0.000000000000e+00       0.000000000000e+00      -6.722541115703e-05       0.000000000000e+00       0.000000000000e+00       3.427577813177e-01      -1.174219966742e-03      -1.552363760144e-01      -1.026344831889e-03      -1.480871183483e-05 
       1.492683656713e+02       4.097226216932e-04       7.883807791813e-04       0.000000000000e+00       0.000000000000e+00      -1.970951947953e-04       0.000000000000e+00       0.000000000000e+00       2.828750835134e-01      -1.461912506420e-03      -2.861295268925e-01      -4.107513915135e-03      -1.270146533878e-04 
       2.052298849316e+02       6.084653370998e-04       2.035008084915e-03       0.000000000000e+00       0.000000000000e+00      -5.087520212287e-04       0.000000000000e+00       0.000000000000e+00       1.963722939916e-01      -1.585993726018e-03      -4.501400583932e-01      -1.321280354912e-02      -8.077749839053e-04 
       2.052298849316e+02       6.084653370998e-04       2.035008084915e-03       0.000000000000e+00       0.000000000000e+00      -5.087520212287e-04       0.000000000000e+00       0.000000000000e+00       1.963722939916e-01      -1.585993726018e-03      -4.501400583932e-01      -1.321280354912e-02      -8.077749839053e-04 
       2.057110520506e+02       6.102809107313e-04      -8.956281051169e-05       7.132847300442e-10       6.741927162707e-16      -4.556860865847e-04      -5.994811853458e-10      -2.246546157497e-16       1.956091777520e-01      -1.585940797969e-03      -4.514220169836e-01      -1.332271595256e-02      -8.186353782604e-04 
       2.061952110684e+02       6.121096107399e-04      -1.478031214877e-03       6.895159755840e-10       4.896217703053e-15      -3.346993089425e-04      -1.654008776303e-09      -2.402716008683e-15       1.948413477203e-01      -1.585864822435e-03      -4.527085214289e-01      -1.343389864060e-02      -8.296810203557e-04 
       2.066824061366e+02       6.139516383076e-04      -2.407564931086e-03      -1.047258294847e-09       8.518089627630e-15      -1.843580613659e-04      -2.471061357214e-09      -8.023977467954e-15       1.940687452111e-01      -1.585766851852e-03      -4.539995913787e-01      -1.354637349797e-02      -8.409160641374e-04 
       2.071726838102e+02       6.158072046100e-04      -3.048197023449e-03      -4.153437206971e-09       1.537859361900e-16      -2.643003652971e-05      -2.762864562494e-09      -1.645179927237e-14       1.932913075669e-01      -1.585647413389e-03      -4.552952513726e-01      -1.366016326854e-02      -8.523448171066e-04 
       2.076660933276e+02       6.176765319337e-04      -3.504652109140e-03      -8.011214753607e-09      -3.095769933643e-14       1.272911725506e-04      -2.479332251304e-09      -2.547783547597e-14       1.925089679184e-01      -1.585506707429e-03      -4.565955309657e-01      -1.377529163940e-02      -8.639717524058e-04 
       2.081626869304e+02       6.195598549535e-04      -3.841785828359e-03      -1.209685757332e-08      -9.031527475265e-14       2.708725817181e-04      -1.690616455010e-09      -3.244409119703e-14       1.917216548101e-01      -1.585344728296e-03      -4.579004651158e-01      -1.389178333670e-02      -8.758015224826e-04 
       2.086625202281e+02       6.214574221894e-04      -4.100066031613e-03      -1.606503899079e-08      -1.776146789752e-13       4.017706395351e-04      -5.136824992046e-10      -3.508667328437e-14       1.909292917129e-01      -1.585161337706e-03      -4.592100947784e-01      -1.400966423508e-02      -8.878389745775e-04 
       2.091656526157e+02       6.233694976740e-04      -4.305000103043e-03      -1.972944565901e-08      -2.883784310560e-13       5.193539756115e-04       9.288806774445e-10      -3.194165487213e-14       1.901317964266e-01      -1.584956309309e-03      -4.605244676808e-01      -1.412896148282e-02      -9.000891683280e-04 
       2.096721477517e+02       6.252963628612e-04      -4.472883355025e-03      -2.301673598456e-08      -4.160920433574e-13       6.240263284869e-04       2.528963632378e-09      -2.240654707285e-14       1.893290803728e-01      -1.584729355597e-03      -4.618436392672e-01      -1.424970364523e-02      -9.125573958219e-04 
       2.101820740973e+02       6.272383187825e-04      -4.614307897785e-03      -2.592319596860e-08      -5.539684804641e-13       7.167115269522e-04       4.200417845863e-09      -6.601992359336e-15       1.885210477822e-01      -1.584480143957e-03      -4.631676737975e-01      -1.437192086712e-02      -9.252492042939e-04 
       2.106955055362e+02       6.291956885248e-04      -4.736309816566e-03      -2.848239481033e-08      -6.960697722463e-13       7.985557877209e-04       5.879687535213e-09       1.484560488072e-14       1.877075947508e-01      -1.584208305978e-03      -4.644966456333e-01      -1.449564505961e-02      -9.381704221199e-04 
       2.112125220825e+02       6.311688200613e-04      -4.843686840824e-03      -3.074397117760e-08      -8.378352182201e-13       8.707599666607e-04       7.523192920306e-09       4.102345245743e-14       1.868886081566e-01      -1.583913442579e-03      -4.658306407184e-01      -1.462091011402e-02      -9.513271885200e-04 
       2.117332106811e+02       6.331580894587e-04      -4.939810347441e-03      -3.276109714634e-08      -9.761838646526e-13       9.344889445877e-04       9.103553847487e-09       7.091441580317e-14       1.860639644290e-01      -1.583595126367e-03      -4.671697582570e-01      -1.474775214507e-02      -9.647259873619e-04 
       2.122576661103e+02       6.351639044953e-04      -5.027128657251e-03      -3.458389261739e-08      -1.109366706137e-12       9.908263154002e-04       1.060576060132e-08       1.035285251248e-13       1.852335281617e-01      -1.583252902241e-03      -4.685141125994e-01      -1.487620976655e-02      -9.783736855655e-04 
       2.127859919883e+02       6.371867087068e-04      -5.107481464405e-03      -3.625656610010e-08      -1.236706322894e-12       1.040755255852e-03       1.202380359824e-08       1.379858311948e-13       1.843971505632e-01      -1.582886286671e-03      -4.698638353341e-01      -1.500632440136e-02      -9.922775765025e-04 
       2.133183018803e+02       6.392269858428e-04      -5.182298347761e-03      -3.781669985576e-08      -1.358314616301e-12       1.085154146894e-03       1.335793695287e-08       1.735595059061e-13       1.835546677553e-01      -1.582494766078e-03      -4.712190775625e-01      -1.513814062605e-02      -1.006445428603e-03 
       2.138547204864e+02       6.412852646702e-04      -5.252725781177e-03      -3.929564819222e-08      -1.474839076725e-12       1.124800160614e-03       1.461257613036e-08       2.096900222289e-13       1.827058989492e-01      -1.582077794410e-03      -4.725800122992e-01      -1.527170654647e-02      -1.020885539029e-03 
       2.143953848706e+02       6.433621239710e-04      -5.319709672647e-03      -4.071942268326e-08      -1.587259331672e-12       1.160376822902e-03       1.579475074320e-08       2.459804572954e-13       1.818506445639e-01      -1.581634790132e-03      -4.739468368871e-01      -1.540707419572e-02      -1.035606791666e-03 
       2.149404456593e+02       6.454581974573e-04      -5.384049838595e-03      -4.210970966650e-08      -1.696737899208e-12       1.192483237448e-03       1.691300723584e-08       2.821810008764e-13       1.809886844035e-01      -1.581165132709e-03      -4.753197752367e-01      -1.554429993678e-02      -1.050618717674e-03 
       2.154900680871e+02       6.475741781401e-04      -5.446436299451e-03      -4.348483485243e-08      -1.804519513693e-12       1.221643652574e-03       1.797665656414e-08       3.181685332999e-13       1.801197760841e-01      -1.580668158760e-03      -4.766990795830e-01      -1.568344483936e-02      -1.065931555381e-03 
       2.160444327081e+02       6.497108214440e-04      -5.507473261740e-03      -4.486058838723e-08      -1.911869314651e-12       1.248316636523e-03       1.899527389946e-08       3.539251235002e-13       1.792436539999e-01      -1.580143158146e-03      -4.780850313098e-01      -1.582457498341e-02      -1.081556304194e-03 
       2.166037355172e+02       6.518689460725e-04      -5.567694182537e-03      -4.625087634244e-08      -2.020039329528e-12       1.272903462386e-03       1.997837280737e-08       3.895176709743e-13       1.783600292327e-01      -1.579589370321e-03      -4.794779402224e-01      -1.596776162071e-02      -1.097504764649e-03 
       2.171681871594e+02       6.540494313622e-04      -5.627569876433e-03      -4.766819014743e-08      -2.130253472125e-12       1.295755492194e-03       2.093519169390e-08       4.250797075897e-13       1.774685909094e-01      -1.579005981542e-03      -4.808781415070e-01      -1.611308110591e-02      -1.113789554065e-03 
