# Matter power spectrum P(k) at redshift z=0
# for k=1.04216e-05 to 1.08687 h/Mpc,
# number of wavenumbers equal to 604
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.042159305790e-05       5.018713742421e+01 
       2.327065491504e-05       1.092883369532e+02 
       3.616467344436e-05       1.672335461673e+02 
       4.913816912464e-05       2.247369673390e+02 
       6.222623054825e-05       2.821691964268e+02 
       7.546482575493e-05       3.398010745825e+02 
       8.889112347280e-05       3.978618158736e+02 
       1.025438285197e-04       4.565614977363e+02 
       1.164635356510e-04       5.161022706837e+02 
       1.306931061722e-04       5.766849685686e+02 
       1.452780716436e-04       6.385136831610e+02 
       1.602670689463e-04       7.017992564439e+02 
       1.757123108067e-04       7.667622140243e+02 
       1.916700955207e-04       8.336355109672e+02 
       2.082013589804e-04       9.026670572138e+02 
       2.253722710624e-04       9.741222701487e+02 
       2.432548768228e-04       1.048286603511e+03 
       2.619277805455e-04       1.125468108418e+03 
       2.814768672457e-04       1.205999983086e+03 
       3.019960514156e-04       1.290243102596e+03 
       3.235880362513e-04       1.378588417804e+03 
       3.463650579177e-04       1.471459129670e+03 
       3.704495782233e-04       1.569312477919e+03 
       3.959748751353e-04       1.672640903749e+03 
       4.230854638676e-04       1.781972331635e+03 
       4.519372623079e-04       1.897869191799e+03 
       4.826973945983e-04       2.020925775972e+03 
       5.155435081536e-04       2.151763441238e+03 
       5.506624662346e-04       2.291023160047e+03 
       5.882482760070e-04       2.439354932645e+03 
       6.284991279767e-04       2.597403689463e+03 
       6.716134645583e-04       2.765791517535e+03 
       7.177850697867e-04       2.945096384600e+03 
       7.671972809633e-04       3.135827992616e+03 
       8.200165604921e-04       3.338401952918e+03 
       8.763858154063e-04       3.553114037865e+03 
       9.364179846722e-04       3.780116735708e+03 
       1.000190494535e-03       4.019400556625e+03 
       1.067741176407e-03       4.270782413898e+03 
       1.139066131515e-03       4.533902840765e+03 
       1.214119819148e-03       4.808232857405e+03 
       1.292817376789e-03       5.093090108067e+03 
       1.375038907064e-03       5.387646422646e+03 
       1.460635246729e-03       5.690980497138e+03 
       1.549434608876e-03       6.002133333834e+03 
       1.641249474603e-03       6.320086095231e+03 
       1.735883189233e-03       6.643811131479e+03 
       1.833135856926e-03       6.972296634994e+03 
       1.932809287215e-03       7.304566476855e+03 
       2.034710895449e-03       7.639695269180e+03 
       2.138656576439e-03       7.976818707283e+03 
       2.244472649586e-03       8.315139811710e+03 
       2.351997016768e-03       8.653931579466e+03 
       2.461079688549e-03       8.992536956219e+03 
       2.571582828955e-03       9.330366816128e+03 
       2.683380452246e-03       9.666896517662e+03 
       2.796357883159e-03       1.000166183507e+04 
       2.910411069356e-03       1.033425431614e+04 
       3.025445813778e-03       1.066431618809e+04 
       3.141376976536e-03       1.099153569416e+04 
       3.258127681244e-03       1.131564223226e+04 
       3.375628549176e-03       1.163640165650e+04 
       3.493816975898e-03       1.195361336810e+04 
       3.612636458628e-03       1.226710611045e+04 
       3.732035978033e-03       1.257673439029e+04 
       3.851969435050e-03       1.288237540964e+04 
       3.972395141241e-03       1.318392654216e+04 
       4.093275359919e-03       1.348130297972e+04 
       4.214575894555e-03       1.377443549507e+04 
       4.336265720608e-03       1.406326900309e+04 
       4.458316656869e-03       1.434776053573e+04 
       4.580703072473e-03       1.462787809498e+04 
       4.703401625923e-03       1.490359908005e+04 
       4.826391032738e-03       1.517490941666e+04 
       4.949651858613e-03       1.544180231266e+04 
       5.073166335232e-03       1.570427767139e+04 
       5.196918196213e-03       1.596234069723e+04 
       5.320892530891e-03       1.621599935724e+04 
       5.445075653895e-03       1.646526947235e+04 
       5.569454988725e-03       1.671017059766e+04 
       5.694018963724e-03       1.695072399202e+04 
       5.818756919026e-03       1.718695422385e+04 
       5.943659023241e-03       1.741888794715e+04 
       6.068716198757e-03       1.764655430299e+04 
       6.193920054713e-03       1.786998409324e+04 
       6.319262826760e-03       1.808921002531e+04 
       6.444737322869e-03       1.830426592476e+04 
       6.570336874520e-03       1.851518706680e+04 
       6.696055292682e-03       1.872200975649e+04 
