# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0
# for k=1.04216e-05 to 1.08687 h/Mpc,
# number of wavenumbers equal to 604
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_ncdm[0]              7:d_tot                  8:t_g                    9:t_b                   10:t_cdm                 11:t_ur                  12:t_ncdm[0]             13:t_tot              
       1.042159305790e-05      -2.116466671143e+00      -1.587350515374e+00      -1.587350515399e+00      -2.116466654410e+00      -1.587387184986e+00      -1.587485535107e+00       1.163169967693e-07       1.164594041742e-07       1.164594060868e-07       1.163143519602e-07       1.164580536203e-07       1.164593509720e-07 
       2.327065491504e-05      -2.121688473534e+00      -1.591279157905e+00      -1.591279158555e+00      -2.121688054118e+00      -1.591315873204e+00      -1.591414507918e+00       5.771116663988e-07       5.806591136165e-07       5.806591617473e-07       5.770456974065e-07       5.806508974857e-07       5.806579041865e-07 
       3.616467344436e-05      -2.130878749065e+00      -1.598233688967e+00      -1.598233692781e+00      -2.130876306191e+00      -1.598270336238e+00      -1.598369610974e+00       1.381740646130e-06       1.402390781803e-06       1.402391062791e-06       1.381357494416e-06       1.402364601023e-06       1.402383840632e-06 
       4.913816912464e-05      -2.144029969764e+00      -1.608276285522e+00      -1.608276298538e+00      -2.144021675101e+00      -1.608312498777e+00      -1.608413005082e+00       2.518867638840e-06       2.588999710275e-06       2.589000667125e-06       2.517571205148e-06       2.588934482894e-06       2.588976246873e-06 
       6.222623054825e-05      -2.161135685808e+00      -1.621502462357e+00      -1.621502495825e+00      -2.161114469097e+00      -1.621537498704e+00      -1.621640181438e+00       3.972280678988e-06       4.151770061477e-06       4.151772518048e-06       3.968979382704e-06       4.151629783328e-06       4.151710140772e-06 
       7.546482575493e-05      -2.182187742873e+00      -1.638042778385e+00      -1.638042850712e+00      -2.182142163324e+00      -1.638075374764e+00      -1.638181666890e+00       5.720222153940e-06       6.106126015896e-06       6.106131317592e-06       5.713169526259e-06       6.105854087929e-06       6.105997342212e-06 
       8.889112347280e-05      -2.207172483794e+00      -1.658065250451e+00      -1.658065389481e+00      -2.207085473668e+00      -1.658093453992e+00      -1.658205436307e+00       7.734481787854e-06       8.471916923643e-06       8.471927100745e-06       7.721109670682e-06       8.471429441665e-06       8.471671233069e-06 
       1.025438285197e-04      -2.236065769741e+00      -1.681778541989e+00      -1.681778787727e+00      -2.235913215464e+00      -1.681799504714e+00      -1.681920099353e+00       9.979236976418e-06       1.127379397062e-05       1.127381193181e-05       9.955981264014e-06       1.127297161125e-05       1.127336291948e-05 
       1.164635356510e-04      -2.268826604656e+00      -1.709436013833e+00      -1.709436421750e+00      -2.268575730029e+00      -1.709445740201e+00      -1.709578948899e+00       1.240962381047e-05       1.454168848028e-05       1.454171824527e-05       1.237174441534e-05       1.454036653084e-05       1.454097890928e-05 
       1.306931061722e-04      -2.305389093392e+00      -1.741340743819e+00      -1.741341388906e+00      -2.304996609750e+00      -1.741333776701e+00      -1.741484977626e+00       1.497002501345e-05       1.831140491674e-05       1.831145189889e-05       1.491142433259e-05       1.830936088109e-05       1.831029336257e-05 
