# Matter power spectrum P(k) at redshift z=2.34
# for k=1.04216e-05 to 1.08687 h/Mpc,
# number of wavenumbers equal to 604
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.042159305790e-05       7.142256212298e+00 
       2.327065491504e-05       1.553435313938e+01 
       3.616467344436e-05       2.376657192935e+01 
       4.913816912464e-05       3.193704157948e+01 
       6.222623054825e-05       4.009787572408e+01 
       7.546482575493e-05       4.828742419504e+01 
       8.889112347280e-05       5.653822997361e+01 
       1.025438285197e-04       6.488015638263e+01 
       1.164635356510e-04       7.334196565839e+01 
       1.306931061722e-04       8.195224416092e+01 
       1.452780716436e-04       9.074005731117e+01 
       1.602670689463e-04       9.973544380046e+01 
       1.757123108067e-04       1.089698259710e+02 
       1.916700955207e-04       1.184764154114e+02 
       2.082013589804e-04       1.282905629793e+02 
       2.253722710624e-04       1.384501297953e+02 
       2.432548768228e-04       1.489958479890e+02 
       2.619277805455e-04       1.599716903017e+02 
       2.814768672457e-04       1.714252343173e+02 
       3.019960514156e-04       1.834080297563e+02 
       3.235880362513e-04       1.959759428464e+02 
       3.463650579177e-04       2.091894701597e+02 
       3.704495782233e-04       2.231139998017e+02 
       3.959748751353e-04       2.378199776787e+02 
       4.230854638676e-04       2.533829521025e+02 
       4.519372623079e-04       2.698834326349e+02 
       4.826973945983e-04       2.874065094911e+02 
       5.155435081536e-04       3.060411597029e+02 
       5.506624662346e-04       3.258791688051e+02 
       5.882482760070e-04       3.470135953843e+02 
       6.284991279767e-04       3.695367249268e+02 
       6.716134645583e-04       3.935374929316e+02 
       7.177850697867e-04       4.190984004982e+02 
       7.671972809633e-04       4.462920249258e+02 
       8.200165604921e-04       4.751773008784e+02 
       8.763858154063e-04       5.057958382141e+02 
       9.364179846722e-04       5.381686052419e+02 
       1.000190494535e-03       5.722933335103e+02 
       1.067741176407e-03       6.081429698600e+02 
       1.139066131515e-03       6.456654085499e+02 
       1.214119819148e-03       6.847845903366e+02 
       1.292817376789e-03       7.254028835329e+02 
       1.375038907064e-03       7.674021698478e+02 
       1.460635246729e-03       8.106513256072e+02 
       1.549434608876e-03       8.550140482432e+02 
       1.641249474603e-03       9.003455657776e+02 
       1.735883189233e-03       9.464998373025e+02 
       1.833135856926e-03       9.933330027165e+02 
       1.932809287215e-03       1.040706177504e+03 
       2.034710895449e-03       1.088487590714e+03 
       2.138656576439e-03       1.136554079211e+03 
       2.244472649586e-03       1.184792020315e+03 
       2.351997016768e-03       1.233097767224e+03 
       2.461079688549e-03       1.281377693548e+03 
       2.571582828955e-03       1.329547926236e+03 
       2.683380452246e-03       1.377533841475e+03 
       2.796357883159e-03       1.425269444420e+03 
       2.910411069356e-03       1.472696666512e+03 
       3.025445813778e-03       1.519764617378e+03 
       3.141376976536e-03       1.566428915208e+03 
       3.258127681244e-03       1.612651010812e+03 
       3.375628549176e-03       1.658397564318e+03 
       3.493816975898e-03       1.703639914621e+03 
       3.612636458628e-03       1.748353549947e+03 
       3.732035978033e-03       1.792517639178e+03 
       3.851969435050e-03       1.836114595363e+03 
       3.972395141241e-03       1.879129708962e+03 
       4.093275359919e-03       1.921550802958e+03 
       4.214575894555e-03       1.963367909046e+03 
       4.336265720608e-03       2.004573062589e+03 
       4.458316656869e-03       2.045160024966e+03 
       4.580703072473e-03       2.085124129779e+03 
       4.703401625923e-03       2.124462068190e+03 
       4.826391032738e-03       2.163171768656e+03 
       4.949651858613e-03       2.201252206124e+03 
       5.073166335232e-03       2.238703328749e+03 
       5.196918196213e-03       2.275525851816e+03 
       5.320892530891e-03       2.311720902108e+03 
       5.445075653895e-03       2.347290711767e+03 
       5.569454988725e-03       2.382237713083e+03 
       5.694018963724e-03       2.416564662701e+03 
       5.818756919026e-03       2.450275270089e+03 
       5.943659023241e-03       2.483373519524e+03 
       6.068716198757e-03       2.515863727843e+03 
       6.193920054713e-03       2.547750427757e+03 
       6.319262826760e-03       2.579038402251e+03 
       6.444737322869e-03       2.609732574095e+03 
       6.570336874520e-03       2.639838052965e+03 
       6.696055292682e-03       2.669360079411e+03 
       6.821886828059e-03       2.698304007006e+03 
       6.947826135152e-03       2.726675251325e+03 
       7.073868239734e-03       2.754479370324e+03 
       7.200008509364e-03       2.781721935485e+03 
       7.326242626641e-03       2.808408563659e+03 
       7.452566564906e-03       2.834544903362e+03 
       7.578976566138e-03       2.860136616296e+03 
       7.705469120838e-03       2.885189394312e+03 
       7.832040949684e-03       2.909708866984e+03 
       7.958688986795e-03       2.933700767088e+03 
       8.085410364444e-03       2.957170675060e+03 
       8.212202399073e-03       2.980124275860e+03 
       8.339062578494e-03       3.002567223206e+03 
       8.465988550164e-03       3.024505044476e+03 
       8.592978110424e-03       3.045943381270e+03 
       8.720029194622e-03       3.066887795656e+03 
       8.847139868039e-03       3.087343835156e+03 
       8.974308317537e-03       3.107316943487e+03 
       9.101532843877e-03       3.126812637148e+03 
       9.228811854633e-03       3.145836257797e+03 
       9.356143857665e-03       3.164393308657e+03 
       9.483527455088e-03       3.182489064783e+03 
       9.610961337712e-03       3.200128917034e+03 
       9.738444279891e-03       3.217317989491e+03 
       9.865975134771e-03       3.234061668162e+03 
       9.993552829878e-03       3.250365001789e+03 
       1.012117636305e-02       3.266233244547e+03 
       1.024884479864e-02       3.281671327883e+03 
       1.037655726405e-02       3.296684449217e+03 
       1.050431294641e-02       3.311277535728e+03 
       1.063211108965e-02       3.325455650677e+03 
       1.075995099163e-02       3.339223548396e+03 
       1.088783200155e-02       3.352586237180e+03 
       1.101575351756e-02       3.365548486216e+03 
       1.114371498450e-02       3.378115183290e+03 
       1.127171589179e-02       3.390290990468e+03 
       1.139975577148e-02       3.402080602599e+03 
       1.152783419651e-02       3.413488835350e+03 
       1.165595077894e-02       3.424520162375e+03 
       1.178410516844e-02       3.435179225084e+03 
       1.191229705081e-02       3.445470644257e+03 
       1.204052614666e-02       3.455398791662e+03 
       1.216879221009e-02       3.464968244165e+03 
       1.229709502759e-02       3.474183438252e+03 
       1.242543441689e-02       3.483048691743e+03 
       1.255381022600e-02       3.491568407169e+03 
       1.268222233224e-02       3.499746819154e+03 
       1.281067064139e-02       3.507588269955e+03 
       1.293915508686e-02       3.515096896644e+03 
       1.306767562897e-02       3.522276981085e+03 
       1.319623225425e-02       3.529132614944e+03 
       1.332482497478e-02       3.535667917609e+03 
       1.345345382766e-02       3.541887001757e+03 
       1.358211887440e-02       3.547793812753e+03 
       1.371082020049e-02       3.553392472305e+03 
       1.383955791490e-02       3.558686793300e+03 
       1.396833214968e-02       3.563680761906e+03 
       1.409714305959e-02       3.568378267511e+03 
       1.422599082178e-02       3.572783050279e+03 
       1.435487563544e-02       3.576898969721e+03 
       1.448379772155e-02       3.580729767358e+03 
       1.461275732265e-02       3.584279098452e+03 
       1.474175470263e-02       3.587550633747e+03 
       1.487079014650e-02       3.590548072601e+03 
       1.499986396030e-02       3.593274934634e+03 
       1.512897647092e-02       3.595734744444e+03 
       1.525812802602e-02       3.597931082043e+03 
       1.536280307510e-02       3.599519817020e+03 
       1.538731899394e-02       3.599867408697e+03 
       1.551654976364e-02       3.601547147723e+03 
       1.564582074468e-02       3.602973679925e+03 
       1.577513236717e-02       3.604150405192e+03 
       1.590448508184e-02       3.605080718566e+03 
       1.603387935999e-02       3.605767839746e+03 
       1.616331569362e-02       3.606215092898e+03 
       1.629279459543e-02       3.606425692644e+03 
       1.642231659893e-02       3.606402853506e+03 
       1.655188225858e-02       3.606149799502e+03 
       1.668149214985e-02       3.605669702960e+03 
       1.681114686942e-02       3.604965665421e+03 
       1.694084703528e-02       3.604040794540e+03 
       1.707059328698e-02       3.602898165672e+03 
       1.720038628575e-02       3.601540839101e+03 
       1.733022671477e-02       3.599971847071e+03 
       1.746011527935e-02       3.598194208501e+03 
       1.759005270721e-02       3.596210939101e+03 
       1.772003974873e-02       3.594024983528e+03 
       1.785007717721e-02       3.591639275934e+03 
       1.798016578919e-02       3.589056794714e+03 
       1.811030640476e-02       3.586280403044e+03 
       1.824049986785e-02       3.583312983716e+03 
       1.837074704663e-02       3.580157443811e+03 
       1.850104883382e-02       3.576816611152e+03 
       1.863140614711e-02       3.573293326855e+03 
       1.876181992953e-02       3.569590417606e+03 
       1.889229114985e-02       3.565710699934e+03 
       1.902282080306e-02       3.561656904507e+03 
       1.915340991075e-02       3.557431887861e+03 
       1.928405952162e-02       3.553038365884e+03 
       1.941477071196e-02       3.548479067544e+03 
       1.954554458613e-02       3.543756716860e+03 
       1.967638227709e-02       3.538874056631e+03 
       1.980728494693e-02       3.533833738815e+03 
       1.993825378746e-02       3.528638453613e+03 
       2.006929002074e-02       3.523290879889e+03 
       2.020039489971e-02       3.517793631023e+03 
       2.033156970879e-02       3.512149320996e+03 
       2.046281576452e-02       3.506360609616e+03 
       2.059413441623e-02       3.500430038257e+03 
       2.072552704671e-02       3.494360169423e+03 
       2.085699507293e-02       3.488153594308e+03 
       2.098853994674e-02       3.481812807125e+03 
       2.112016315564e-02       3.475340312399e+03 
       2.125186622355e-02       3.468738578945e+03 
       2.138365071158e-02       3.462010088289e+03 
