# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=2.34
# for k=1.04216e-05 to 1.08687 h/Mpc,
# number of wavenumbers equal to 604
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_ncdm[0]              7:d_tot                  8:t_g                    9:t_b                   10:t_cdm                 11:t_ur                  12:t_ncdm[0]             13:t_tot              
       1.042159305790e-05      -1.623905414652e+00      -1.217929125549e+00      -1.217929125558e+00      -1.623905412061e+00      -1.218375754159e+00      -1.218276533830e+00       8.524912319853e-08       8.527944350407e-08       8.527944682236e-08       8.524811579491e-08       8.527838931792e-08       8.527940675239e-08 
       2.327065491504e-05      -1.625875267591e+00      -1.219408084764e+00      -1.219408085014e+00      -1.625875201996e+00      -1.219855225252e+00      -1.219755913178e+00       4.244376372647e-07       4.251982558878e-07       4.251983399313e-07       4.244122930518e-07       4.251902325014e-07       4.251974182373e-07 
       3.616467344436e-05      -1.629355478548e+00      -1.222026160344e+00      -1.222026161826e+00      -1.629355095248e+00      -1.222474105920e+00      -1.222374726813e+00       1.022489133188e-06       1.026928112759e-06       1.026928604077e-06       1.022341222985e-06       1.026896904605e-06       1.026923295844e-06 
       4.913816912464e-05      -1.634365624109e+00      -1.225806771871e+00      -1.225806776943e+00      -1.634364318339e+00      -1.226255652171e+00      -1.226156391358e+00       1.880734195901e-06       1.895850564985e-06       1.895852239699e-06       1.880230756211e-06       1.895761415353e-06       1.895834240803e-06 
       6.222623054825e-05      -1.640936317439e+00      -1.230785892184e+00      -1.230785905245e+00      -1.640932964103e+00      -1.231235592787e+00      -1.231136875555e+00       3.001417586102e-06       3.040232843072e-06       3.040237147094e-06       3.000125880149e-06       3.040023287991e-06       3.040191017865e-06 
       7.546482575493e-05      -1.649109280980e+00      -1.237012693235e+00      -1.237012721491e+00      -1.649102041955e+00      -1.237462762743e+00      -1.237365345647e+00       4.387584882427e-06       4.471375345894e-06       4.471384645821e-06       4.384799330497e-06       4.470944686323e-06       4.471285164858e-06 
       8.889112347280e-05      -1.658937450336e+00      -1.244550455340e+00      -1.244550509708e+00      -1.658923550379e+00      -1.244999994882e+00      -1.244905073976e+00       6.042926171931e-06       6.203820711738e-06       6.203838588905e-06       6.037584099662e-06       6.203017559601e-06       6.203647672803e-06 
       1.025438285197e-04      -1.670485089501e+00      -1.253477768474e+00      -1.253477864663e+00      -1.670460550303e+00      -1.253925297407e+00      -1.253834639381e+00       7.971564786478e-06       8.255629991880e-06       8.255661594320e-06       7.962147383869e-06       8.254237210893e-06       8.255324638110e-06 
       1.164635356510e-04      -1.683827883854e+00      -1.263890059914e+00      -1.263890219746e+00      -1.683787203759e+00      -1.264333350044e+00      -1.264249453659e+00       1.017777483135e-05       1.064873335625e-05       1.064878582648e-05       1.016218911121e-05       1.064644955915e-05       1.064822729130e-05 
       1.306931061722e-04      -1.699052955409e+00      -1.275901484877e+00      -1.275901737916e+00      -1.698988719725e+00      -1.276337353557e+00      -1.276263650670e+00       1.266560631733e-05       1.340936492278e-05       1.340944792343e-05       1.264104310448e-05       1.340578147303e-05       1.340856596114e-05 
       1.452780716436e-04      -1.716258741551e+00      -1.289647239087e+00      -1.289647624660e+00      -1.716161145029e+00      -1.290071288849e+00      -1.290012396888e+00       1.543839022537e-05       1.656859365275e-05       1.656872001751e-05       1.540115226797e-05       1.656316583043e-05       1.656737987442e-05 
       1.602670689463e-04      -1.735554639237e+00      -1.305286351410e+00      -1.305286921142e+00      -1.735410898101e+00      -1.305692640316e+00      -1.305654681446e+00       1.849808854727e-05       2.016296503205e-05       2.016315157642e-05       1.844338173050e-05       2.015497564453e-05       2.016117745893e-05 
       1.757123108067e-04      -1.757060292341e+00      -1.323005033361e+00      -1.323005854350e+00      -1.756853918117e+00      -1.323385655633e+00      -1.323376662279e+00       2.184444528404e-05       2.423527136989e-05       2.423553990519e-05       2.176612464095e-05       2.422378458581e-05       2.423270491547e-05 
       1.916700955207e-04      -1.780904370926e+00      -1.343020689519e+00      -1.343021848342e+00      -1.780614271840e+00      -1.343365239655e+00      -1.343395672212e+00       2.547388275727e-05       2.883547188907e-05       2.883585049468e-05       2.536414350633e-05       2.881927440029e-05       2.883186415232e-05 
       2.082013589804e-04      -1.807222606736e+00      -1.365586680731e+00      -1.365588288513e+00      -1.806821974955e+00      -1.365881566404e+00      -1.365964976581e+00       2.937807697334e-05       3.402178806929e-05       3.402231269279e-05       2.922707933108e-05       3.399931381317e-05       3.401680544717e-05 
       2.253722710624e-04      -1.836154818848e+00      -1.390997985546e+00      -1.391000184373e+00      -1.835609752708e+00      -1.391225543485e+00      -1.391379427486e+00       3.354213040378e-05       3.986200368661e-05       3.986272015984e-05       3.333754543749e-05       3.983123718160e-05       3.985522416326e-05 
       2.432548768228e-04      -1.867840551581e+00      -1.419597899778e+00      -1.419600870852e+00      -1.867108351663e+00      -1.419735254625e+00      -1.419982154146e+00       3.794224877954e-05       4.643500402873e-05       4.643597061103e-05       3.766871147095e-05       4.639335583180e-05       4.642589586656e-05 
       2.619277805455e-04      -1.902412859767e+00      -1.451785950382e+00      -1.451789924374e+00      -1.901439926290e+00      -1.451803537271e+00      -1.452172464965e+00       4.254281651664e-05       5.383259347315e-05       5.383388406173e-05       4.218127186476e-05       5.377673920662e-05       5.382048888136e-05 
       2.814768672457e-04      -1.939989649305e+00      -1.488027211501e+00      -1.488032481743e+00      -1.938708896766e+00      -1.487886857975e+00      -1.488415148530e+00       4.729276187690e-05       6.216163561550e-05       6.216334379811e-05       4.681969109352e-05       6.208730729012e-05       6.214569831581e-05 
       3.019960514156e-04      -1.980661857573e+00      -1.528863238850e+00      -1.528870178117e+00      -1.978989552044e+00      -1.528515667898e+00      -1.529251388867e+00       5.212111092746e-05       7.154656406040e-05       7.154880822756e-05       5.150762867999e-05       7.144827880238e-05       7.152574952097e-05 
       3.235880362513e-04      -2.024477621061e+00      -1.574924839314e+00      -1.574933921196e+00      -2.022309539216e+00      -1.574306411205e+00      -1.575311510911e+00       5.693166520845e-05       8.213231512293e-05       8.213524490640e-05       5.614248735851e-05       8.200302165149e-05       8.210532212208e-05 
       3.463650579177e-04      -2.071421483551e+00      -1.626946903165e+00      -1.626958729232e+00      -2.068628294323e+00      -1.625975355165e+00      -1.627329782509e+00       6.159681400793e-05       9.408773364608e-05       9.409153800522e-05       6.058911097804e-05       9.391835056425e-05       9.405294580521e-05 
       3.704495782233e-04      -2.121387669710e+00      -1.685785506633e+00      -1.685800840907e+00      -2.117809456934e+00      -1.684354372953e+00      -1.686161479608e+00       6.595063851547e-05       1.076094990411e-04       1.076144163768e-04       6.467281618587e-05       1.073883107745e-04       1.075649151116e-04 
       3.959748751353e-04      -2.174146579412e+00      -1.752437440042e+00      -1.752457252580e+00      -2.169586468101e+00      -1.750408735198e+00      -1.752802368775e+00       6.978171935126e-05       1.229266084729e-04       1.229329392025e-04       6.817221253751e-05       1.226384740280e-04       1.228697605990e-04 
       4.230854638676e-04      -2.229304069244e+00      -1.828062241933e+00      -1.828087763658e+00      -2.223521004431e+00      -1.825256861904e+00      -1.828410686771e+00       7.282646222748e-05       1.403054330679e-04       1.403135551307e-04       7.081269183360e-05       1.399307490264e-04       1.402332931446e-04 
       4.519372623079e-04      -2.286253955557e+00      -1.914006660639e+00      -1.914039451821e+00      -2.278954833633e+00      -1.910191794205e+00      -1.914331538597e+00       7.476437507117e-05       1.600553304866e-04       1.600657182509e-04       7.226211674605e-05       1.595686722809e-04       1.599642063329e-04 
       4.826973945983e-04      -2.344125741447e+00      -2.011831255245e+00      -2.011873290231e+00      -2.334957336108e+00      -2.006703895043e+00      -2.012123427197e+00       7.521759995144e-05       1.825347456983e-04       1.825479926719e-04       7.213114630369e-05       1.819030895790e-04       1.824201713477e-04 
