# Table of selected background quantitites
# All densities are mutiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_ncdm[0]        13:(.)rho_ur             14:(.)rho_crit           15:U                     16:U_prime               17:V                     18:V_prime               19:gr.fac. D             20:gr.fac. f          
       1.000000000000e+14       7.555728775701e-26       4.632966010831e-09       2.158338309717e+22       1.416699289572e+04       1.416699289572e-10       1.416699289572e+18       2.674975774605e-09       2.753580214648e+44       2.468970474383e+33       1.334067417208e+34       1.900835498220e+44       4.008546167835e+41       4.658424259194e+44       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       5.366621546043e-18       2.000000000017e+00 
       9.930486593843e+13       7.661879209271e-26       4.665707820095e-09       2.128435913568e+22       1.416699289572e+04       1.426616184599e-10       1.406851330261e+18       2.693700605027e-09       2.677810562215e+44       2.417839591228e+33       1.306439688996e+34       1.848530631899e+44       3.898243897256e+41       4.530239438166e+44       2.477094299872e-15       1.522230631845e-04       1.174725712350e-72       1.449347161454e-61       5.442017212144e-18       2.000000000016e+00 
       9.861456399050e+13       7.769520950282e-26       4.698449629359e-09       2.098947795982e+22       1.416699289572e+04       1.436602497892e-10       1.397071827468e+18       2.712556509262e-09       2.604125846403e+44       2.367767597696e+33       1.279384114302e+34       1.797665026915e+44       3.790976789647e+41       4.405581850260e+44       9.908507849412e-15       3.023394414281e-04       1.908757170480e-71       1.173809282728e-60       5.518472111958e-18       2.000000000014e+00 
       9.792906056653e+13       7.878674950113e-26       4.731191438623e-09       2.069868217397e+22       1.416699289572e+04       1.446658715377e-10       1.387360305331e+18       2.731544404827e-09       2.532468696478e+44       2.318732564822e+33       1.252888844174e+34       1.748199079435e+44       3.686661327107e+41       4.284354437388e+44       2.229459433747e-14       4.503737481294e-04       9.813592884923e-71       4.010768523665e-60       5.596001126660e-18       2.000000000013e+00 
       9.724832231036e+13       7.989362454487e-26       4.763933247887e-09       2.041191517764e+22       1.416699289572e+04       1.456785326384e-10       1.377716291292e+18       2.750665215661e-09       2.462783320360e+44       2.270713017780e+33       1.226942275042e+34       1.700094275396e+44       3.585216289876e+41       4.166462812190e+44       3.963598195595e-14       5.963586855937e-04       3.150024114914e-70       9.625462443898e-60       5.674619346489e-18       2.000000000012e+00 
       9.657231609767e+13       8.101605007610e-26       4.798494046554e-09       2.012912115454e+22       1.416699289572e+04       1.466982823669e-10       1.368139316079e+18       2.769919872170e-09       2.395015461189e+44       2.223687926474e+33       1.201533043642e+34       1.653313160517e+44       3.486562693102e+41       4.051815184541e+44       6.193348854464e-14       7.403199294342e-04       7.810945384214e-70       1.903491795298e-59       5.754342073688e-18       2.000000000011e+00 
       9.590100903443e+13       8.215424456362e-26       4.831235855818e-09       1.985024506167e+22       1.416699289572e+04       1.477251703435e-10       1.358628913684e+18       2.789309311276e-09       2.329112355080e+44       2.177636696328e+33       1.176650022036e+34       1.607819311139e+44       3.390623725341e+41       3.940322290084e+44       8.918820586285e-14       8.822873882824e-04       1.645117773200e-69       3.330546403288e-59       5.835184825482e-18       2.000000000010e+00 
       9.523436845525e+13       8.330842954549e-26       4.865796654485e-09       1.957523261861e+22       1.416699289572e+04       1.487592465359e-10       1.349184621334e+18       2.808834476454e-09       2.265022690039e+44       2.132539159266e+33       1.152282312735e+34       1.563577305864e+44       3.297324688751e+41       3.831897320728e+44       1.214014938866e-13       1.022288979715e-03       3.095788504262e-69       5.355474353107e-59       5.917163337095e-18       2.000000000009e+00 
       9.457236192179e+13       8.447882967218e-26       4.898538463749e-09       1.930403029697e+22       1.416699289572e+04       1.498005612616e-10       1.339805979478e+18       2.828496317790e-09       2.202696566012e+44       2.088375564882e+33       1.128419243936e+34       1.520552697979e+44       3.206592940936e+41       3.726455857065e+44       1.585748760678e-13       1.160349006087e-03       5.364693553447e-69       8.095377897440e-59       6.000293564818e-18       2.000000000007e+00 
       9.391495722125e+13       8.566567275024e-26       4.933099262416e-09       1.903658530996e+22       1.416699289572e+04       1.508491651905e-10       1.330492531756e+18       2.848295792014e-09       2.142085456034e+44       2.045126571790e+33       1.105050364838e+34       1.478711988629e+44       3.118357838382e+41       3.623915802633e+44       2.007101790452e-13       1.296496366019e-03       8.729302586477e-69       1.167291095195e-58       6.084591689111e-18       2.000000000006e+00 
