# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.305003610702e-10       5.449617160455e-15       4.607894059041e-13       2.585661585074e-16       9.326583448371e-09       3.079241732141e-10      -2.194613392587e-12 
    3       1.254765626490e-10       7.866744921141e-15       5.161587336457e-13       2.756782662162e-16       5.740504885611e-09       2.197733885216e-10      -1.768997359978e-12 
    4       1.206770430621e-10       7.865701032066e-15       4.906441210353e-13       2.518125988438e-16       3.970146451506e-09       1.670401433251e-10      -1.281095107252e-12 
    5       1.171068218061e-10       6.193972553965e-15       4.282070963552e-13       2.065586572835e-16       2.945889611576e-09       1.320873460823e-10      -8.424600525756e-13 
    6       1.147289240856e-10       4.065338050893e-15       3.540032110875e-13       1.569847419345e-16       2.287866433584e-09       1.074198025870e-10      -4.862884743644e-13 
    7       1.133349711551e-10       2.354866770415e-15       2.832954749330e-13       1.139217708912e-16       1.836866563785e-09       8.928162560356e-11      -2.226415505302e-13 
    8       1.126912495070e-10       1.344037353901e-15       2.238532119448e-13       8.219710627480e-17       1.512415339934e-09       7.550957300175e-11      -4.750194880683e-14 
    9       1.126249219121e-10       8.953070823958e-16       1.788519455933e-13       6.242180790577e-17       1.269465113364e-09       6.476387701314e-11       5.155783330545e-14 
   10       1.129785539336e-10       7.386736153532e-16       1.485946942146e-13       5.292907272408e-17       1.081797156200e-09       5.622172406794e-11       9.161834214433e-14 
   11       1.136697788011e-10       6.699161307743e-16       1.315115200388e-13       5.118945832288e-17       9.079657277074e-10       4.984107728513e-11       9.113485581867e-14 
   12       1.146335584248e-10       6.064193717859e-16       1.249013976012e-13       5.476534005259e-17       7.911260579601e-10       4.404587925419e-11       6.763730910943e-14 
   13       1.157893111519e-10       5.482150109939e-16       1.257062466789e-13       6.167103237464e-17       6.954652559449e-10       3.935965833699e-11       3.529251470773e-14 
   14       1.170694100457e-10       5.175646735821e-16       1.311390249371e-13       7.056240030083e-17       6.160721111985e-10       3.522353877506e-11       3.778297836422e-15 
