# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.305008497357e-10       5.449846059322e-15       4.607894014656e-13       2.587950573276e-16       9.326583448371e-09       3.079241732141e-10      -2.194613392587e-12 
    3       1.254775371138e-10       7.867202855289e-15       5.161587138767e-13       2.761361998988e-16       5.740504885611e-09       2.197733885216e-10      -1.768997359978e-12 
    4       1.206786608865e-10       7.866464555447e-15       4.906440642746e-13       2.525761199375e-16       3.970146451506e-09       1.670401433251e-10      -1.281095107252e-12 
    5       1.171092369644e-10       6.195118393183e-15       4.282069671706e-13       2.077044886664e-16       2.945889611576e-09       1.320873460823e-10      -8.424600525756e-13 
    6       1.147322862661e-10       4.066943140559e-15       3.540029573544e-13       1.585898102240e-16       2.287866433584e-09       1.074198025870e-10      -4.862884743644e-13 
    7       1.133394251787e-10       2.357008283527e-15       2.832950252258e-13       1.160632342493e-16       1.836866563785e-09       8.928162560356e-11      -2.226415505302e-13 
    8       1.126969348807e-10       1.346792726502e-15       2.238524732824e-13       8.495237597369e-17       1.512415339934e-09       7.550957300175e-11      -4.750194880683e-14 
    9       1.126319725238e-10       8.987540318561e-16       1.788508015639e-13       6.586856324670e-17       1.269465113364e-09       6.476387701314e-11       5.155783330545e-14 
   10       1.129870978945e-10       7.428901517829e-16       1.485930034907e-13       5.714526915056e-17       1.081797156200e-09       5.622172406794e-11       9.161834214433e-14 
   11       1.136799384321e-10       6.749805612146e-16       1.315091152844e-13       5.625332881488e-17       9.079657277074e-10       4.984107728513e-11       9.113485581867e-14 
   12       1.146454503807e-10       6.124102969883e-16       1.248980847572e-13       6.075539013100e-17       7.911260579601e-10       4.404587925419e-11       6.763730910943e-14 
   13       1.158030466732e-10       5.552113147662e-16       1.257018046050e-13       6.866602927093e-17       6.954652559449e-10       3.935965833699e-11       3.529251470773e-14 
   14       1.170850953209e-10       5.256455048495e-16       1.311332053764e-13       7.864135704731e-17       6.160721111985e-10       3.522353877506e-11       3.778297836422e-15 
   15       1.185151076587e-10       5.329280994074e-16       1.389813353659e-13       8.981696112861e-17       5.494052461669e-10       3.179537810563e-11      -2.045118409063e-14 
   16       1.200810749921e-10       5.696460634344e-16       1.475945130537e-13       1.017554480944e-16       4.928536956940e-10       2.891177407057e-11      -3.502045499616e-14 
   17       1.217025073931e-10       6.240801989543e-16       1.560145463122e-13       1.142487029264e-16       4.444492762250e-10       2.642812767527e-11      -4.025973543686e-14 
   18       1.234003480127e-10       6.903979588670e-16       1.639024584423e-13       1.272002277623e-16       4.025241942490e-10       2.419979642592e-11      -3.837565143712e-14 
   19       1.251878450441e-10       7.718368335257e-16       1.713182743932e-13       1.405832412566e-16       3.663898320141e-10       2.222235210131e-11      -3.181231094202e-14 
   20       1.270110524282e-10       8.740841409406e-16       1.784570500293e-13       1.543950538953e-16       3.346256350651e-10       2.049447941926e-11      -2.362271021639e-14 
   21       1.288868849301e-10       1.000624966031e-15       1.856052439533e-13       1.686236050966e-16       3.067162505293e-10       1.898690197709e-11      -1.574535515364e-14 
   22       1.308216125319e-10       1.153468096573e-15       1.930601093207e-13       1.832597392956e-16       2.819793878389e-10       1.763438617698e-11      -9.797396345430e-15 
   23       1.328056784182e-10       1.331764045338e-15       2.008361826125e-13       1.982975633724e-16       2.600638865723e-10       1.640923177248e-11      -6.343435612900e-15 
