# dimensionless [l(l+1)/2pi] C_l's for tensor mode
# for l=2 to 500, i.e. number of multipoles equal to 499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       7.320675974223e-12       1.503487768098e-16       7.056963750744e-15       2.585661585074e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    3       5.849382820627e-12       1.732321570318e-16      -1.728044665410e-15       2.756782662162e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    4       5.417969462481e-12       1.682933236285e-16      -4.490131925139e-15       2.518125988438e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    5       5.288586654591e-12       1.417494792909e-16      -5.026686461909e-15       2.065586572835e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    6       5.239962420913e-12       1.077051772781e-16      -4.735006228191e-15       1.569847419345e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    7       5.231581861205e-12       7.729147268806e-17      -4.190950028608e-15       1.139217708912e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    8       5.243638890362e-12       5.619440839831e-17      -3.669742908891e-15       8.219710627480e-17       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    9       5.265486584542e-12       4.542785648302e-17      -3.283064937354e-15       6.242180790577e-17       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   10       5.291010168611e-12       4.323107019327e-17      -3.058690384482e-15       5.292907272408e-17       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   11       5.316709148270e-12       4.694660909042e-17      -2.987249884861e-15       5.118945832288e-17       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   12       5.340656405780e-12       5.414826394171e-17      -3.045332175689e-15       5.476534005259e-17       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   13       5.361789275935e-12       6.319403627220e-17      -3.208043114450e-15       6.167103237464e-17       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   14       5.379513758194e-12       7.314593220781e-17      -3.455469739866e-15       7.056240030083e-17       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   15       5.393530405958e-12       8.364287898950e-17      -3.771984323929e-15       8.057480576438e-17       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   16       5.403739109804e-12       9.456685412939e-17      -4.145847683230e-15       9.127065277894e-17       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
