#scalar perturbations for mode k = 1.039140000000e-02 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:delta_ur              14:theta_ur              15:shear_ur              16:delta_cdm             17:theta_cdm             18:delta_ncdm[0]         19:theta_ncdm[0]         20:shear_ncdm[0]         21:dU_nlde               22:dV_nlde            
       6.819427545937e+00       1.490243975956e-05      -1.213668909740e+00       2.203028027217e-04       3.878316727879e-08       9.695791819697e-08       9.981086126898e-14       1.939158363939e-08      -9.102516823050e-01       2.203028027217e-04       6.011517146741e-01       6.968336541459e-01      -1.213668909740e+00       2.202524888001e-04       2.007052647494e-04      -9.102516823050e-01       2.204037322765e-04      -1.213674682238e+00       2.202538466566e-04       2.007059365932e-04       0.000000000000e+00       0.000000000000e+00 
       1.018759737863e+01       2.239850041585e-05      -1.220454044894e+00       3.282825154473e-04       1.304795790568e-07       3.261989476420e-07       7.583884209521e-13       6.523978952841e-08      -9.153405336722e-01       3.282825169928e-04       6.011093072544e-01       6.954453838524e-01      -1.220453587373e+00       3.281133908713e-04       4.469598989220e-04      -9.153412150080e-01       3.286160127127e-04      -1.220454606934e+00       3.280755297365e-04       4.468505068694e-04       3.429644059886e-03       7.957469804826e-18 
       1.518978118246e+01       3.369665513001e-05      -1.231652487490e+00       4.874036832613e-04       4.377507070837e-07       1.094376767709e-06       5.753565623703e-12       2.188753535419e-07      -9.237393656521e-01       4.874036982290e-04       6.009543725430e-01       6.933260272571e-01      -1.231649750033e+00       4.868365341993e-04       9.903156621774e-04      -9.237433689894e-01       4.884945445951e-04      -1.231628950232e+00       4.865801831459e-04       9.892411959209e-04       1.390354588637e-02       8.751435250351e-17 
       2.258453287184e+01       5.076113577409e-05      -1.250719322607e+00       7.194882147774e-04       1.454065845692e-06       3.635164614229e-06       4.313505368887e-11       7.270329228459e-07      -9.380394923853e-01       7.194883330841e-04       6.005546685357e-01       6.900475890091e-01      -1.250705313885e+00       7.175936376216e-04       2.176670047152e-03      -9.380594115554e-01       7.230044343041e-04      -1.250496305395e+00       7.154131879782e-04       2.163113707744e-03       3.207372024412e-02       7.050906214599e-16 
       3.344541677652e+01       7.660800963857e-05      -1.284014346639e+00       1.052298440141e-03       4.822768917068e-06       1.205692229267e-05       3.250336531148e-10       2.411384458534e-06      -9.630107647935e-01       1.052299320269e-03       5.996232458399e-01       6.849341558724e-01      -1.283945292704e+00       1.046011879123e-03       4.724209129179e-03      -9.631050225676e-01       1.063391274311e-03      -1.283429104273e+00       1.041788645537e-03       4.684294108819e-03       5.848664992630e-02       5.295130503490e-15 
       4.925556055276e+01       1.159002312142e-04      -1.343111012812e+00       1.516178246281e-03       1.605869259482e-05       4.014673148705e-05       2.495757131115e-09       8.029346297409e-06      -1.007333310735e+00       1.516184577427e-03       5.975788796953e-01       6.769396067310e-01      -1.342778139618e+00       1.495562077517e-03       1.005003170527e-02      -1.007762433168e+00       1.550109742190e-03      -1.342523490363e+00       1.494587206068e-03       1.003404282353e-02       9.192350103438e-02       3.808179452141e-14 
       7.200106195037e+01       1.758960006864e-04      -1.448224475583e+00       2.132283792850e-03       5.447131615113e-05       1.361782903778e-04       2.052924094364e-08       2.723565807556e-05      -1.086168882875e+00       2.132330458031e-03       5.934988632882e-01       6.645334096083e-01      -1.446663146350e+00       2.066050460451e-03       2.070184571697e-02      -1.088032473324e+00       2.231678909616e-03      -1.445250278793e+00       2.060908391455e-03       2.057185302168e-02       1.256119716426e-01       2.606828551503e-13 
       1.042443161323e+02       2.679556003085e-04      -1.631871163173e+00       2.885067300753e-03       1.744027663034e-04       4.360069157586e-04       1.556845093618e-07       8.720138315172e-05      -1.223908699516e+00       2.885381695063e-03       5.857798231209e-01       6.457179559469e-01      -1.624836819040e+00       2.679702617536e-03       4.044844897886e-02      -1.231514923616e+00       3.159536251713e-03      -1.623199907655e+00       2.677718102173e-03       4.030963962376e-02       1.399369964388e-01       1.673619138628e-12 
       1.491627882895e+02       4.099155984471e-04      -1.939135481807e+00       3.676440667965e-03       5.170761672878e-04       1.292690418219e-03       1.082460358787e-06       2.585380836439e-04      -1.454399533110e+00       3.678415432582e-03       5.726424016300e-01       6.184035681833e-01      -1.909293902225e+00       3.076617950738e-03       7.229146416963e-02      -1.483057454745e+00       4.377537900161e-03      -1.902836276138e+00       3.076851452066e-03       7.166080381973e-02       9.261967322433e-02       9.864390744356e-12 
       2.047455590057e+02       6.076856224640e-04      -2.369489809902e+00       4.247389598754e-03       1.416220267990e-03       3.540550669974e-03       7.081101339947e-06       7.081101339949e-04      -1.777461338656e+00       4.257863714590e-03       5.535449835996e-01       5.848856350652e-01      -2.265554211701e+00       2.775878542236e-03       1.073781365267e-01      -1.866158802348e+00       5.768304283972e-03      -2.260912845856e+00       2.785728182751e-03       1.069957239158e-01      -6.116858922090e-02       4.543668911171e-11 
       2.047455590057e+02       6.076856224640e-04      -2.369489809902e+00       4.247389598754e-03       1.416220267990e-03       3.540550669974e-03       7.081101339947e-06       7.081101339949e-04      -1.777461338656e+00       4.257863714590e-03       5.535603470446e-01       5.848856350652e-01      -2.265554211701e+00       2.775878542236e-03       1.073781365267e-01      -1.866158802348e+00       5.768304283972e-03      -2.260912845856e+00       2.785728182751e-03       1.069957239158e-01      -6.116858922090e-02       4.543668911171e-11 
       2.052267261246e+02       6.095044631690e-04      -2.373348800420e+00       4.250512066294e-03       1.429038442760e-03       3.543582335623e-03       7.091352972395e-06       7.087260343052e-04      -1.780360642227e+00       4.261081451474e-03       5.533904578091e-01       5.846023731677e-01      -2.268466131484e+00       2.769603329683e-03       1.076202680971e-01      -1.869786873615e+00       5.779804892662e-03      -2.263780718929e+00       2.779595595833e-03       1.072341901824e-01      -6.287150575164e-02       4.594429045061e-11 
       2.057108890590e+02       6.113364788266e-04      -2.377233167988e+00       4.253616877634e-03       1.440434277361e-03       3.551496479860e-03       7.119617434018e-06       7.103147622221e-04      -1.783279064348e+00       4.264308345713e-03       5.532191951140e-01       5.843175123833e-01      -2.271391439496e+00       2.763229302737e-03       1.078624768614e-01      -1.873442622843e+00       5.791367979754e-03      -2.266676737967e+00       2.773333821029e-03       1.074739708105e-01      -6.459038295699e-02       4.645938519245e-11 
       2.061980915198e+02       6.131818695555e-04      -2.381143269180e+00       4.256709724809e-03       1.451064232975e-03       3.562932536547e-03       7.162415692465e-06       7.126056676709e-04      -1.786216880392e+00       4.267529956050e-03       5.530504124858e-01       5.840310295112e-01      -2.274330274190e+00       2.756754926726e-03       1.081047491632e-01      -1.877126472788e+00       5.802994451489e-03      -2.269530948172e+00       2.767094377239e-03       1.077092703280e-01      -6.632544461738e-02       4.698212555082e-11 
       2.066883795490e+02       6.150408452084e-04      -2.385079478298e+00       4.259791460924e-03       1.461323902591e-03       3.577007049705e-03       7.216839889112e-06       7.154229443385e-04      -1.789174374526e+00       4.270743620440e-03       5.528788951017e-01       5.837429007454e-01      -2.277282781638e+00       2.750178601896e-03       1.083470715081e-01      -1.880838864109e+00       5.814685254437e-03      -2.272428624436e+00       2.760690433951e-03       1.079471081431e-01      -6.807692497576e-02       4.751266921726e-11 
