#tensor perturbations for mode k = 1.039140000000e-02 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:shear_g                5:l4_g                   6:pol0_g                 7:pol2_g                 8:pol4_g                 9:H (gw)                10:Hdot (gwdot)          11:delta_ur              12:shear_ur              13:l4_ur              
       6.819427545937e+00       1.490243975956e-05      -0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       4.082482904639e-01       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
       1.018759737863e+01       2.239850041585e-05       1.530445773308e-07       0.000000000000e+00       0.000000000000e+00      -3.826114433269e-08       0.000000000000e+00       0.000000000000e+00       4.080554771979e-01      -1.028362679080e-04      -4.722764856729e-04      -3.526296411314e-09      -5.726632980419e-14 
       1.518978118246e+01       3.369665513001e-05       6.503474427904e-07       0.000000000000e+00       0.000000000000e+00      -1.625868606976e-07       0.000000000000e+00       0.000000000000e+00       4.073024419980e-01      -1.927313643080e-04      -2.316279394017e-03      -1.133363100170e-07      -1.175962500846e-11 
       2.258453287184e+01       5.076113577409e-05       2.257163375973e-06       0.000000000000e+00       0.000000000000e+00      -5.642908439932e-07       0.000000000000e+00       0.000000000000e+00       4.054842460245e-01      -2.964903031995e-04      -6.764463476936e-03      -1.206698483227e-06      -4.542827980664e-10 
       3.344541677652e+01       7.660800963857e-05       7.584918982827e-06       0.000000000000e+00       0.000000000000e+00      -1.896229745707e-06       0.000000000000e+00       0.000000000000e+00       4.015055607176e-01      -4.346828902345e-04      -1.647420996671e-02      -8.401319286679e-06      -9.119182191049e-09 
       4.925556055276e+01       1.159002312142e-04       2.492523707299e-05       0.000000000000e+00       0.000000000000e+00      -6.231309268247e-06       0.000000000000e+00       0.000000000000e+00       3.931206176607e-01      -6.240101674656e-04      -3.681908927481e-02      -4.711018066068e-05      -1.300054051319e-07 
       7.200106195037e+01       1.758960006864e-04       8.462863372020e-05       0.000000000000e+00       0.000000000000e+00      -2.115715843005e-05       0.000000000000e+00       0.000000000000e+00       3.760303565713e-01      -8.740004519505e-04      -7.775629707969e-02      -2.312266689993e-04      -1.498318967332e-06 
       1.042443161323e+02       2.679556003085e-04       2.696794763536e-04       0.000000000000e+00       0.000000000000e+00      -6.741986908839e-05       0.000000000000e+00       0.000000000000e+00       3.428316900182e-01      -1.173496735883e-03      -1.550663781664e-01      -1.024168590346e-03      -1.476175322357e-05 
       1.491627882895e+02       4.099155984471e-04       7.908117747396e-04       0.000000000000e+00       0.000000000000e+00      -1.977029436849e-04       0.000000000000e+00       0.000000000000e+00       2.830581778678e-01      -1.461005244290e-03      -2.857412313150e-01      -4.095850107289e-03      -1.264675594320e-04 
       2.047455590057e+02       6.076856224640e-04       2.034491277628e-03       0.000000000000e+00       0.000000000000e+00      -5.086228194071e-04       0.000000000000e+00       0.000000000000e+00       1.971941330200e-01      -1.585590949676e-03      -4.487285642514e-01      -1.310008866253e-02      -7.968272632959e-04 
       2.047455590057e+02       6.076856224640e-04       2.034491277628e-03       0.000000000000e+00       0.000000000000e+00      -5.086228194071e-04       0.000000000000e+00       0.000000000000e+00       1.971941330200e-01      -1.585590949676e-03      -4.487285642514e-01      -1.310008866253e-02      -7.968272632959e-04 
       2.052267261246e+02       6.095044631690e-04      -8.954966270115e-05       7.131038491021e-10       6.740225121040e-16      -4.555704821229e-04      -5.993299647954e-10      -2.245979915615e-16       1.964312059150e-01      -1.585557421810e-03      -4.500135265268e-01      -1.320939104825e-02      -8.075692118014e-04 
       2.057108890590e+02       6.113364788266e-04      -1.477704740513e-03       6.893257653773e-10       4.895041077034e-15      -3.346135388670e-04      -1.653607624959e-09      -2.402154200938e-15       1.956635505667e-01      -1.585500948939e-03      -4.513030948541e-01      -1.331995990290e-02      -8.184948104468e-04 
       2.061980915198e+02       6.131818695555e-04      -2.407058651526e-03      -1.047115808538e-09       8.515940303989e-15      -1.843075534056e-04      -2.470481356086e-09      -8.022233994850e-15       1.948911088367e-01      -1.585422587737e-03      -4.525972884256e-01      -1.343181696383e-02      -8.296081727601e-04 
       2.066883795490e+02       6.150408452084e-04      -3.047593576788e-03      -4.152762640503e-09       1.524746482666e-16      -2.641439468483e-05      -2.762226708486e-09      -1.644845702574e-14       1.941138187255e-01      -1.585322868561e-03      -4.538961311720e-01      -1.354498480578e-02      -8.409135625434e-04 
