# Dimensionless primordial spectrum, equal to [k^3/2pi^2] P(k) 
#    1:k [1/Mpc]              2:P_scalar(k)            3:P_tensor(k)        
       7.058660983034e-06       3.054460528265e-09       2.379671988724e-10 
       8.886327684782e-06       3.026805519624e-09       2.374262178319e-10 
       1.118722373990e-05       2.999400898733e-09       2.368822278405e-10 
       1.408388025359e-05       2.972244398590e-09       2.363352552381e-10 
       1.773055474791e-05       2.945333772714e-09       2.357853264638e-10 
       2.232144593735e-05       2.918666794967e-09       2.352324680540e-10 
       2.810103551852e-05       2.892241259364e-09       2.346767066403e-10 
       3.537710771200e-05       2.866054979895e-09       2.341180689470e-10 
       4.453713989441e-05       2.840105790340e-09       2.335565817896e-10 
       5.606893718171e-05       2.814391544093e-09       2.329922720719e-10 
       7.058660983034e-05       2.788910113984e-09       2.324251667847e-10 
       8.886327684781e-05       2.763659392101e-09       2.318552930028e-10 
       1.118722373990e-04       2.738637289617e-09       2.312826778837e-10 
       1.408388025359e-04       2.713841736619e-09       2.307073486647e-10 
       1.773055474791e-04       2.689270681932e-09       2.301293326614e-10 
       2.232144593735e-04       2.664922092955e-09       2.295486572650e-10 
       2.810103551852e-04       2.640793955489e-09       2.289653499406e-10 
       3.537710771200e-04       2.616884273572e-09       2.283794382248e-10 
       4.453713989441e-04       2.593191069312e-09       2.277909497236e-10 
       5.606893718171e-04       2.569712382727e-09       2.271999121103e-10 
       7.058660983034e-04       2.546446271578e-09       2.266063531231e-10 
       8.886327684782e-04       2.523390811213e-09       2.260103005634e-10 
       1.118722373990e-03       2.500544094405e-09       2.254117822934e-10 
       1.408388025359e-03       2.477904231195e-09       2.248108262339e-10 
       1.773055474791e-03       2.455469348737e-09       2.242074603620e-10 
       2.232144593735e-03       2.433237591138e-09       2.236017127094e-10 
       2.810103551852e-03       2.411207119313e-09       2.229936113600e-10 
       3.537710771200e-03       2.389376110824e-09       2.223831844477e-10 
       4.453713989441e-03       2.367742759736e-09       2.217704601542e-10 
       5.606893718171e-03       2.346305276463e-09       2.211554667070e-10 
       7.058660983034e-03       2.325061887624e-09       2.205382323774e-10 
       8.886327684782e-03       2.304010835892e-09       2.199187854780e-10 
       1.118722373990e-02       2.283150379851e-09       2.192971543608e-10 
       1.408388025359e-02       2.262478793854e-09       2.186733674148e-10 
       1.773055474791e-02       2.241994367876e-09       2.180474530645e-10 
       2.232144593735e-02       2.221695407374e-09       2.174194397668e-10 
       2.810103551852e-02       2.201580233149e-09       2.167893560099e-10 
       3.537710771200e-02       2.181647181204e-09       2.161572303104e-10 
       4.453713989441e-02       2.161894602609e-09       2.155230912114e-10 
       5.606893718171e-02       2.142320863364e-09       2.148869672807e-10 
       7.058660983034e-02       2.122924344259e-09       2.142488871082e-10 
       8.886327684782e-02       2.103703440750e-09       2.136088793041e-10 
       1.118722373990e-01       2.084656562817e-09       2.129669724968e-10 
       1.408388025359e-01       2.065782134837e-09       2.123231953306e-10 
       1.773055474791e-01       2.047078595452e-09       2.116775764636e-10 
       2.232144593735e-01       2.028544397441e-09       2.110301445661e-10 
       2.810103551852e-01       2.010178007592e-09       2.103809283178e-10 
       3.537710771200e-01       1.991977906574e-09       2.097299564062e-10 
       4.453713989441e-01       1.973942588811e-09       2.090772575244e-10 
       5.606893718171e-01       1.956070562361e-09       2.084228603690e-10 
       7.058660983034e-01       1.938360348788e-09       2.077667936380e-10 
       8.886327684782e-01       1.920810483043e-09       2.071090860290e-10 
