# Matter power spectrum P(k) at redshift z=0
# for k=1.01651e-05 to 1.05047 h/Mpc,
# number of wavenumbers equal to 604
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.016512238340e-05       1.723231871006e+04 
       2.269836962790e-05       9.321586365587e+02 
       3.527334288906e-05       6.729814680447e+01 
       4.792207025522e-05       2.485576873177e+00 
       6.067708152277e-05       5.313943921224e+01 
       7.357168286304e-05       1.257345281438e+02 
       8.664023982295e-05       2.015689286643e+02 
       9.991847223806e-05       2.765387851269e+02 
       1.134437646648e-04       3.500617505518e+02 
       1.272554959701e-04       4.224708419432e+02 
       1.413953917293e-04       4.943134602853e+02 
       1.559079030524e-04       5.661555381809e+02 
       1.708406153436e-04       6.385332152858e+02 
       1.862446902463e-04       7.119492143874e+02 
       2.021753435750e-04       7.868818698555e+02 
       2.186923612795e-04       8.637968355522e+02 
       2.358606543210e-04       9.431582525506e+02 
       2.537508515962e-04       1.025438688447e+03 
       2.724399275397e-04       1.111127730978e+03 
       2.920118575231e-04       1.200739340930e+03 
       3.125582893768e-04       1.294817952461e+03 
       3.341792129825e-04       1.393943261028e+03 
       3.569836016073e-04       1.498733429758e+03 
       3.810899882258e-04       1.609846264350e+03 
       4.066269273864e-04       1.727977733316e+03 
       4.337332783873e-04       1.853857062225e+03 
       4.625582292912e-04       1.988237514246e+03 
       4.932609649930e-04       2.131881997464e+03 
       5.260098685578e-04       2.285542937801e+03 
       5.609811370090e-04       2.449936444480e+03 
       5.983566956108e-04       2.625711929202e+03 
       6.383213144204e-04       2.813419928644e+03 
       6.810588734856e-04       3.013482827254e+03 
       7.267477928842e-04       3.226174923353e+03 
       7.755557410205e-04       3.451618875779e+03 
       8.276338524315e-04       3.689803689038e+03 
       8.831108091381e-04       3.940623966939e+03 
       9.420872430855e-04       4.203931264273e+03 
       1.004630972780e-03       4.479578593864e+03 
       1.070773569644e-03       4.767433614879e+03 
       1.140508646892e-03       5.067341422037e+03 
       1.213792084750e-03       5.379037075687e+03 
       1.290544181360e-03       5.702036528913e+03 
       1.370653493948e-03       6.035523196978e+03 
       1.453981955828e-03       6.378439046216e+03 
       1.540370753800e-03       6.729516675611e+03 
       1.629646437665e-03       7.087428283253e+03 
       1.721626796957e-03       7.450943744643e+03 
       1.816126152912e-03       7.818994228977e+03 
       1.912959845405e-03       8.190633667358e+03 
       2.011947819053e-03       8.564948595462e+03 
       2.112917313223e-03       8.940998040710e+03 
       2.215704730543e-03       9.317832516384e+03 
       2.320156798643e-03       9.694571271546e+03 
       2.426131155702e-03       1.007046972263e+04 
       2.533496488812e-03       1.044492389430e+04 
       2.642132342079e-03       1.081741721289e+04 
       2.751928693967e-03       1.118746387442e+04 
       2.862785384548e-03       1.155459557478e+04 
       2.974611455373e-03       1.191839173002e+04 
       3.087324448931e-03       1.227851143736e+04 
       3.200849701475e-03       1.263469224227e+04 
       3.315119652561e-03       1.298671760693e+04 
       3.430073186497e-03       1.333438823756e+04 
       3.545655014909e-03       1.367751745717e+04 
       3.661815105170e-03       1.401594841748e+04 
       3.778508156387e-03       1.434956756464e+04 
       3.895693122493e-03       1.467829628034e+04 
       4.013332780652e-03       1.500207091363e+04 
       4.131393342320e-03       1.532083084611e+04 
       4.249844103863e-03       1.563452367693e+04 
       4.368657133454e-03       1.594311634535e+04 
       4.487806990946e-03       1.624659773003e+04 
       4.607270477526e-03       1.654496835897e+04 
       4.727026412141e-03       1.683823040501e+04 
       4.847055431896e-03       1.712638673001e+04 
       4.967339813860e-03       1.740944729499e+04 
       5.087863315936e-03       1.768743427410e+04 
       5.208611034713e-03       1.796037474516e+04 
       5.329569278403e-03       1.822830288922e+04 
       5.450725453178e-03       1.849124936873e+04 
       5.572067961423e-03       1.874924600576e+04 
       5.693586110555e-03       1.900233028364e+04 
       5.815270031251e-03       1.925054591026e+04 
       5.937110604016e-03       1.949393723119e+04 
       6.059099393186e-03       1.973254710486e+04 
       6.181228587541e-03       1.996641798585e+04 
       6.303490946804e-03       2.019559458591e+04 
       6.425879753391e-03       2.042012566694e+04 
