# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0
# for k=1.01651e-05 to 1.05047 h/Mpc,
# number of wavenumbers equal to 604
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_ncdm[0]              7:d_tot                  8:t_g                    9:t_b                   10:t_cdm                 11:t_ur                  12:t_ncdm[0]             13:t_tot              
       1.016512238340e-05      -2.227502342671e+00      -1.670626298429e+00      -1.670626298443e+00      -2.227502330290e+00      -1.670649359949e+00      -1.670722250098e+00       1.214572925177e-07       1.210304981095e-07       1.210304984291e-07       1.214557309706e-07       1.210292205237e-07       1.210305759649e-07 
       2.269836962790e-05      -2.232418891235e+00      -1.674322089903e+00      -1.674322090492e+00      -2.232418496838e+00      -1.674345171301e+00      -1.674418251908e+00       6.027989941508e-07       6.034854914461e-07       6.034855312387e-07       6.027389276602e-07       6.034780555047e-07       6.034852504628e-07 
       3.527334288906e-05      -2.241069249249e+00      -1.680864581158e+00      -1.680864584794e+00      -2.241066881477e+00      -1.680887586561e+00      -1.680961106318e+00       1.443780598206e-06       1.457419872658e-06       1.457420131760e-06       1.443413916772e-06       1.457397360383e-06       1.457416612345e-06 
       4.792207025522e-05      -2.253441011934e+00      -1.690311845141e+00      -1.690311857743e+00      -2.253432897649e+00      -1.690334490294e+00      -1.690408874079e+00       2.633289733501e-06       2.690187724637e-06       2.690188636107e-06       2.632029988647e-06       2.690134035777e-06       2.690174615579e-06 
       6.067708152277e-05      -2.269520224784e+00      -1.702752905644e+00      -1.702752938255e+00      -2.269499393377e+00      -1.702774625387e+00      -1.702850561145e+00       4.155488279345e-06       4.313073961629e-06       4.313076333959e-06       4.152260222939e-06       4.312962278837e-06       4.313038110232e-06 
       7.357168286304e-05      -2.289288810555e+00      -1.718309335788e+00      -1.718309406467e+00      -2.289243992945e+00      -1.718329178287e+00      -1.718407716409e+00       5.989209093202e-06       6.341487885271e-06       6.341493039661e-06       5.982293287432e-06       6.341276636887e-06       6.341408220758e-06 
       8.664023982295e-05      -2.312721050828e+00      -1.737137499811e+00      -1.737137635840e+00      -2.312635463162e+00      -1.737154002166e+00      -1.737236672481e+00       8.107142615649e-06       8.795237072366e-06       8.795247001024e-06       8.094014287256e-06       8.794865186453e-06       8.795081991253e-06 
       9.991847223806e-05      -2.339779028065e+00      -1.759431532522e+00      -1.759431773018e+00      -2.339629009521e+00      -1.759442571197e+00      -1.759531523775e+00       1.047480221998e-05       1.169888841543e-05       1.169890596777e-05       1.045196466187e-05       1.169826961783e-05       1.169861311473e-05 
       1.134437646648e-04      -2.370406808653e+00      -1.785427100661e+00      -1.785427499727e+00      -2.370160282795e+00      -1.785429708850e+00      -1.785527886165e+00       1.304925813734e-05       1.508222564654e-05       1.508225475138e-05       1.301207264930e-05       1.508124150055e-05       1.508176907261e-05 
       1.272554959701e-04      -2.404523184860e+00      -1.815406074267e+00      -1.815406704829e+00      -2.404137914768e+00      -1.815396216229e+00      -1.815507566189e+00       1.577763222653e-05       1.898081510863e-05       1.898086104221e-05       1.572014901298e-05       1.897930641800e-05       1.898009644438e-05 
       1.413953917293e-04      -2.442012729319e+00      -1.849702233401e+00      -1.849703191917e+00      -2.441434339675e+00      -1.849674523241e+00      -1.849804265114e+00       1.859535500292e-05       2.343669454872e-05       2.343676426007e-05       1.851015296361e-05       2.343445064597e-05       2.343560915870e-05 
       1.559079030524e-04      -2.482714888092e+00      -1.888708163573e+00      -1.888709575848e+00      -2.481874633557e+00      -1.888655512481e+00      -1.888810471097e+00       2.142420194121e-05       2.849920293645e-05       2.849930544475e-05       2.130225028074e-05       2.849594824657e-05       2.849761768951e-05 
       1.708406153436e-04      -2.526410835259e+00      -1.932883529322e+00      -1.932885557713e+00      -2.525223105751e+00      -1.932796700743e+00      -1.932985728798e+00       2.417015273326e-05       3.422597296818e-05       3.422611984926e-05       2.400071432249e-05       3.422135006333e-05       3.422372086202e-05 
       1.862446902463e-04      -2.572807859084e+00      -1.982764971669e+00      -1.982767824046e+00      -2.571167431806e+00      -1.982632017852e+00      -1.982866532043e+00       2.672115906860e-05       4.068411188625e-05       4.068431786971e-05       2.649176519350e-05       4.067766001736e-05       4.068098591160e-05 
       2.021753435750e-04      -2.621521079378e+00      -2.038977880472e+00      -2.038981821384e+00      -2.619300158513e+00      -2.038783426042e+00      -2.039078090454e+00       2.894497151677e-05       4.795160095833e-05       4.795188466120e-05       2.864151089219e-05       4.794272874775e-05       4.794734716714e-05 
       2.186923612795e-04      -2.672052495967e+00      -2.102250379372e+00      -2.102255743994e+00      -2.669097628825e+00      -2.101974707101e+00      -2.102348307587e+00       3.068726895784e-05       5.611894852516e-05       5.611933335347e-05       3.029425157831e-05       5.610689910458e-05       5.611325831313e-05 
       2.358606543210e-04      -2.723767606050e+00      -2.173429874650e+00      -2.173437086197e+00      -2.719896636613e+00      -2.173047755035e+00      -2.173524321796e+00       3.177046923952e-05       6.529113697065e-05       6.529165222688e-05       3.127154878978e-05       6.527494332299e-05       6.528363865903e-05 
       2.537508515962e-04      -2.775870315456e+00      -2.253502598230e+00      -2.253512189746e+00      -2.770869641056e+00      -2.252981786372e+00      -2.253592039971e+00       3.199378254512e-05       7.558990874887e-05       7.559059099048e-05       3.137265039381e-05       7.556833631620e-05       7.558015866373e-05 
       2.724399275397e-04      -2.827377563523e+00      -2.343616603153e+00      -2.343629244745e+00      -2.821000109305e+00      -2.342915902636e+00      -2.343699122427e+00       3.113531349987e-05       8.715644148412e-05       8.715733618630e-05       3.037711283634e-05       8.712791418457e-05       8.714391489647e-05 
       2.920118575231e-04      -2.877096162866e+00      -2.445108718990e+00      -2.445125251865e+00      -2.869060693532e+00      -2.444175481093e+00      -2.445181926487e+00       2.895732434790e-05       1.001544656783e-04       1.001556292627e-04       2.805077327840e-05       1.001169702604e-04       1.001385481987e-04 
       3.125582893768e-04      -2.923605864072e+00      -2.559535979380e+00      -2.559557458302e+00      -2.913598524846e+00      -2.558302864704e+00      -2.559596921115e+00       2.521613058335e-05       1.147738804619e-04       1.147753827601e-04       2.415658346361e-05       1.147248425243e-04       1.147538607885e-04 
       3.341792129825e-04      -2.965254737037e+00      -2.688712032732e+00      -2.688739778870e+00      -2.952934061738e+00      -2.687092808078e+00      -2.688757084036e+00       1.967846784010e-05       1.312349209486e-04       1.312368481775e-04       1.847217482984e-05       1.311710438453e-04       1.312099862485e-04 
       3.569836016073e-04      -3.000175582825e+00      -2.834748967411e+00      -2.834784633870e+00      -2.985182619235e+00      -2.832633039755e+00      -2.834773713242e+00       1.214645069253e-05       1.497929242054e-04       1.497953825303e-04       1.081627754288e-05       1.497099792962e-04       1.497621598415e-04 
       3.810899882258e-04      -3.026335156908e+00      -3.000104830146e+00      -3.000150482823e+00      -3.008310802906e+00      -2.997350127364e+00      -3.000103932431e+00       2.493250159677e-06       1.707437272678e-04       1.707468470296e-04       1.086060632448e-06       1.706362803752e-04       1.707061230043e-04 
       4.066269273864e-04      -3.041631030683e+00      -3.187636853937e+00      -3.187695070592e+00      -3.020243061835e+00      -3.184060543193e+00      -3.187603907535e+00      -9.288982054768e-06       1.944297077044e-04       1.944336483690e-04      -1.069325286409e-05       1.942907619914e-04       1.943841727837e-04 
