# Matter power spectrum P(k) at redshift z=2.34
# for k=1.01651e-05 to 1.05047 h/Mpc,
# number of wavenumbers equal to 604
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.016512238340e-05       4.375627932295e+00 
       2.269836962790e-05       7.066608390198e+00 
       3.527334288906e-05       1.872120551250e+01 
       4.792207025522e-05       2.919925927602e+01 
       6.067708152277e-05       3.902213819865e+01 
       7.357168286304e-05       4.851992345418e+01 
       8.664023982295e-05       5.786947052836e+01 
       9.991847223806e-05       6.717711304545e+01 
       1.134437646648e-04       7.651534871306e+01 
       1.272554959701e-04       8.593948135192e+01 
       1.413953917293e-04       9.549577106530e+01 
       1.559079030524e-04       1.052257906360e+02 
       1.708406153436e-04       1.151689599124e+02 
       1.862446902463e-04       1.253641521931e+02 
       2.021753435750e-04       1.358507871421e+02 
       2.186923612795e-04       1.466696531365e+02 
       2.358606543210e-04       1.578635587295e+02 
       2.537508515962e-04       1.694778937552e+02 
       2.724399275397e-04       1.815611302574e+02 
       2.920118575231e-04       1.941652818874e+02 
       3.125582893768e-04       2.073463238319e+02 
       3.341792129825e-04       2.211645735277e+02 
       3.569836016073e-04       2.356850199329e+02 
       3.810899882258e-04       2.509775773916e+02 
       4.066269273864e-04       2.671172299839e+02 
       4.337332783873e-04       2.841840285339e+02 
       4.625582292912e-04       3.022628919641e+02 
       4.932609649930e-04       3.214431383906e+02 
       5.260098685578e-04       3.418176940237e+02 
       5.609811370090e-04       3.634818927595e+02 
       5.983566956108e-04       3.865318090986e+02 
       6.383213144204e-04       4.110620714407e+02 
       6.810588734856e-04       4.371631418513e+02 
       7.267477928842e-04       4.649180975430e+02 
       7.755557410205e-04       4.943990186520e+02 
       8.276338524315e-04       5.256631713479e+02 
       8.831108091381e-04       5.587492544754e+02 
       9.420872430855e-04       5.936740463289e+02 
       1.004630972780e-03       6.304298133340e+02 
       1.070773569644e-03       6.689828179817e+02 
       1.140508646892e-03       7.092731703177e+02 
       1.213792084750e-03       7.512161205044e+02 
       1.290544181360e-03       7.947047124549e+02 
       1.370653493948e-03       8.396090522877e+02 
       1.453981955828e-03       8.857924556976e+02 
       1.540370753800e-03       9.331076855757e+02 
       1.629646437665e-03       9.814012775092e+02 
       1.721626796957e-03       1.030519214505e+03 
       1.816126152912e-03       1.080310323037e+03 
       1.912959845405e-03       1.130628865907e+03 
       2.011947819053e-03       1.181336400124e+03 
       2.112917313223e-03       1.232303020716e+03 
       2.215704730543e-03       1.283408157679e+03 
       2.320156798643e-03       1.334541059857e+03 
       2.426131155702e-03       1.385601048181e+03 
       2.533496488812e-03       1.436497601641e+03 
       2.642132342079e-03       1.487150195082e+03 
       2.751928693967e-03       1.537487960234e+03 
       2.862785384548e-03       1.587449086734e+03 
       2.974611455373e-03       1.636980088861e+03 
       3.087324448931e-03       1.686034880135e+03 
       3.200849701475e-03       1.734573904186e+03 
       3.315119652561e-03       1.782563276311e+03 
       3.430073186497e-03       1.829974023889e+03 
       3.545655014909e-03       1.876781559180e+03 
       3.661815105170e-03       1.922965166672e+03 
       3.778508156387e-03       1.968507676399e+03 
       3.895693122493e-03       2.013395085707e+03 
       4.013332780652e-03       2.057616258760e+03 
       4.131393342320e-03       2.101162563445e+03 
       4.249844103863e-03       2.144027528369e+03 
       4.368657133454e-03       2.186206488765e+03 
       4.487806990946e-03       2.227696367778e+03 
       4.607270477526e-03       2.268495370880e+03 
       4.727026412141e-03       2.308602884439e+03 
       4.847055431896e-03       2.348019356496e+03 
       4.967339813860e-03       2.386746157680e+03 
       5.087863315936e-03       2.424785559747e+03 
       5.208611034713e-03       2.462140124738e+03 
       5.329569278403e-03       2.498813848244e+03 
       5.450725453178e-03       2.534810158863e+03 
       5.572067961423e-03       2.570133027952e+03 
       5.693586110555e-03       2.604787958962e+03 
       5.815270031251e-03       2.638780758602e+03 
       5.937110604016e-03       2.672117349066e+03 
       6.059099393186e-03       2.704803875752e+03 
       6.181228587541e-03       2.736846658969e+03 
       6.303490946804e-03       2.768252088809e+03 
       6.425879753391e-03       2.799026726745e+03 
       6.548388768841e-03       2.829177203388e+03 
       6.671012194431e-03       2.858710205565e+03 
       6.793744635527e-03       2.887632409559e+03 
       6.916581069289e-03       2.915950467852e+03 
       7.039516815369e-03       2.943671072058e+03 
       7.162547509297e-03       2.970800941931e+03 
       7.285669078290e-03       2.997346661531e+03 
       7.408877719229e-03       3.023314932764e+03 
       7.532169878588e-03       3.048712374273e+03 
       7.655542234126e-03       3.073545559144e+03 
       7.778991678174e-03       3.097820994520e+03 
       7.902515302345e-03       3.121545202763e+03 
       8.026110383553e-03       3.144724548011e+03 
       8.149774371197e-03       3.167365420019e+03 
       8.273504875420e-03       3.189474079868e+03 
       8.397299656321e-03       3.211056839366e+03 
       8.521156614055e-03       3.232119881848e+03 
       8.645073779722e-03       3.252669447822e+03 
       8.769049306989e-03       3.272711576411e+03 
       8.893081464368e-03       3.292252423746e+03 
       9.017168628096e-03       3.311297879695e+03 
       9.141309275575e-03       3.329854009386e+03 
       9.265501979303e-03       3.347926596817e+03 
       9.389745401273e-03       3.365521550244e+03 
       9.514038287795e-03       3.382644615785e+03 
       9.638379464700e-03       3.399301552651e+03 
       9.762767832899e-03       3.415497993489e+03 
       9.887202364276e-03       3.431239645766e+03 
       1.001168209787e-02       3.446532043077e+03 
       1.013620613634e-02       3.461380723746e+03 
       1.026077364269e-02       3.475791086128e+03 
       1.038538383720e-02       3.489768651507e+03 
       1.051003599461e-02       3.503318715495e+03 
       1.063472944151e-02       3.516446725343e+03 
       1.075946355384e-02       3.529157824122e+03 
       1.088423775466e-02       3.541457339201e+03 
       1.100905151201e-02       3.553350493606e+03 
       1.113390433698e-02       3.564842392639e+03 
       1.125879578180e-02       3.575938161143e+03 
       1.138372543821e-02       3.586642826159e+03 
       1.150869293585e-02       3.596961474390e+03 
       1.163369794076e-02       3.606898989000e+03 
       1.175874015403e-02       3.616460406078e+03 
       1.188381931050e-02       3.625650541594e+03 
       1.200893517760e-02       3.634474370873e+03 
       1.213408755421e-02       3.642936582219e+03 
       1.225927626965e-02       3.651042012872e+03 
       1.238450118272e-02       3.658795342170e+03 
       1.250976218081e-02       3.666201291710e+03 
       1.263505917908e-02       3.673264465170e+03 
       1.276039211970e-02       3.679989565603e+03 
       1.288576097113e-02       3.686381049521e+03 
       1.301116572748e-02       3.692443583863e+03 
       1.313660640792e-02       3.698181549090e+03 
       1.326208305610e-02       3.703599499302e+03 
       1.338759573964e-02       3.708701810261e+03 
       1.351314454969e-02       3.713492807955e+03 
       1.363872960048e-02       3.717976937962e+03 
       1.376435102894e-02       3.722158360708e+03 
       1.389000899433e-02       3.726041364154e+03 
       1.401570367796e-02       3.729630206562e+03 
       1.414143528288e-02       3.732928920009e+03 
       1.426720403359e-02       3.735941667764e+03 
       1.439301017591e-02       3.738672526723e+03 
       1.451885397668e-02       3.741125440773e+03 
       1.464473572366e-02       3.743304348926e+03 
       1.477065572536e-02       3.745213215187e+03 
       1.489661431093e-02       3.746855870381e+03 
       1.496457373272e-02       3.747632691122e+03 
       1.502261183008e-02       3.748236066509e+03 
       1.514864865297e-02       3.749357564324e+03 
       1.527472517022e-02       3.750224106791e+03 
       1.540084179283e-02       3.750839320619e+03 
       1.552699895221e-02       3.751206796169e+03 
       1.565319710021e-02       3.751330029422e+03 
       1.577943670911e-02       3.751212575209e+03 
       1.590571827170e-02       3.750857864761e+03 
       1.603204230139e-02       3.750269282182e+03 
       1.615840933222e-02       3.749450201773e+03 
       1.628481991908e-02       3.748403903108e+03 
       1.641127463774e-02       3.747133647168e+03 
       1.653777408506e-02       3.745642641434e+03 
       1.666431887913e-02       3.743934063795e+03 
       1.679090965947e-02       3.742011068398e+03 
       1.691754708721e-02       3.739876717110e+03 
       1.704423184530e-02       3.737534098648e+03 
       1.717096463878e-02       3.734986213244e+03 
       1.729774619500e-02       3.732236047248e+03 
       1.742457726387e-02       3.729286544315e+03 
       1.755145861818e-02       3.726140634230e+03 
       1.767839105389e-02       3.722801176929e+03 
       1.780537539042e-02       3.719271086275e+03 
       1.793241247099e-02       3.715553161282e+03 
       1.805950316301e-02       3.711650254825e+03 
       1.818664835837e-02       3.707565091164e+03 
       1.831384897389e-02       3.703300497554e+03 
       1.844110595168e-02       3.698859204998e+03 
       1.856842025957e-02       3.694243933187e+03 
       1.869579289153e-02       3.689457407091e+03 
       1.882322486814e-02       3.684502310139e+03 
       1.895071723703e-02       3.679381317639e+03 
       1.907827107341e-02       3.674097092637e+03 
       1.920588748053e-02       3.668652320867e+03 
       1.933356759022e-02       3.663049571209e+03 
       1.946131256342e-02       3.657291539126e+03 
       1.958912359079e-02       3.651380813911e+03 
       1.971700189321e-02       3.645320010255e+03 
       1.984494872246e-02       3.639111676684e+03 
       1.997296536178e-02       3.632758477279e+03 
       2.010105312654e-02       3.626262929147e+03 
       2.022921336492e-02       3.619627602008e+03 
       2.035744745855e-02       3.612855118888e+03 
       2.048575682326e-02       3.605947968151e+03 
       2.061414290979e-02       3.598908724452e+03 
       2.074260720455e-02       3.591739897367e+03 
       2.087115123038e-02       3.584444032422e+03 
       2.099977654741e-02       3.577023633594e+03 
       2.112848475381e-02       3.569481177945e+03 
       2.125727748670e-02       3.561819176052e+03 
       2.138615642302e-02       3.554040082538e+03 
       2.151512328042e-02       3.546146373969e+03 
       2.164417981825e-02       3.538140457631e+03 
       2.177332783846e-02       3.530024834342e+03 
       2.190256918664e-02       3.521801842750e+03 
       2.203190575305e-02       3.513473906390e+03 
       2.216133947368e-02       3.505043380069e+03 
       2.229087233132e-02       3.496512587094e+03 
       2.242050635673e-02       3.487883826275e+03 
       2.255024362978e-02       3.479159468905e+03 
       2.268008628064e-02       3.470341707616e+03 
       2.281003649107e-02       3.461432826114e+03 
       2.294009649565e-02       3.452435018123e+03 
       2.307026858312e-02       3.443350428434e+03 
       2.320055509774e-02       3.434181217154e+03 
       2.333095844070e-02       3.424929480562e+03 
       2.346148107156e-02       3.415597324634e+03 
       2.359212550977e-02       3.406186808527e+03 
       2.372289433618e-02       3.396699844372e+03 
       2.385379019467e-02       3.387138473456e+03 
       2.398481579378e-02       3.377504618618e+03 
       2.411597390841e-02       3.367800219543e+03 
