# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=2.34
# for k=1.01651e-05 to 1.05047 h/Mpc,
# number of wavenumbers equal to 604
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_ncdm[0]              7:d_tot                  8:t_g                    9:t_b                   10:t_cdm                 11:t_ur                  12:t_ncdm[0]             13:t_tot              
       1.016512238340e-05      -1.619074604232e+00      -1.214306000645e+00      -1.214306000650e+00      -1.619074602005e+00      -1.214625727474e+00      -1.214542993899e+00       8.527799635011e-08       8.529475508682e-08       8.529475764805e-08       8.527714801287e-08       8.529376821557e-08       8.529472889312e-08 
       2.269836962790e-05      -1.621020896820e+00      -1.215767196182e+00      -1.215767196409e+00      -1.621020834187e+00      -1.216087285694e+00      -1.216004473324e+00       4.246048849436e-07       4.252896803519e-07       4.252897593823e-07       4.245807150928e-07       4.252827617773e-07       4.252891139827e-07 
       3.527334288906e-05      -1.624458870834e+00      -1.218353327542e+00      -1.218353328948e+00      -1.624458499674e+00      -1.218673982453e+00      -1.218591102729e+00       1.022816798484e-06       1.027036670204e-06       1.027037144018e-06       1.022673383120e-06       1.027011423626e-06       1.027033442520e-06 
       4.792207025522e-05      -1.629406487363e+00      -1.222086419260e+00      -1.222086424141e+00      -1.629405217705e+00      -1.222407717925e+00      -1.222324903478e+00       1.881046040873e-06       1.895657185718e-06       1.895658813187e-06       1.880555472239e-06       1.895587837843e-06       1.895646283177e-06 
       6.067708152277e-05      -1.635891870000e+00      -1.227000278604e+00      -1.227000291244e+00      -1.635888604743e+00      -1.227322114169e+00      -1.227239678318e+00       3.001236407127e-06       3.039013948703e-06       3.039018143767e-06       2.999975466342e-06       3.038854773639e-06       3.038986065660e-06 
       7.357168286304e-05      -1.643953349034e+00      -1.233141076454e+00      -1.233141103870e+00      -1.643946298016e+00      -1.233463087057e+00      -1.233381591896e+00       4.386034124760e-06       4.467844436489e-06       4.467853511116e-06       4.383313556797e-06       4.467522245866e-06       4.467784399108e-06 
       8.664023982295e-05      -1.653639516340e+00      -1.240568156126e+00      -1.240568208931e+00      -1.653625981548e+00      -1.240889642477e+00      -1.240809979046e+00       6.038638120486e-06       6.195949899447e-06       6.195967346495e-06       6.033421639381e-06       6.195355215168e-06       6.195834843215e-06 
       9.991847223806e-05      -1.665009295254e+00      -1.249355111917e+00      -1.249355205350e+00      -1.664985417710e+00      -1.249674937840e+00      -1.249598422629e+00       7.962598887854e-06       8.240444620950e-06       8.240475450413e-06       7.953408643686e-06       8.239421071369e-06       8.240241840463e-06 
       1.134437646648e-04      -1.678131964796e+00      -1.259591142563e+00      -1.259591297743e+00      -1.678092421930e+00      -1.259907613146e+00      -1.259836106060e+00       1.016155207404e-05       1.062207186869e-05       1.062212301348e-05       1.014635681061e-05       1.062040324804e-05       1.062173624349e-05 
       1.272554959701e-04      -1.693087122426e+00      -1.271382736818e+00      -1.271382982270e+00      -1.693024762484e+00      -1.271693447397e+00      -1.271629497671e+00       1.263886798289e-05       1.336559469453e-05       1.336567550561e-05       1.261494945941e-05       1.336298898418e-05       1.336506557495e-05 
       1.413953917293e-04      -1.709964509712e+00      -1.284855722020e+00      -1.284856095564e+00      -1.709869906917e+00      -1.285157369488e+00      -1.285104397710e+00       1.539719343873e-05       1.650027186943e-05       1.650039472471e-05       1.536098590974e-05       1.649634133664e-05       1.649946928164e-05 
       1.559079030524e-04      -1.728863626419e+00      -1.300157732800e+00      -1.300158283897e+00      -1.728724537078e+00      -1.300445878379e+00      -1.300408405030e+00       1.843785598290e-05       2.006043151561e-05       2.006061257313e-05       1.838475259940e-05       2.005466776175e-05       2.005925151347e-05 
