# Table of selected background quantitites
# All densities are mutiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_ncdm[0]        13:(.)rho_lambda         14:(.)rho_ur             15:(.)rho_crit           16:gr.fac. D             17:gr.fac. f          
       1.000000000000e+14       7.555732043224e-26       4.632966010831e-09       2.158337376331e+22       1.419596753722e+04       1.419596753722e-10       1.419596753722e+18       2.674976931415e-09       2.753580214648e+44       2.468970474383e+33       1.309589115975e+34       6.336118327401e+43       3.694949733521e-08       1.271228182523e+44       4.658420230067e+44       5.366626187703e-18       2.000000000017e+00 
       9.930486593843e+13       7.661882522699e-26       4.665707820095e-09       2.128434993113e+22       1.419596753722e+04       1.429533930998e-10       1.409728653149e+18       2.693701769935e-09       2.677810562215e+44       2.417839591228e+33       1.282468318556e+34       6.161768772997e+43       3.694949733521e-08       1.236248080240e+44       4.530235519907e+44       5.442021919014e-18       2.000000000015e+00 
       9.861456399050e+13       7.769524310261e-26       4.698449629359e-09       2.098946888280e+22       1.419596753722e+04       1.439540668515e-10       1.399929149106e+18       2.712557682325e-09       2.604125846403e+44       2.367767597696e+33       1.255909176425e+34       5.992216756383e+43       3.694949733521e-08       1.202230517628e+44       4.405578039819e+44       5.518476884955e-18       2.000000000014e+00 
       9.792906056653e+13       7.878678357295e-26       4.731191438623e-09       2.069867322269e+22       1.419596753722e+04       1.449617453194e-10       1.390197764752e+18       2.731545586101e-09       2.532468696478e+44       2.318732564822e+33       1.229900058042e+34       5.827330264783e+43       3.694949733521e-08       1.169149008696e+44       4.284350731798e+44       5.596005966712e-18       2.000000000013e+00 
       9.724832231036e+13       7.989365909537e-26       4.763933247887e-09       2.041190635038e+22       1.419596753722e+04       1.459764775367e-10       1.380534026567e+18       2.750666405203e-09       2.462783320360e+44       2.270713017780e+33       1.204429572748e+34       5.666980917985e+43       3.694949733521e-08       1.136977796265e+44       4.166459208567e+44       5.674624254539e-18       2.000000000012e+00 
       9.657231609767e+13       8.101608511200e-26       4.798494046554e-09       2.012911244958e+22       1.419596753722e+04       1.469983128794e-10       1.370937464316e+18       2.769921070040e-09       2.395015461189e+44       2.223687926474e+33       1.179486565777e+34       5.511043868389e+43       3.694949733521e-08       1.105691831909e+44       4.051811680077e+44       5.754347050692e-18       2.000000000011e+00 
       9.590100903443e+13       8.215428009174e-26       4.831235855818e-09       1.985023647731e+22       1.419596753722e+04       1.480273010696e-10       1.361407611039e+18       2.789310517530e-09       2.329112355080e+44       2.177636696328e+33       1.155060113374e+34       5.359397703796e+43       3.694949733521e-08       1.075266756454e+44       3.940318882051e+44       5.835189872407e-18       2.000000000010e+00 
       9.523436845525e+13       8.330846557275e-26       4.865796654485e-09       1.957522415318e+22       1.419596753722e+04       1.490634921771e-10       1.351944003018e+18       2.808835691153e-09       2.265022690039e+44       2.132539159266e+33       1.131139518006e+34       5.211924352881e+43       3.694949733521e-08       1.045678881013e+44       3.831894006474e+44       5.917168454925e-18       2.000000000008e+00 
       9.457236192179e+13       8.447886620558e-26       4.898538463749e-09       1.930402194883e+22       1.419596753722e+04       1.501069366223e-10       1.342546179760e+18       2.828497540991e-09       2.202696566012e+44       2.088375564882e+33       1.107714303680e+34       5.068508993262e+43       3.694949733521e-08       1.016905168539e+44       3.726452634008e+44       6.000298754549e-18       2.000000000007e+00 
       9.391495722125e+13       8.566570979690e-26       4.933099262416e-09       1.903657707747e+22       1.419596753722e+04       1.511576851786e-10       1.333213683972e+18       2.848297023777e-09       2.142085456034e+44       2.045126571790e+33       1.084774211355e+34       4.929039962097e+43       3.694949733521e-08       9.889232158914e+43       3.623912668264e+44       6.084596951752e-18       2.000000000006e+00 
       9.326212236469e+13       8.686922735383e-26       4.967660061084e-09       1.877283748366e+22       1.419596753722e+04       1.522157889749e-10       1.323946061541e+18       2.868235102944e-09       2.083142168447e+44       2.002773239151e+33       1.062309194448e+34       4.793408669147e+43       3.694949733521e-08       9.617112363920e+43       3.524194271880e+44       6.170079454327e-18       2.000000000005e+00 
       9.261382558559e+13       8.808965312893e-26       5.002220859751e-09       1.851275183316e+22       1.419596753722e+04       1.532812994977e-10       1.314742861510e+18       2.888312748664e-09       2.025820810155e+44       1.961297018378e+33       1.040309414435e+34       4.661509512225e+43       3.694949733521e-08       9.352480428614e+43       3.427219804362e+44       6.256762900581e-18       2.000000000004e+00 
       9.197003533823e+13       8.932722466573e-26       5.038600647822e-09       1.825626950292e+22       1.419596753722e+04       1.543542685942e-10       1.305603636058e+18       2.908530937905e-09       1.970076750890e+44       1.920679745017e+33       1.018765236541e+34       4.533239794976e+43       3.694949733521e-08       9.095130311232e+43       3.332913761632e+44       6.344664162572e-18       2.000000000003e+00 
       9.133072029615e+13       9.058218284506e-26       5.073161446489e-09       1.800334057123e+22       1.419596753722e+04       1.554347484744e-10       1.296527940475e+18       2.928890654470e-09       1.915866588467e+44       1.880903630787e+33       9.976672255233e+33       4.408499646920e+43       3.694949733521e-08       8.844861639614e+43       3.241202717239e+44       6.433800349392e-18       2.000000000002e+00 
       9.069584935070e+13       9.185477193185e-26       5.107722245157e-09       1.775391580805e+22       1.419596753721e+04       1.565227917137e-10       1.287515333143e+18       2.949392889051e-09       1.863148114988e+44       1.841951255791e+33       9.770061415352e+33       4.287191945688e+43       3.694949733521e-08       8.601479555197e+43       3.152015265193e+44       6.524188810500e-18       2.000000000001e+00 
       9.006539160943e+13       9.314523962272e-26       5.144102033228e-09       1.750794666535e+22       1.419596753721e+04       1.576184512557e-10       1.278565375514e+18       2.970038639275e-09       1.811880283983e+44       1.803805560890e+33       9.567729360827e+33       4.169222241406e+43       3.694949733521e-08       8.364794561298e+43       3.065281964367e+44       6.615847139099e-18       2.000000000000e+00 
       8.943931639467e+13       9.445383709417e-26       5.180481821299e-09       1.726538526773e+22       1.419596753721e+04       1.587217804145e-10       1.269677632089e+18       2.990828909749e-09       1.762023178446e+44       1.766449840226e+33       9.369587480606e+33       4.054498683158e+43       3.694949733521e-08       8.134622375570e+43       2.980935284430e+44       6.708793175556e-18       2.000000000000e+00 
       8.881759324197e+13       9.578081905151e-26       5.216861609370e-09       1.702618440305e+22       1.419596753721e+04       1.598328328774e-10       1.260851670397e+18       3.011764712117e-09       1.713537979758e+44       1.729867733913e+33       9.175548998717e+33       3.942931947467e+43       3.694949733521e-08       7.910783786525e+43       2.898909553267e+44       6.803045010880e-18       1.999999999999e+00 
       8.820019189868e+13       9.712644377836e-26       5.253241397440e-09       1.679029751329e+22       1.419596753721e+04       1.609516627075e-10       1.252087060970e+18       3.032847065102e-09       1.666386937466e+44       1.694043220864e+33       8.985528936265e+33       3.834435168750e+43       3.694949733521e-08       7.693104513996e+43       2.819140905847e+44       6.898620990238e-18       1.999999999998e+00 
       8.758708232243e+13       9.849097318700e-26       5.289621185511e-09       1.655767868544e+22       1.419596753721e+04       1.620783243465e-10       1.243383377329e+18       3.054076994558e-09       1.620533339885e+44       1.658960611783e+33       8.799444074219e+33       3.728923871688e+43       3.694949733521e-08       7.481415073443e+43       2.741567234502e+44       6.995539716529e-18       1.999999999997e+00 
       8.697823467967e+13       9.987467286930e-26       5.326000973582e-09       1.632828264259e+22       1.419596753721e+04       1.632128726169e-10       1.234740195957e+18       3.075455533520e-09       1.575941485518e+44       1.624604542288e+33       8.617212916960e+33       3.626315905447e+43       3.694949733521e-08       7.275550643998e+43       2.666128140565e+44       7.093820054007e-18       1.999999999996e+00 
       8.637361934426e+13       1.012778121484e-25       5.364199751057e-09       1.610206473513e+22       1.419596753721e+04       1.643553627252e-10       1.226157096283e+18       3.096983722254e-09       1.532576655259e+44       1.590959966184e+33       8.438755656596e+33       3.526531379721e+43       3.694949733521e-08       7.075350940128e+43       2.592764887344e+44       7.193481131945e-18       1.999999999995e+00 
       8.577320689599e+13       1.027006641313e-25       5.402398528531e-09       1.587898093202e+22       1.419596753721e+04       1.655058502643e-10       1.217633660658e+18       3.118662608310e-09       1.490405085360e+44       1.558012148874e+33       8.263994138010e+33       3.429492602527e+43       3.694949733521e-08       6.880660086845e+43       2.521420354395e+44       7.294542348368e-18       1.999999999994e+00 
       8.517696811915e+13       1.041435057617e-25       5.438778316602e-09       1.565898781225e+22       1.419596753721e+04       1.666643912161e-10       1.209169474338e+18       3.140493246568e-09       1.449393941140e+44       1.525746660904e+33       8.092851824626e+33       3.335124019715e+43       3.694949733521e-08       6.691326498335e+43       2.452038993042e+44       7.397023373819e-18       1.999999999994e+00 
       8.458487400115e+13       1.056066178741e-25       5.476977094077e-09       1.544204255638e+22       1.419596753721e+04       1.678310419546e-10       1.200764125460e+18       3.162476699294e-09       1.409511291427e+44       1.494149371649e+33       7.925253764898e+33       3.243352156143e+43       3.694949733521e-08       6.507202759940e+43       2.384566783130e+44       7.500944155198e-18       1.999999999993e+00 
       8.399689573103e+13       1.070902852486e-25       5.515175871551e-09       1.522810293820e+22       1.419596753721e+04       1.690058592483e-10       1.192417205024e+18       3.184614036189e-09       1.370726083688e+44       1.463206443117e+33       7.761126559478e+33       3.154105558466e+43       3.694949733521e-08       6.328145513375e+43       2.318951190964e+44       7.606324919634e-18       1.999999999992e+00 
       8.341300469814e+13       1.085947966661e-25       5.555193638429e-09       1.501712731653e+22       1.419596753721e+04       1.701889002631e-10       1.184128306876e+18       3.206906334442e-09       1.333008119857e+44       1.432904323893e+33       7.600398329077e+33       3.067314739506e+43       3.694949733521e-08       6.154015345115e+43       2.255141128409e+44       7.713186178429e-18       1.999999999991e+00 
       8.283317249071e+13       1.101204449645e-25       5.593392415904e-09       1.480907462710e+22       1.419596753721e+04       1.713802225649e-10       1.175897027683e+18       3.229354678783e-09       1.296328032822e+44       1.403229743206e+33       7.442998682979e+33       2.982912124148e+43       3.694949733521e-08       5.984676677847e+43       2.193086913110e+44       7.821548731050e-18       1.999999999991e+00 
       8.225737089444e+13       1.116675270958e-25       5.633410182782e-09       1.460390437454e+22       1.419596753721e+04       1.725798841229e-10       1.167722966914e+18       3.251960161534e-09       1.260657263558e+44       1.374169705111e+33       7.288858688221e+33       2.900831996726e+43       3.694949733521e-08       5.819997664905e+43       2.132740229808e+44       7.931433669172e-18       1.999999999990e+00 
       8.168557189121e+13       1.132363441839e-25       5.671608960256e-09       1.440157662455e+22       1.419596753721e+04       1.737879433117e-10       1.159605726826e+18       3.274723882665e-09       1.225968038894e+44       1.345711482806e+33       7.137910839397e+33       2.821010449858e+43       3.694949733521e-08       5.659850087622e+43       2.074054092727e+44       8.042862380789e-18       1.999999999989e+00 
       8.111774765760e+13       1.148272015833e-25       5.711626727134e-09       1.420205199606e+22       1.419596753721e+04       1.750044589149e-10       1.151544912439e+18       3.297646949843e-09       1.192233349885e+44       1.317842613047e+33       6.990089029098e+33       2.743385334687e+43       3.694949733521e-08       5.504109255494e+43       2.016982808987e+44       8.155856554376e-18       1.999999999989e+00 
