# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.560133935658e-10       7.699882963351e-15       4.752596700910e-13       3.873986997008e-16       8.461736197704e-09       4.962417814558e-10      -2.489403319970e-12 
    3       1.455117915508e-10       1.304631573079e-14       5.936718670258e-13       4.592959916204e-16       5.215491079060e-09       3.525293473513e-10      -2.199019534463e-12 
    4       1.362795981629e-10       1.533570345377e-14       6.155947029217e-13       4.640590836010e-16       3.624963707245e-09       2.677079450314e-10      -1.761468510423e-12 
    5       1.291924332383e-10       1.434969647646e-14       5.790095690035e-13       4.198105398651e-16       2.704747569666e-09       2.120888199710e-10      -1.315117416602e-12 
    6       1.240040011011e-10       1.126803854411e-14       5.119724813477e-13       3.497094084833e-16       2.112476718955e-09       1.730462825800e-10      -9.074822458456e-13 
    7       1.203865928482e-10       7.647094803416e-15       4.339652252366e-13       2.736202231296e-16       1.704105703965e-09       1.442867216076e-10      -5.625094959946e-13 
    8       1.179187221049e-10       4.638580820655e-15       3.570228360119e-13       2.048537486788e-16       1.408373468889e-09       1.223095473425e-10      -2.906123755340e-13 
    9       1.163952267007e-10       2.712277610433e-15       2.883733054364e-13       1.502863236405e-16       1.185922727234e-09       1.050565404203e-10      -9.311141644744e-14 
   10       1.156048679364e-10       1.770469162362e-15       2.320662832579e-13       1.118294863924e-16       1.013503862669e-09       9.126367912843e-11       3.546340742727e-14 
   11       1.153494128682e-10       1.441499191466e-15       1.900259497902e-13       8.833217297541e-17       8.553881942671e-10       8.034125367607e-11       1.044721286662e-13 
   12       1.155667327673e-10       1.353957456587e-15       1.622904090928e-13       7.707313284408e-17       7.473316620531e-10       7.107284401639e-11       1.285240270842e-13 
   13       1.160941030114e-10       1.283971760007e-15       1.473652987301e-13       7.498809702524e-17       6.586289024889e-10       6.333514174216e-11       1.200838804044e-13 
   14       1.168600706126e-10       1.169124741381e-15       1.428614033681e-13       7.924579294958e-17       5.848206493588e-10       5.676763401639e-11       9.173900384904e-14 
   15       1.178601937472e-10       1.043589703132e-15       1.459060638562e-13       8.761277234965e-17       5.226973835930e-10       5.126036902760e-11       5.455056335667e-14 
   16       1.190349591915e-10       9.609896010010e-16       1.535924553461e-13       9.847501139504e-17       4.698809090952e-10       4.658456092387e-11       1.687918968358e-14 
   17       1.203397597352e-10       9.470320008582e-16       1.634832793755e-13       1.107911065856e-16       4.245748403840e-10       4.250718246129e-11      -1.555279345366e-14 
   18       1.217646487136e-10       9.902113067002e-16       1.735419350238e-13       1.239240501323e-16       3.852523395984e-10       3.891111063081e-11      -3.927799716713e-14 
   19       1.233102251560e-10       1.066168444706e-15       1.827498678043e-13       1.376069115178e-16       3.512889793602e-10       3.575255659416e-11      -5.327274911041e-14 
   20       1.249202598530e-10       1.145353753102e-15       1.903515887581e-13       1.516504191205e-16       3.213781217217e-10       3.292649094701e-11      -5.801921738935e-14 
   21       1.266070929485e-10       1.223564252899e-15       1.962820221223e-13       1.660018270487e-16       2.950498599513e-10       3.042306047559e-11      -5.514343489459e-14 
   22       1.283705219512e-10       1.307128522137e-15       2.008147794752e-13       1.806641181450e-16       2.716733916050e-10       2.821833639372e-11      -4.729439539531e-14 
   23       1.302013984672e-10       1.410058245692e-15       2.044192743185e-13       1.956362460922e-16       2.509268820515e-10       2.626157177679e-11      -3.674528363986e-14 
   24       1.320664350110e-10       1.548674415284e-15       2.076785431932e-13       2.109220593855e-16       2.323305052776e-10       2.447013658658e-11      -2.592933272304e-14 
   25       1.339674847898e-10       1.727702143163e-15       2.109473613030e-13       2.265109513416e-16       2.156655983825e-10       2.282331278802e-11      -1.645892733620e-14 
   26       1.359029318431e-10       1.946720012046e-15       2.145085122175e-13       2.423914238559e-16       2.006307289115e-10       2.130927639766e-11      -9.623105273406e-15 
   27       1.378796660697e-10       2.201446020626e-15       2.185246530423e-13       2.585498542314e-16       1.870455731212e-10       1.994126250740e-11      -5.666867573742e-15 
   28       1.398964369586e-10       2.485973357230e-15       2.230526580974e-13       2.749754592217e-16       1.746758540274e-10       1.872716550185e-11      -4.373254505995e-15 
   29       1.419574581028e-10       2.798768701113e-15       2.278733217221e-13       2.916610294696e-16       1.634581046871e-10       1.765015184442e-11      -5.311958532617e-15 
