# dimensionless [l(l+1)/2pi] C_l's for scalar mode
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.486638673696e-10       7.450902835781e-15       4.718237479405e-13       0.000000000000e+00       8.461736197704e-09       4.962417814558e-10      -2.489403319970e-12 
    3       1.396051935400e-10       1.271401136793e-14       6.010632763632e-13       0.000000000000e+00       5.215491079060e-09       3.525293473513e-10      -2.199019534463e-12 
    4       1.308238963235e-10       1.496957427459e-14       6.267935149387e-13       0.000000000000e+00       3.624963707245e-09       2.677079450314e-10      -1.761468510423e-12 
    5       1.238994766314e-10       1.400026113137e-14       5.909217478186e-13       0.000000000000e+00       2.704747569666e-09       2.120888199710e-10      -1.315117416602e-12 
    6       1.187929180644e-10       1.096904409245e-14       5.231742844816e-13       0.000000000000e+00       2.112476718955e-09       1.730462825800e-10      -9.074822458456e-13 
    7       1.152136369151e-10       7.412341397074e-15       4.438617872277e-13       0.000000000000e+00       1.704105703965e-09       1.442867216076e-10      -5.625094959946e-13 
    8       1.127587386318e-10       4.465576724035e-15       3.654995765907e-13       0.000000000000e+00       1.408373468889e-09       1.223095473425e-10      -2.906123755340e-13 
    9       1.112333741816e-10       2.588603974114e-15       2.955666391720e-13       0.000000000000e+00       1.185922727234e-09       1.050565404203e-10      -9.311141644744e-14 
   10       1.104326416849e-10       1.679917264805e-15       2.382209445557e-13       0.000000000000e+00       1.013503862669e-09       9.126367912843e-11       3.546340742727e-14 
   11       1.101623464298e-10       1.368593736487e-15       1.954128011341e-13       0.000000000000e+00       8.553881942671e-10       8.034125367607e-11       1.044721286662e-13 
   12       1.103629753394e-10       1.286319030130e-15       1.671637748258e-13       0.000000000000e+00       7.473316620531e-10       7.107284401639e-11       1.285240270842e-13 
   13       1.108735842070e-10       1.213040763758e-15       1.519463059799e-13       0.000000000000e+00       6.586289024889e-10       6.333514174216e-11       1.200838804044e-13 
   14       1.116239844034e-10       1.089685244642e-15       1.473348939168e-13       0.000000000000e+00       5.848206493588e-10       5.676763401639e-11       9.173900384904e-14 
   15       1.126106114781e-10       9.528662020015e-16       1.504227856811e-13       0.000000000000e+00       5.226973835930e-10       5.126036902760e-11       5.455056335667e-14 
   16       1.137745181898e-10       8.576693959754e-16       1.582746033801e-13       0.000000000000e+00       4.698809090952e-10       4.658456092387e-11       1.687918968358e-14 
   17       1.150714252763e-10       8.305235702086e-16       1.684297922314e-13       0.000000000000e+00       4.245748403840e-10       4.250718246129e-11      -1.555279345366e-14 
   18       1.164918747843e-10       8.601629798984e-16       1.788323610140e-13       0.000000000000e+00       3.852523395984e-10       3.891111063081e-11      -3.927799716713e-14 
   19       1.180354927669e-10       9.222392316236e-16       1.884530048710e-13       0.000000000000e+00       3.512889793602e-10       3.575255659416e-11      -5.327274911041e-14 
   20       1.196470855618e-10       9.871458129239e-16       1.965226133563e-13       0.000000000000e+00       3.213781217217e-10       3.292649094701e-11      -5.801921738935e-14 
   21       1.213383268023e-10       1.050641878990e-15       2.029692900853e-13       0.000000000000e+00       2.950498599513e-10       3.042306047559e-11      -5.514343489459e-14 
   22       1.231092235680e-10       1.119019562898e-15       2.080599983753e-13       0.000000000000e+00       2.716733916050e-10       2.821833639372e-11      -4.729439539531e-14 
   23       1.249501092198e-10       1.206305111428e-15       2.122598743350e-13       0.000000000000e+00       2.509268820515e-10       2.626157177679e-11      -3.674528363986e-14 
   24       1.268279340514e-10       1.328850012328e-15       2.161473440061e-13       0.000000000000e+00       2.323305052776e-10       2.447013658658e-11      -2.592933272304e-14 
   25       1.287441160022e-10       1.491407152138e-15       2.200736675663e-13       0.000000000000e+00       2.156655983825e-10       2.282331278802e-11      -1.645892733620e-14 
   26       1.306971281416e-10       1.693578979379e-15       2.243179403265e-13       0.000000000000e+00       2.006307289115e-10       2.130927639766e-11      -9.623105273406e-15 
   27       1.326936350800e-10       1.931093777441e-15       2.290402624715e-13       0.000000000000e+00       1.870455731212e-10       1.994126250740e-11      -5.666867573742e-15 
   28       1.347325352639e-10       2.198046455768e-15       2.342950219587e-13       0.000000000000e+00       1.746758540274e-10       1.872716550185e-11      -4.373254505995e-15 
   29       1.368175192863e-10       2.492898300005e-15       2.398608870704e-13       0.000000000000e+00       1.634581046871e-10       1.765015184442e-11      -5.311958532617e-15 
   30       1.389404156158e-10       2.814965466338e-15       2.453423880626e-13       0.000000000000e+00       1.532714236846e-10       1.666955692451e-11      -7.802761705272e-15 
   31       1.410831049788e-10       3.163166022517e-15       2.502659931965e-13       0.000000000000e+00       1.439075650435e-10       1.573705754218e-11      -1.100572452908e-14 
   32       1.432512493030e-10       3.536803308234e-15       2.542830458320e-13       0.000000000000e+00       1.353181598854e-10       1.485490002008e-11      -1.431842075475e-14 
   33       1.454506966015e-10       3.935020749538e-15       2.570316919145e-13       0.000000000000e+00       1.274426219084e-10       1.403807469913e-11      -1.710519141431e-14 
   34       1.476800732933e-10       4.357095612422e-15       2.581541855143e-13       0.000000000000e+00       1.201708798387e-10       1.329605047256e-11      -1.874645546917e-14 
   35       1.499396402358e-10       4.804255490020e-15       2.575569117012e-13       0.000000000000e+00       1.134656396616e-10       1.262307359251e-11      -1.920224394766e-14 
   36       1.522237805287e-10       5.278517501687e-15       2.552420786216e-13       0.000000000000e+00       1.072729446900e-10       1.200341075514e-11      -1.864877609641e-14 
   37       1.545232708068e-10       5.782089712928e-15       2.512418284077e-13       0.000000000000e+00       1.015120215167e-10       1.141888939807e-11      -1.731807972614e-14 
   38       1.568443867350e-10       6.316873502842e-15       2.456192517760e-13       0.000000000000e+00       9.616791985097e-11       1.086838350134e-11      -1.543715050998e-14 
   39       1.591950038627e-10       6.884825049935e-15       2.384716059011e-13       0.000000000000e+00       9.122364643453e-11       1.035412858260e-11      -1.327674472625e-14 
   40       1.615788601108e-10       7.488104368780e-15       2.299329874463e-13       0.000000000000e+00       8.663199005093e-11       9.876239414878e-12      -1.117306103079e-14 
   41       1.639960430559e-10       8.128678012317e-15       2.201373695995e-13       0.000000000000e+00       8.233195648478e-11       9.433000314082e-12      -9.456627344624e-15 
   42       1.664458149541e-10       8.806942348041e-15       2.090877366072e-13       0.000000000000e+00       7.831084338988e-11       9.022349092538e-12      -8.201043654316e-15 
   43       1.689238864848e-10       9.522672614263e-15       1.967482025282e-13       0.000000000000e+00       7.455793700675e-11       8.640526490675e-12      -7.399501369341e-15 
   44       1.714211081324e-10       1.027537803868e-14       1.830791861961e-13       0.000000000000e+00       7.104588555959e-11       8.281449464491e-12      -7.032060784007e-15 
   45       1.739275539978e-10       1.106453021916e-14       1.680301333537e-13       0.000000000000e+00       6.774045883896e-11       7.938576904448e-12      -7.056847371431e-15 
   46       1.764472206997e-10       1.189036737488e-14       1.515160727079e-13       0.000000000000e+00       6.463642680000e-11       7.611580738417e-12      -7.382863005811e-15 
   47       1.789870071064e-10       1.275330332832e-14       1.334333405792e-13       0.000000000000e+00       6.173015472164e-11       7.301374129109e-12      -7.887342147189e-15 
   48       1.815524340845e-10       1.365370213413e-14       1.136650409539e-13       0.000000000000e+00       5.900878254784e-11       7.008190834149e-12      -8.421434486026e-15 
   49       1.841474831452e-10       1.459187615906e-14       9.208023272415e-14       0.000000000000e+00       5.644953900685e-11       6.731529165544e-12      -8.808753757644e-15 
   50       1.867744602670e-10       1.556806726714e-14       6.856506910774e-14       0.000000000000e+00       5.402659402466e-11       6.470431572113e-12      -8.891048255314e-15 
   51       1.894339181256e-10       1.658238880930e-14       4.312806612093e-14       0.000000000000e+00       5.173539998107e-11       6.224542867185e-12      -8.683193684165e-15 
   52       1.921244338449e-10       1.763486456844e-14       1.582200313830e-14       0.000000000000e+00       4.957377202546e-11       5.993242375351e-12      -8.257762902237e-15 
   53       1.948424256076e-10       1.872544162706e-14      -1.328485742038e-14       0.000000000000e+00       4.753460397141e-11       5.775294123136e-12      -7.702329389302e-15 
   54       1.975819924862e-10       1.985398765213e-14      -4.410807921751e-14       0.000000000000e+00       4.560553715913e-11       5.568806592480e-12      -7.120233553010e-15 
   55       2.003372396984e-10       2.102032903477e-14      -7.656697141474e-14       0.000000000000e+00       4.377272634629e-11       5.371772375893e-12      -6.610051540248e-15 
   56       2.031102977420e-10       2.222438262495e-14      -1.106517243903e-13       0.000000000000e+00       4.203399151816e-11       5.183936333567e-12      -6.196273424058e-15 
   57       2.059050148371e-10       2.346605196667e-14      -1.463717418575e-13       0.000000000000e+00       4.038835325605e-11       5.005321031671e-12      -5.882746235545e-15 
   58       2.087245840847e-10       2.474518821133e-14      -1.837366014805e-13       0.000000000000e+00       3.883205418048e-11       4.835670232748e-12      -5.672400572215e-15 
   59       2.115714801335e-10       2.606158899428e-14      -2.227561670003e-13       0.000000000000e+00       3.735838743806e-11       4.674431242769e-12      -5.567187131595e-15 
   60       2.144473958451e-10       2.741499731143e-14      -2.634407003603e-13       0.000000000000e+00       3.595752518853e-11       4.520737258201e-12      -5.568013244861e-15 
   61       2.173534779724e-10       2.880508675268e-14      -3.057996619329e-13       0.000000000000e+00       3.461924499517e-11       4.373663804976e-12      -5.672397195825e-15 
   62       2.202912392902e-10       3.023141587063e-14      -3.498375428436e-13       0.000000000000e+00       3.334221212821e-11       4.233105254249e-12      -5.866959496980e-15 
   63       2.232617397462e-10       3.169346152927e-14      -3.955572918793e-13       0.000000000000e+00       3.212648590318e-11       4.099064619935e-12      -6.133125907274e-15 
   64       2.262652527365e-10       3.319063011783e-14      -4.429616139418e-13       0.000000000000e+00       3.097072764162e-11       3.971388048986e-12      -6.449127734656e-15 
   65       2.293012112581e-10       3.472225599446e-14      -4.920530405483e-13       0.000000000000e+00       2.987212110639e-11       3.849755865188e-12      -6.789865956760e-15 
   66       2.323681540631e-10       3.628759992994e-14      -5.428340003312e-13       0.000000000000e+00       2.882629293687e-11       3.733673612948e-12      -7.126775341581e-15 
   67       2.354636718120e-10       3.788584755132e-14      -5.953068895384e-13       0.000000000000e+00       2.782723308421e-11       3.622463101083e-12      -7.427688568162e-15 
   68       2.385853977525e-10       3.951613741755e-14      -6.494698029097e-13       0.000000000000e+00       2.686889807294e-11       3.515444248364e-12      -7.664569153666e-15 
   69       2.417343332207e-10       4.117765533103e-14      -7.053025642196e-13       0.000000000000e+00       2.595057587438e-11       3.412543427088e-12      -7.838833477122e-15 
   70       2.449121023381e-10       4.286955642804e-14      -7.627779787984e-13       0.000000000000e+00       2.507247015892e-11       3.313792862965e-12      -7.960939139364e-15 
   71       2.481199404601e-10       4.459093645353e-14      -8.218658829460e-13       0.000000000000e+00       2.423407778174e-11       3.219146736649e-12      -8.043034334115e-15 
   72       2.513586670446e-10       4.634083096266e-14      -8.825331034436e-13       0.000000000000e+00       2.343415225718e-11       3.128477107359e-12      -8.099023216911e-15 
   73       2.546286585190e-10       4.811821452236e-14      -9.447434170659e-13       0.000000000000e+00       2.267066723292e-11       3.041569836515e-12      -8.144631274027e-15 
   74       2.579298211481e-10       4.992199991282e-14      -1.008457510094e-12       0.000000000000e+00       2.194077996433e-11       2.958120511365e-12      -8.197470691404e-15 
   75       2.612615639019e-10       5.175103732909e-14      -1.073632937827e-12       0.000000000000e+00       2.124079478875e-11       2.877730368621e-12      -8.277105723576e-15 
   76       2.646232339930e-10       5.360409806841e-14      -1.140226055963e-12       0.000000000000e+00       2.056707946603e-11       2.800011779601e-12      -8.399957471648e-15 
   77       2.680155751590e-10       5.547982392317e-14      -1.208198310851e-12       0.000000000000e+00       1.991908785534e-11       2.724935924008e-12      -8.562801039187e-15 
   78       2.714394872462e-10       5.737676706604e-14      -1.277511028067e-12       0.000000000000e+00       1.929682463908e-11       2.652541404757e-12      -8.756363783691e-15 
   79       2.748955697721e-10       5.929340364684e-14      -1.348123542255e-12       0.000000000000e+00       1.869992464407e-11       2.582828510804e-12      -8.970179135424e-15 
   80       2.783841042801e-10       6.122813267600e-14      -1.419993197072e-12       0.000000000000e+00       1.812763585509e-11       2.515757387419e-12      -9.192546144239e-15 
   81       2.819050366946e-10       6.317927490795e-14      -1.493075345137e-12       0.000000000000e+00       1.757880242848e-11       2.451246206471e-12      -9.410489026413e-15 
   82       2.854579596763e-10       6.514507172454e-14      -1.567323347976e-12       0.000000000000e+00       1.705184770572e-11       2.389169336699e-12      -9.609716711472e-15 
   83       2.890420949775e-10       6.712368401841e-14      -1.642688575970e-12       0.000000000000e+00       1.654475722701e-11       2.329355513994e-12      -9.774582389022e-15 
   84       2.926566472353e-10       6.911326862460e-14      -1.719122071942e-12       0.000000000000e+00       1.605556771643e-11       2.271631536873e-12      -9.891461064265e-15 
   85       2.963019713931e-10       7.111222461947e-14      -1.796579858898e-12       0.000000000000e+00       1.558396438608e-11       2.215965683816e-12      -9.959614180177e-15 
   86       2.999785673618e-10       7.311898599552e-14      -1.875018516188e-12       0.000000000000e+00       1.512991851854e-11       2.162344827324e-12      -9.982060324978e-15 
   87       3.036867145546e-10       7.513194792761e-14      -1.954393621604e-12       0.000000000000e+00       1.469319668130e-11       2.110729973740e-12      -9.962334105841e-15 
   88       3.074264604846e-10       7.714946695966e-14      -2.034659779280e-12       0.000000000000e+00       1.427335224401e-11       2.061055198662e-12      -9.904503141243e-15 
   89       3.111976093626e-10       7.916986119144e-14      -2.115770647602e-12       0.000000000000e+00       1.386971689582e-11       2.013226582344e-12      -9.813185053320e-15 
   90       3.149997106950e-10       8.119141046523e-14      -2.197678967119e-12       0.000000000000e+00       1.348139216266e-11       1.967121145109e-12      -9.693564460218e-15 
   91       3.188320478814e-10       8.321235655264e-14      -2.280336588445e-12       0.000000000000e+00       1.310724092455e-11       1.922585782751e-12      -9.551409968448e-15 
   92       3.226936268126e-10       8.523090334130e-14      -2.363694500170e-12       0.000000000000e+00       1.274587893291e-11       1.879436201949e-12      -9.393091165237e-15 
   93       3.265834917345e-10       8.724523336364e-14      -2.447700802027e-12       0.000000000000e+00       1.239600283926e-11       1.837500902043e-12      -9.224585291653e-15 
   94       3.305017519485e-10       8.925355982129e-14      -2.532294215094e-12       0.000000000000e+00       1.205744914126e-11       1.796762999483e-12      -9.048289458894e-15 
   95       3.344486891638e-10       9.125408276678e-14      -2.617409642581e-12       0.000000000000e+00       1.173027955965e-11       1.757237864718e-12      -8.865758175389e-15 
   96       3.384244371727e-10       9.324497386433e-14      -2.702980137308e-12       0.000000000000e+00       1.141445490599e-11       1.718929536128e-12      -8.678674028728e-15 
   97       3.424289749408e-10       9.522437680082e-14      -2.788936901404e-12       0.000000000000e+00       1.110983121926e-11       1.681830273785e-12      -8.488850809528e-15 
   98       3.464621196969e-10       9.719040769691e-14      -2.875209286009e-12       0.000000000000e+00       1.081615590234e-11       1.645920113198e-12      -8.298236635303e-15 
   99       3.505235200232e-10       9.914115551809e-14      -2.961724790982e-12       0.000000000000e+00       1.053306385859e-11       1.611166419068e-12      -8.108917074328e-15 
  100       3.546126489454e-10       1.010746824857e-13      -3.048409064595e-12       0.000000000000e+00       1.026007362834e-11       1.577523439039e-12      -7.923118269506e-15 
  101       3.587287970232e-10       1.029890244881e-13      -3.135185903240e-12       0.000000000000e+00       9.996583525502e-12       1.544931857449e-12      -7.743210062236e-15 
  102       3.628710654395e-10       1.048821914917e-13      -3.221977251134e-12       0.000000000000e+00       9.741867774034e-12       1.513318349082e-12      -7.571709116280e-15 
  103       3.670383590915e-10       1.067521679517e-13      -3.308703200014e-12       0.000000000000e+00       9.495072644526e-12       1.482595132924e-12      -7.411282041628e-15 
  104       3.712296128938e-10       1.085969654546e-13      -3.395284644558e-12       0.000000000000e+00       9.255409764459e-12       1.452680640884e-12      -7.264158467425e-15 
  105       3.754445203892e-10       1.104147878567e-13      -3.481651657792e-12       0.000000000000e+00       9.022774110371e-12       1.423565664950e-12      -7.130273235957e-15 
  106       3.796828911389e-10       1.122038893232e-13      -3.567736251788e-12       0.000000000000e+00       8.797202683463e-12       1.395255355213e-12      -7.008877901626e-15 
  107       3.839444220034e-10       1.139625250627e-13      -3.653469851523e-12       0.000000000000e+00       8.578683114413e-12       1.367748691192e-12      -6.899105051622e-15 
