# dimensionless [l(l+1)/2pi] C_l's for tensor mode
# for l=2 to 500, i.e. number of multipoles equal to 499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       7.349064478107e-12       2.487551395659e-16       3.435927124020e-15       3.871737117300e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    3       5.905676674960e-12       3.318541490599e-16      -7.391387218999e-15       4.588457781441e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    4       5.454170894284e-12       3.653783027286e-16      -1.119874863813e-14       4.633082087553e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    5       5.290668716912e-12       3.483080749660e-16      -1.191203492780e-14       4.186832752275e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    6       5.207894065166e-12       2.974147081746e-16      -1.120152136287e-14       3.481296799010e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    7       5.168725411543e-12       2.326447183411e-16      -9.896064308746e-15       2.715115696615e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    8       5.154574986893e-12       1.702895718181e-16      -8.475926299905e-15       2.021392949397e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    9       5.155134002682e-12       1.202759457190e-16      -7.192078058711e-15       1.468887662985e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   10       5.164070191025e-12       8.639327440690e-17      -6.152814397123e-15       1.076710949978e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   11       5.177349980353e-12       6.790770823355e-17      -5.384237993097e-15       8.333480472814e-17       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   12       5.192362395854e-12       6.172296824725e-17      -4.869785421151e-15       7.115826034926e-17       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   13       5.207331630701e-12       6.401888233634e-17      -4.576234731802e-15       6.807684756889e-17       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   14       5.220997788405e-12       7.145147853828e-17      -4.467276755925e-15       7.125899737435e-17       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   15       5.232487743933e-12       8.158008750155e-17      -4.508795052190e-15       7.847102123591e-17       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   16       5.241239492907e-12       9.294173171474e-17      -4.672215308965e-15       8.809871597537e-17       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   17       5.246928753863e-12       1.048151350574e-16      -4.934261398597e-15       9.910056165067e-17       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   18       5.249070135902e-12       1.169604266920e-16      -5.275524717988e-15       1.108394974803e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   19       5.248639607594e-12       1.293669801944e-16      -5.685237776931e-15       1.230485931100e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   20       5.244604219437e-12       1.420917837431e-16      -6.149763507824e-15       1.355386388752e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   21       5.237632792224e-12       1.551729034103e-16      -6.662266370426e-15       1.482569845375e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   22       5.227517703759e-12       1.686470585567e-16      -7.216084271283e-15       1.612067526907e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   23       5.214778933109e-12       1.825000087888e-16      -7.806926155603e-15       1.743870478010e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   24       5.199180144403e-12       1.967016382982e-16      -8.430168464124e-15       1.878018906167e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   25       5.181157952134e-12       2.112245777568e-16      -9.082282839314e-15       2.014408299944e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   26       5.160624481731e-12       2.260454055054e-16      -9.759567865965e-15       2.152925194164e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   27       5.137806168926e-12       2.411542890884e-16      -1.045945305858e-14       2.293434505548e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
