#scalar perturbations for mode k = 1.039140000000e-02 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:delta_ur              14:theta_ur              15:shear_ur              16:delta_cdm             17:theta_cdm             18:delta_ncdm[0]         19:theta_ncdm[0]         20:shear_ncdm[0]      
       6.818139626160e+00       1.489673730065e-05      -1.213505018430e+00       2.202731102917e-04       3.874827741428e-08       9.687069353570e-08       9.964476269767e-14       1.937413870714e-08      -9.101287638227e-01       2.202731102917e-04       6.011519912023e-01       6.968745427449e-01      -1.213505018430e+00       2.202228235114e-04       2.006378819796e-04      -9.101287638227e-01       2.203739949171e-04      -1.213511260378e+00       2.202241812483e-04       2.006387090409e-04 
       1.018630945894e+01       2.238925068447e-05      -1.220227087670e+00       3.282700331870e-04       1.300886844735e-07       3.252217111838e-07       7.544071897340e-13       6.504434223675e-08      -9.151703157540e-01       3.282700347314e-04       6.011068122824e-01       6.955020148128e-01      -1.220226630335e+00       3.281009652851e-04       4.468732834866e-04      -9.151709969824e-01       3.286035401725e-04      -1.220213781576e+00       3.278337243670e-04       4.461365198856e-04 
       1.518924290625e+01       3.368127250637e-05      -1.231330422378e+00       4.874499924426e-04       4.373853249548e-07       1.093463312387e-06       5.743447499663e-12       2.186926624774e-07      -9.234978168181e-01       4.874500073998e-04       6.009491282188e-01       6.934065637783e-01      -1.231327685080e+00       4.868828630378e-04       9.903318980414e-04      -9.235018217901e-01       4.885414493957e-04      -1.231309264525e+00       4.866235853960e-04       9.892495067462e-04 
       2.258668658414e+01       5.073485080080e-05      -1.250271315992e+00       7.196906269103e-04       1.452929468348e-06       3.632323670871e-06       4.305592489192e-11       7.264647341742e-07      -9.377034874236e-01       7.196907451408e-04       6.005460170494e-01       6.901604550319e-01      -1.250257300560e+00       7.177953076139e-04       2.177358971985e-03      -9.377234281114e-01       7.232105741823e-04      -1.250054399221e+00       7.156064522372e-04       2.163771321530e-03 
       3.345477623314e+01       7.656190898343e-05      -1.283422335794e+00       1.052861857381e-03       4.819358309535e-06       1.204839577384e-05       3.244042918873e-10       2.409679154768e-06      -9.625667566608e-01       1.052862737081e-03       5.996086342757e-01       6.850865313806e-01      -1.283353195584e+00       1.046569101294e-03       4.727674898915e-03      -9.626611955286e-01       1.063973696074e-03      -1.282850072046e+00       1.042326587921e-03       4.687674428670e-03 
       4.928182724664e+01       1.158176609294e-04      -1.342408120639e+00       1.517484448844e-03       1.604860485445e-05       4.012151213612e-05       2.490510389869e-09       8.024302427224e-06      -1.006806141644e+00       1.517490778713e-03       5.975515233752e-01       6.771318841773e-01      -1.342074479338e+00       1.496831377333e-03       1.006299046798e-02      -1.007236571411e+00       1.551504758353e-03      -1.341846543485e+00       1.495821007262e-03       1.004697444281e-02 
       7.206366371451e+01       1.757462837575e-04      -1.447586316851e+00       2.134910947772e-03       5.441674435982e-05       1.360418608996e-04       2.046331378100e-08       2.720837217991e-05      -1.085690264597e+00       2.134957605414e-03       5.934423270568e-01       6.647467221277e-01      -1.446019212995e+00       2.068490047297e-03       2.074276757948e-02      -1.087562330407e+00       2.234687687666e-03      -1.444670463168e+00       2.063273659469e-03       2.061338596189e-02 
       1.043794311659e+02       2.676836797587e-04      -1.631788556625e+00       2.889513866503e-03       1.743026389944e-04       4.357565974860e-04       1.552645956216e-07       8.715131949720e-05      -1.223846759619e+00       2.889828522087e-03       5.856543667870e-01       6.458922569179e-01      -1.624716071671e+00       2.683310579646e-03       4.055790864997e-02      -1.231502124861e+00       3.165462781463e-03      -1.623247160570e+00       2.681167531044e-03       4.042521354031e-02 
       1.494327987575e+02       4.094257699224e-04      -1.940636178176e+00       3.682013304383e-03       5.165533755882e-04       1.291383438971e-03       1.078547701469e-06       2.582766877941e-04      -1.455525256650e+00       3.683990928238e-03       5.723705221969e-01       6.184096302011e-01      -1.910574401641e+00       3.078950609420e-03       7.252155816061e-02      -1.484433646959e+00       4.388164911119e-03      -1.904564433296e+00       3.078679918136e-03       7.192091470218e-02 
       2.054464925233e+02       6.076856561817e-04      -2.375595154447e+00       4.251720064129e-03       1.417938600610e-03       3.544846501524e-03       7.089693003049e-06       7.089693003048e-04      -1.782044530535e+00       4.262272770491e-03       5.529363220453e-01       5.844210060530e-01      -2.270271194200e+00       2.766523114211e-03       1.077778758375e-01      -1.872057587562e+00       5.790134509359e-03      -2.266874327147e+00       2.773760384555e-03       1.074997503261e-01 
       2.054464925233e+02       6.076856561817e-04      -2.375595154447e+00       4.251720064129e-03       1.417938600610e-03       3.544846501524e-03       7.089693003049e-06       7.089693003048e-04      -1.782044530535e+00       4.262272770491e-03       5.529515874563e-01       5.844210060530e-01      -2.270271194200e+00       2.766523114211e-03       1.077778758375e-01      -1.872057587562e+00       5.790134509359e-03      -2.266874327147e+00       2.773760384555e-03       1.074997503261e-01 
       2.059276596423e+02       6.094945608043e-04      -2.379465421774e+00       4.254770737003e-03       1.430674976441e-03       3.547858643817e-03       7.099898951256e-06       7.095813074719e-04      -1.784952329607e+00       4.265419034951e-03       5.527798602077e-01       5.841356137567e-01      -2.273185597082e+00       2.760134227244e-03       1.080178586778e-01      -1.875702553429e+00       5.801632690997e-03      -2.269754335737e+00       2.767480926159e-03       1.077369150791e-01 
       2.064118061531e+02       6.113164855645e-04      -2.383360978435e+00       4.257803063700e-03       1.441997714743e-03       3.555722149293e-03       7.128030652461e-06       7.111599142053e-04      -1.787879181652e+00       4.268573752592e-03       5.526069407388e-01       5.838486138477e-01      -2.276113251586e+00       2.753646028390e-03       1.082578809497e-01      -1.879375192170e+00       5.813192906740e-03      -2.272659110401e+00       2.761077976490e-03       1.079750764269e-01 
       2.068989752623e+02       6.131516269965e-04      -2.387282177090e+00       4.260822724994e-03       1.452558878839e-03       3.567084883512e-03       7.170618602008e-06       7.134361586078e-04      -1.790825359103e+00       4.271722476010e-03       5.524364231437e-01       5.835599831573e-01      -2.279054292678e+00       2.747056986735e-03       1.084979284155e-01      -1.883075923846e+00       5.824816050491e-03      -2.275523547295e+00       2.754695371288e-03       1.082088940733e-01 
       2.073892124666e+02       6.150001911406e-04      -2.391229387862e+00       4.263830563791e-03       1.462751367433e-03       3.581068747389e-03       7.224765154723e-06       7.162353068637e-04      -1.793791142978e+00       4.274862533099e-03       5.522631471843e-01       5.832696979156e-01      -2.282008862745e+00       2.740365506711e-03       1.087379869717e-01      -1.886805186192e+00       5.836503055592e-03      -2.278431455181e+00       2.748145889495e-03       1.084451975753e-01 
       2.078825658164e+02       6.168623945939e-04      -2.395203000063e+00       4.266826545839e-03       1.472811590776e-03       3.597092613393e-03       7.288202412290e-06       7.194416685332e-04      -1.796776827977e+00       4.277993347116e-03       5.520931101251e-01       5.829777333339e-01      -2.284977114042e+00       2.733569927382e-03       1.089780427220e-01      -1.890563437567e+00       5.848254905302e-03      -2.281280593868e+00       2.741660163367e-03       1.086756757282e-01 
       2.083790862167e+02       6.187384657086e-04      -2.399203424952e+00       4.269810473490e-03       1.482881938094e-03       3.614763594721e-03       7.359224555496e-06       7.229769889130e-04      -1.799782725236e+00       4.281114717090e-03       5.519084543771e-01       5.826840632827e-01      -2.287959210872e+00       2.726668519218e-03       1.092180820606e-01      -1.894351159857e+00       5.860072642314e-03      -2.284368586065e+00       2.734553560390e-03       1.089242917006e-01 
       2.088788277713e+02       6.206286459596e-04      -2.403231098830e+00       4.272782117140e-03       1.493048701997e-03       3.633810044390e-03       7.436583411917e-06       7.267871328944e-04      -1.802809164786e+00       4.284226515313e-03       5.517490485496e-01       5.823886600039e-01      -2.290955331765e+00       2.719659478973e-03       1.094580917698e-01      -1.898168861558e+00       5.871957378190e-03      -2.287028722402e+00       2.728367047431e-03       1.091374628961e-01 
       2.093818481747e+02       6.225331915076e-04      -2.407286486450e+00       4.275741242839e-03       1.503365091292e-03       3.654040061978e-03       7.519385967691e-06       7.308338372366e-04      -1.805856498147e+00       4.287328633176e-03       5.515697784485e-01       5.820914938257e-01      -2.293965671794e+00       2.712540922934e-03       1.096980591317e-01      -1.902017081155e+00       5.883910303304e-03      -2.290013775662e+00       2.721353358503e-03       1.093755611121e-01 
       2.098882091626e+02       6.244523749883e-04      -2.411370084743e+00       4.278687615546e-03       1.513865202680e-03       3.675315628627e-03       7.607008038494e-06       7.350895683860e-04      -1.808925101137e+00       4.290420982797e-03       5.513892224536e-01       5.817925328844e-01      -2.296990445039e+00       2.705310878636e-03       1.099379720566e-01      -1.905896390868e+00       5.895932697621e-03      -2.293012992651e+00       2.714229836954e-03       1.096135947594e-01 
