#tensor perturbations for mode k = 1.039140000000e-02 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:shear_g                5:l4_g                   6:pol0_g                 7:pol2_g                 8:pol4_g                 9:H (gw)                10:Hdot (gwdot)          11:delta_ur              12:shear_ur              13:l4_ur              
       6.818139626160e+00       1.489673730065e-05      -0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       4.082482904639e-01       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
       1.018630945894e+01       2.238925068447e-05       1.526312269729e-07       0.000000000000e+00       0.000000000000e+00      -3.815780674322e-08       0.000000000000e+00       0.000000000000e+00       4.080554747967e-01      -1.028386760970e-04      -4.722823671057e-04      -3.526315899952e-09      -5.726651161461e-14 
       1.518924290625e+01       3.368127250637e-05       6.498378425999e-07       0.000000000000e+00       0.000000000000e+00      -1.624594606500e-07       0.000000000000e+00       0.000000000000e+00       4.073022540421e-01      -1.927583884523e-04      -2.316739586311e-03      -1.133770650458e-07      -1.176589994956e-11 
       2.258668658414e+01       5.073485080080e-05       2.255487528260e-06       0.000000000000e+00       0.000000000000e+00      -5.638718820649e-07       0.000000000000e+00       0.000000000000e+00       4.054829585882e-01      -2.965825839543e-04      -6.767611836270e-03      -1.207738631338e-06      -4.548675665661e-10 
       3.345477623314e+01       7.656190898343e-05       7.579733093900e-06       0.000000000000e+00       0.000000000000e+00      -1.894933273475e-06       0.000000000000e+00       0.000000000000e+00       4.014998286600e-01      -4.349247120047e-04      -1.648818447735e-02      -8.414525954987e-06      -9.140587578778e-09 
       4.928182724664e+01       1.158176609294e-04       2.491032621681e-05       0.000000000000e+00       0.000000000000e+00      -6.227581554204e-06       0.000000000000e+00       0.000000000000e+00       3.930996498926e-01      -6.245613997113e-04      -3.686984607534e-02      -4.723055247012e-05      -1.305005339314e-07 
       7.206366371451e+01       1.757462837575e-04       8.454912528380e-05       0.000000000000e+00       0.000000000000e+00      -2.113728132095e-05       0.000000000000e+00       0.000000000000e+00       3.759630427087e-01      -8.751102252966e-04      -7.791668745955e-02      -2.321196784888e-04      -1.506941644258e-06 
       1.043794311659e+02       2.676836797587e-04       2.695422707976e-04       0.000000000000e+00       0.000000000000e+00      -6.738556769940e-05       0.000000000000e+00       0.000000000000e+00       3.426401380234e-01      -1.175394707754e-03      -1.555070647027e-01      -1.029789793471e-03      -1.488304157768e-05 
       1.494327987575e+02       4.094257699224e-04       7.900425109398e-04       0.000000000000e+00       0.000000000000e+00      -1.975106277350e-04       0.000000000000e+00       0.000000000000e+00       2.825854894678e-01      -1.463413358864e-03      -2.867445125280e-01      -4.125801115304e-03      -1.278721746649e-04 
       2.054464925233e+02       6.076856561817e-04       2.036078385458e-03       0.000000000000e+00       0.000000000000e+00      -5.090195963645e-04       0.000000000000e+00       0.000000000000e+00       1.959332518765e-01      -1.586827870098e-03      -4.509278839913e-01      -1.326678279309e-02      -8.128752749723e-04 
       2.054464925233e+02       6.076856561817e-04       2.036078385458e-03       0.000000000000e+00       0.000000000000e+00      -5.090195963645e-04       0.000000000000e+00       0.000000000000e+00       1.959332518765e-01      -1.586827870098e-03      -4.509278839913e-01      -1.326678279309e-02      -8.128752749723e-04 
       2.059276596423e+02       6.094945608043e-04      -8.960640420675e-05       7.136558800449e-10       6.745431615597e-16      -4.559249423988e-04      -5.997932269565e-10      -2.247714213697e-16       1.951697363669e-01      -1.586766238696e-03      -4.522090943639e-01      -1.337700122175e-02      -8.237914216362e-04 
       2.064118061531e+02       6.113164855645e-04      -1.478747432891e-03       6.898859154068e-10       4.898529866416e-15      -3.348745151445e-04      -1.654815194419e-09      -2.403822339046e-15       1.944015286605e-01      -1.586681483197e-03      -4.534947976070e-01      -1.348848957898e-02      -8.348933312427e-04 
       2.068989752623e+02       6.131516269965e-04      -2.408676339047e-03      -1.047556985273e-09       8.522099457006e-15      -1.844572016258e-04      -2.472182668734e-09      -8.027168691539e-15       1.936285716209e-01      -1.586574661211e-03      -4.547850107805e-01      -1.360126951888e-02      -8.461851423694e-04 
       2.073892124666e+02       6.150001911406e-04      -3.049525572791e-03      -4.154671857644e-09       1.567063458860e-16      -2.645320897558e-05      -2.764033009019e-09      -1.645727308868e-14       1.928508043167e-01      -1.586446303582e-03      -4.560797555635e-01      -1.371536352444e-02      -8.576711438460e-04 
       2.078825658164e+02       6.168623945939e-04      -3.506080063262e-03      -8.013199467815e-09      -3.095709321504e-14       1.273372185741e-04      -2.480336400291e-09      -2.548464862773e-14       1.920681618070e-01      -1.586296613534e-03      -4.573790583409e-01      -1.383079498723e-02      -8.693557863203e-04 
       2.083790862167e+02       6.187384657086e-04      -3.843232008610e-03      -1.209908269788e-08      -9.031167067533e-14       2.709778343500e-04      -1.691360463942e-09      -3.245077322032e-14       1.912805747969e-01      -1.586125587823e-03      -4.586829505468e-01      -1.394758829809e-02      -8.812436953152e-04 
       2.088788277713e+02       6.206286459596e-04      -4.101471309741e-03      -1.606681098509e-08      -1.775929761013e-13       4.019237380968e-04      -5.141966907588e-10      -3.509222374862e-14       1.904879691833e-01      -1.585933090441e-03      -4.599914692083e-01      -1.406576895074e-02      -8.933396860105e-04 
       2.093818481747e+02       6.225331915076e-04      -4.306318471190e-03      -1.972998706959e-08      -2.883127519267e-13       5.195432495250e-04       9.284526359178e-10      -3.194651464892e-14       1.896902654961e-01      -1.585718897367e-03      -4.613046576625e-01      -1.418536366004e-02      -9.056487800216e-04 
       2.098882091626e+02       6.244523749883e-04      -4.474076364823e-03      -2.301524174273e-08      -4.159464102643e-13       6.242403205164e-04       2.528385592922e-09      -2.241332425706e-14       1.888873782355e-01      -1.585482723583e-03      -4.626225664360e-01      -1.430640049749e-02      -9.181762244966e-04 
       2.103979770229e+02       6.263864875504e-04      -4.615341121876e-03      -2.591885624966e-08      -5.536982661622e-13       7.169392170704e-04       4.199381812627e-09      -6.615888026222e-15       1.880792151024e-01      -1.585224239262e-03      -4.639452542814e-01      -1.442890904576e-02      -9.309275138220e-04 
       2.109112231751e+02       6.283358411634e-04      -4.737150514587e-03      -2.847439593880e-08      -6.956231795961e-13       7.987866429654e-04       5.877830221251e-09       1.481662647490e-14       1.872656761175e-01      -1.584943079157e-03      -4.652727893695e-01      -1.455292057425e-02      -9.439084142451e-04 
       2.114280248395e+02       6.303007712827e-04      -4.844302354370e-03      -3.073148377243e-08      -8.371543287377e-13       8.709838928676e-04       7.520107014245e-09       4.096866218405e-14       1.864466525986e-01      -1.584638847836e-03      -4.666052506828e-01      -1.467846824174e-02      -9.571249921753e-04 
       2.119484657932e+02       6.322816398684e-04      -4.940166925144e-03      -3.274325748072e-08      -9.752050459890e-13       9.346961838795e-04       9.098794075024e-09       7.082039486811e-14       1.856220259985e-01      -1.584311122139e-03      -4.679427295957e-01      -1.480558732689e-02      -9.705836463792e-04 
       2.124726372259e+02       6.342788388019e-04      -5.027190537022e-03      -3.455978072774e-08      -1.108020341569e-12       9.910073147485e-04       1.059884525144e-08       1.033792401660e-13       1.847916665901e-01      -1.583959451885e-03      -4.692853316576e-01      -1.493431549008e-02      -9.842911446093e-04 
       2.130006386994e+02       6.362927937238e-04      -5.107210118149e-03      -3.622518255429e-08      -1.234915920933e-12       1.040900521398e-03       1.201421237817e-08       1.377626538563e-13       1.839554319903e-01      -1.583583359291e-03      -4.706331785843e-01      -1.506469306913e-02      -9.982546651155e-04 
       2.135325792102e+02       6.383239682934e-04      -5.181651848983e-03      -3.777694221689e-08      -1.355995398811e-12       1.085254092977e-03       1.334510606604e-08       1.732411432276e-13       1.831131655261e-01      -1.583182337442e-03      -4.719864104431e-01      -1.519676340987e-02      -1.012481843350e-03 
       2.140685783438e+02       6.403728688324e-04      -5.251658301035e-03      -3.924628795095e-08      -1.471896155810e-12       1.124844960008e-03       1.459589148296e-08       2.092523435931e-13       1.822646944603e-01      -1.582755848036e-03      -4.733451879957e-01      -1.533057323024e-02      -1.026980823925e-03 
       2.146087674936e+02       6.424400492462e-04      -5.318171153833e-03      -4.065908367475e-08      -1.583585591947e-12       1.160356264763e-03       1.577354026888e-08       2.453962210070e-13       1.814098281252e-01      -1.582303318459e-03      -4.747096951127e-01      -1.546617301169e-02      -1.041760317381e-03 
       2.151532910859e+02       6.445261160096e-04      -5.381985944206e-03      -4.203684968464e-08      -1.692211720570e-12       1.192386601541e-03       1.688653354593e-08       2.814195005799e-13       1.805483560530e-01      -1.581824138385e-03      -4.760801411131e-01      -1.560361740496e-02      -1.056829660530e-03 
       2.157023077170e+02       6.466317328518e-04      -5.443788786982e-03      -4.339773329469e-08      -1.799002513344e-12       1.221459612338e-03       1.794411151365e-08       3.171952038736e-13       1.796800462557e-01      -1.581317655935e-03      -4.774567627796e-01      -1.574296562602e-02      -1.072198877883e-03 
       2.162559910488e+02       6.487576245523e-04      -5.504180984377e-03      -4.475734423116e-08      -1.905204362876e-12       1.248033209274e-03       1.895577719310e-08       3.527011698637e-13       1.788046438975e-01      -1.580783173710e-03      -4.788398256723e-01      -1.588428180306e-02      -1.087878739833e-03 
       2.168145302434e+02       6.509045789960e-04      -5.563694951823e-03      -4.612942231063e-08      -2.012049197905e-12       1.272508031706e-03       1.993097734302e-08       3.879998113321e-13       1.779218707059e-01      -1.580219944881e-03      -4.802296242023e-01      -1.602763521568e-02      -1.103880810911e-03 
       2.173781296421e+02       6.530734463414e-04      -5.622803388613e-03      -4.752632987259e-08      -2.120740578669e-12       1.295234933514e-03       2.087889864412e-08       4.232201495130e-13       1.770314255870e-01      -1.579627169932e-03      -4.816264797654e-01      -1.617310034610e-02      -1.120217478662e-03 
       2.179470073472e+02       6.552651339648e-04      -5.681922863791e-03      -4.895937222559e-08      -2.232450577855e-12       1.316521399185e-03       2.180833103487e-08       4.585423404832e-13       1.761329869805e-01      -1.579003994562e-03      -4.830307361435e-01      -1.632075664612e-02      -1.136901951432e-03 
       2.185213924042e+02       6.574805959713e-04      -5.741412966008e-03      -5.043895752022e-08      -2.348321047962e-12       1.336636853158e-03       2.272756392831e-08       4.941844279372e-13       1.752262174300e-01      -1.578349509532e-03      -4.844427515034e-01      -1.647068792899e-02      -1.153948213362e-03 
       2.191015205207e+02       6.597208169964e-04      -5.801573122029e-03      -5.197462553457e-08      -2.469465173347e-12       1.355816899048e-03       2.364429863987e-08       5.303909598765e-13       1.743107704565e-01      -1.577662752911e-03      -4.858628869507e-01      -1.662298135546e-02      -1.171370931218e-03 
       2.196876289289e+02       6.619867925809e-04      -5.862641651119e-03      -5.357502012214e-08      -2.596968837612e-12       1.374266656262e-03       2.456558850397e-08       5.674235443941e-13       1.733862987770e-01      -1.576942714504e-03      -4.872914932215e-01      -1.677772615748e-02      -1.189185327491e-03 
