# Matter power spectrum P(k) at redshift z=0
# for k=1.02462e-05 to 1.06981 h/Mpc,
# number of wavenumbers equal to 605
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.024618752284e-05       5.217754882729e+01 
       2.285396527656e-05       1.139194841053e+02 
       3.550426958221e-05       1.746068832211e+02 
       4.822970573941e-05       2.349176664601e+02 
       6.106339628454e-05       2.952075078398e+02 
       7.403926398640e-05       3.557399348842e+02 
       8.719232353213e-05       4.167404097604e+02 
       1.005589856323e-04       4.784171823414e+02 
       1.141773773035e-04       5.409716633954e+02 
       1.280876821175e-04       6.046046105736e+02 
       1.423325042208e-04       6.695204190772e+02 
       1.569572598879e-04       7.359304197812e+02 
       1.720106002473e-04       8.040556679429e+02 
       1.875448685450e-04       8.741295813988e+02 
       2.036165948176e-04       9.464003600272e+02 
       2.202870300316e-04       1.021133454775e+03 
       2.376227204837e-04       1.098614021672e+03 
       2.556961213766e-04       1.179149408516e+03 
       2.745862457772e-04       1.263071666098e+03 
       2.943793413763e-04       1.350740039741e+03 
       3.151695823064e-04       1.442543392622e+03 
       3.370597563996e-04       1.538902428489e+03 
       3.601619193749e-04       1.640271640605e+03 
       3.845979762574e-04       1.747140717302e+03 
       4.105001367699e-04       1.860035219834e+03 
       4.380111757167e-04       1.979516188666e+03 
       4.672844122798e-04       2.106178321309e+03 
       4.984833052363e-04       2.240646260307e+03 
       5.317805471014e-04       2.383568538696e+03 
       5.673565331451e-04       2.535608688434e+03 
       6.053970865584e-04       2.697433093902e+03 
       6.460903451521e-04       2.869695311413e+03 
       6.896227640644e-04       3.053016829890e+03 
       7.361742671131e-04       3.247964621233e+03 
       7.859126857422e-04       3.455026305090e+03 
       8.389877502628e-04       3.674584296796e+03 
       8.955250248813e-04       3.906890816610e+03 
       9.556202788876e-04       4.152046017246e+03 
       1.019334830977e-03       4.409981584508e+03 
       1.086692367330e-03       4.680451900322e+03 
       1.157677608154e-03       4.963034212149e+03 
       1.232236996392e-03       5.257138228438e+03 
       1.310281343008e-03       5.562024484570e+03 
       1.391690135111e-03       5.876791501730e+03 
       1.476317042650e-03       6.200513190430e+03 
       1.563996075813e-03       6.532172194896e+03 
       1.654547853204e-03       6.870715804417e+03 
       1.747785523160e-03       7.215086974233e+03 
       1.843520006759e-03       7.564247948751e+03 
       1.941564369186e-03       7.917199368796e+03 
       2.041737250992e-03       8.272994491082e+03 
       2.143865387495e-03       8.630749083337e+03 
       2.247785308725e-03       8.989647114492e+03 
       2.353344346352e-03       9.348943365991e+03 
       2.460401084583e-03       9.707963165740e+03 
       2.568825386457e-03       1.006610050997e+04 
       2.678498112078e-03       1.042281477185e+04 
       2.789310626313e-03       1.077762673450e+04 
       2.901164173824e-03       1.113011380546e+04 
       3.013969181174e-03       1.147990550795e+04 
       3.127644530065e-03       1.182667836031e+04 
       3.242116832971e-03       1.217015110413e+04 
       3.357319732307e-03       1.251008041009e+04 
       3.473193236600e-03       1.284625741589e+04 
       3.589683101413e-03       1.317850350994e+04 
       3.706740258709e-03       1.350666653328e+04 
       3.824320295499e-03       1.383061770913e+04 
       3.942382980698e-03       1.415024890980e+04 
       4.060891837938e-03       1.446547032713e+04 
       4.179813761357e-03       1.477620819109e+04 
       4.299118671030e-03       1.508240299213e+04 
       4.418779204605e-03       1.538400797401e+04 
       4.538770441734e-03       1.568098747256e+04 
       4.659069658046e-03       1.597331599774e+04 
       4.779656105616e-03       1.626097663654e+04 
       4.900510817105e-03       1.654396080327e+04 
       5.021616431010e-03       1.682226645160e+04 
       5.142957035697e-03       1.709589780140e+04 
       5.264518030124e-03       1.736486151346e+04 
       5.386285999396e-03       1.762917551450e+04 
       5.508248603478e-03       1.788885839091e+04 
       5.630394477590e-03       1.814393251999e+04 
       5.752713142972e-03       1.839442302148e+04 
       5.875194926863e-03       1.864035815120e+04 
       5.997830890650e-03       1.888176787259e+04 
       6.120612765307e-03       1.911868439655e+04 
       6.243532893292e-03       1.935114167099e+04 
       6.366584176209e-03       1.957917461405e+04 
       6.489760027612e-03       1.980281966951e+04 
       6.613054330379e-03       2.002211436673e+04 
       6.736461398189e-03       2.023709720942e+04 
       6.859975940647e-03       2.044780741769e+04 
       6.983593031688e-03       2.065428463858e+04 
       7.107308080910e-03       2.085656935388e+04 
       7.231116807538e-03       2.105470306364e+04 
       7.355015216752e-03       2.124872645758e+04 
       7.478999578137e-03       2.143868169422e+04 
       7.603066406042e-03       2.162461071272e+04 
       7.727212441668e-03       2.180655560596e+04 
       7.851434636701e-03       2.198455826483e+04 
       7.975730138353e-03       2.215866140107e+04 
       8.100096275676e-03       2.232890673295e+04 
       8.224530547013e-03       2.249533637568e+04 
       8.349030608504e-03       2.265799187960e+04 
       8.473594263523e-03       2.281691503195e+04 
       8.598219452987e-03       2.297214703874e+04 
       8.722904246428e-03       2.312372943985e+04 
       8.847646833792e-03       2.327170242014e+04 
       8.972445517875e-03       2.341610731455e+04 
       9.097298707351e-03       2.355698369392e+04 
       9.222204910340e-03       2.369437247511e+04 
       9.347162728469e-03       2.382831281522e+04 
       9.472170851382e-03       2.395884502171e+04 
       9.597228051667e-03       2.408600802975e+04 
       9.722333180155e-03       2.420984123776e+04 
       9.847485161575e-03       2.433038312143e+04 
       9.972682990521e-03       2.444767271208e+04 
       1.009792572772e-02       2.456174808664e+04 
       1.022321249655e-02       2.467264730671e+04 
       1.034854247986e-02       2.478040746686e+04 
       1.047391491694e-02       2.488506683440e+04 
       1.059932910077e-02       2.498666183959e+04 
       1.072478437544e-02       2.508522950195e+04 
       1.085028013375e-02       2.518080514523e+04 
       1.097581581498e-02       2.527342559494e+04 
       1.110139090281e-02       2.536312647091e+04 
       1.122700492341e-02       2.544994219122e+04 
       1.135265744363e-02       2.553390833029e+04 
       1.147834806932e-02       2.561505915560e+04 
       1.160407644380e-02       2.569342897939e+04 
       1.172984224640e-02       2.576905175378e+04 
       1.185564519109e-02       2.584196119317e+04 
       1.198148502529e-02       2.591219046947e+04 
       1.210736152863e-02       2.597977368912e+04 
       1.223327451192e-02       2.604474252042e+04 
