# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0
# for k=1.02462e-05 to 1.06981 h/Mpc,
# number of wavenumbers equal to 605
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_ncdm[0]              7:d_tot                  8:t_g                    9:t_b                   10:t_cdm                 11:t_ur                  12:t_ncdm[0]             13:t_tot              
       1.024618752284e-05      -2.134764242972e+00      -1.601073691351e+00      -1.601073691383e+00      -2.134764222274e+00      -1.601110677984e+00      -1.601211195971e+00       1.152676331514e-07       1.154094209409e-07       1.154094230626e-07       1.152645076086e-07       1.154080816905e-07       1.154093675938e-07 
       2.285396527656e-05      -2.139963563020e+00      -1.604985347344e+00      -1.604985348176e+00      -2.139963046072e+00      -1.605022379097e+00      -1.605123184156e+00       5.706492929122e-07       5.741659716848e-07       5.741660249448e-07       5.705716520839e-07       5.741578296853e-07       5.741647640351e-07 
       3.550426958221e-05      -2.149108395808e+00      -1.611905074598e+00      -1.611905079474e+00      -2.149105389097e+00      -1.611942036975e+00      -1.612043486863e+00       1.365264829157e-06       1.385706819350e-06       1.385707129942e-06       1.364814628931e-06       1.385680854269e-06       1.385699898350e-06 
       4.822970573941e-05      -2.162188988135e+00      -1.621892434754e+00      -1.621892451380e+00      -2.162178789211e+00      -1.621928960917e+00      -1.622031650257e+00       2.487652572363e-06       2.557016020293e-06       2.557017077188e-06       2.486131233099e-06       2.556951289294e-06       2.556992646421e-06 
       6.106339628454e-05      -2.179195526136e+00      -1.635038857195e+00      -1.635038899915e+00      -2.179169463217e+00      -1.635074203947e+00      -1.635179081175e+00       3.921428113288e-06       4.098814743970e-06       4.098817455722e-06       3.917559170113e-06       4.098675497825e-06       4.098755099149e-06 
       7.403926398640e-05      -2.200115476792e+00      -1.651469210395e+00      -1.651469302654e+00      -2.200059542411e+00      -1.651502116254e+00      -1.651610617546e+00       5.644653990708e-06       6.025745239900e-06       6.025751088750e-06       5.636400699050e-06       6.025475338612e-06       6.025617260783e-06 
       8.719232353213e-05      -2.224929969491e+00      -1.671344024020e+00      -1.671344201244e+00      -2.224823311102e+00      -1.671372542017e+00      -1.671486749202e+00       7.628988015781e-06       8.356631340249e-06       8.356642560418e-06       7.613365338857e-06       8.356147679939e-06       8.356387185045e-06 
       1.005589856323e-04      -2.253609070029e+00      -1.694862420487e+00      -1.694862733506e+00      -2.253422300036e+00      -1.694883716875e+00      -1.695006547753e+00       9.838597457299e-06       1.111482210875e-05       1.111484189689e-05       9.811479375793e-06       1.111400671471e-05       1.111439415394e-05 
       1.141773773035e-04      -2.286105754304e+00      -1.722265831356e+00      -1.722266350544e+00      -2.285799042213e+00      -1.722275939406e+00      -1.722411380853e+00       1.222882592214e-05       1.432862754145e-05       1.432866030879e-05       1.218475123087e-05       1.432731790389e-05       1.432792379833e-05 
       1.280876821175e-04      -2.322348348711e+00      -1.753842596465e+00      -1.753843416803e+00      -2.321869259824e+00      -1.753836111848e+00      -1.753989508684e+00       1.474460263465e-05       1.803185775934e-05       1.803190943680e-05       1.467658561751e-05       1.802983488264e-05       1.803075659426e-05 
       1.423325042208e-04      -2.362231166093e+00      -1.789933569481e+00      -1.789934816793e+00      -2.361512215506e+00      -1.789903270106e+00      -1.790081686272e+00       1.731859155103e-05       2.226447994716e-05       2.226455835756e-05       1.721794854489e-05       2.226145344265e-05       2.226282398569e-05 
       1.569572598879e-04      -2.405603030879e+00      -1.830938875968e+00      -1.830940714650e+00      -2.404558930489e+00      -1.830875244445e+00      -1.831087917637e+00       1.986909352895e-05       2.707341056326e-05       2.707352587743e-05       1.972530294550e-05       2.706899992989e-05       2.707099965926e-05 
       1.720106002473e-04      -2.452253376508e+00      -1.877326004264e+00      -1.877328646901e+00      -2.450777968855e+00      -1.877216624977e+00      -1.877475541998e+00       2.229774145165e-05       3.251346401350e-05       3.251362931143e-05       2.209836400318e-05       3.250717500631e-05       3.251004717388e-05 
       1.875448685450e-04      -2.501895612900e+00      -1.929639452986e+00      -1.929643172367e+00      -2.499858511992e+00      -1.929468247289e+00      -1.929788875749e+00       2.448706976203e-05       3.864848287408e-05       3.864871483668e-05       2.421776826380e-05       3.863967753484e-05       3.864374905310e-05 
       2.036165948176e-04      -2.554147519879e+00      -1.988512177033e+00      -1.988517321185e+00      -2.551390522507e+00      -1.988258429619e+00      -1.988660652030e+00       2.629810821613e-05       4.555267988054e-05       4.555299964386e-05       2.594282357611e-05       4.554053838287e-05       4.554624760354e-05 
       2.202870300316e-04      -2.608508577964e+00      -2.054679144005e+00      -2.054686155055e+00      -2.604841974155e+00      -2.054316258869e+00      -2.054825569776e+00       2.756824403984e-05       5.331222647059e-05       5.331266068114e-05       2.710960689758e-05       5.329569836645e-05       5.330363232458e-05 
       2.376227204837e-04      -2.664334415873e+00      -2.128993341209e+00      -2.129002779079e+00      -2.659533425590e+00      -2.128487246979e+00      -2.129136292481e+00       2.810973883568e-05       6.202712869478e-05       6.202771081333e-05       2.752982607822e-05       6.200487040955e-05       6.201581484902e-05 
