# Matter power spectrum P(k) at redshift z=2.34
# for k=1.02462e-05 to 1.06981 h/Mpc,
# number of wavenumbers equal to 605
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.024618752284e-05       7.562680005249e+00 
       2.285396527656e-05       1.649082016953e+01 
       3.550426958221e-05       2.527120019806e+01 
       4.822970573941e-05       3.399820935973e+01 
       6.106339628454e-05       4.272271538363e+01 
       7.403926398640e-05       5.148269925323e+01 
       8.719232353213e-05       6.031075437593e+01 
       1.005589856323e-04       6.923703074167e+01 
       1.141773773035e-04       7.829071152468e+01 
       1.280876821175e-04       8.750089905513e+01 
       1.423325042208e-04       9.689723913577e+01 
       1.569572598879e-04       1.065103953664e+02 
       1.720106002473e-04       1.163724456520e+02 
       1.875448685450e-04       1.265172813005e+02 
       2.036165948176e-04       1.369809463133e+02 
       2.202870300316e-04       1.478020038100e+02 
       2.376227204837e-04       1.590218931715e+02 
       2.556961213766e-04       1.706852931660e+02 
       2.745862457772e-04       1.828404904308e+02 
       2.943793413763e-04       1.955397440995e+02 
       3.151695823064e-04       2.088396439727e+02 
       3.370597563996e-04       2.228014315321e+02 
       3.601619193749e-04       2.374912945496e+02 
       3.845979762574e-04       2.529805691053e+02 
       4.105001367699e-04       2.693458424519e+02 
       4.380111757167e-04       2.866688942686e+02 
       4.672844122798e-04       3.050364324522e+02 
       4.984833052363e-04       3.245395426886e+02 
       5.317805471014e-04       3.452727965195e+02 
       5.673565331451e-04       3.673329375012e+02 
       6.053970865584e-04       3.908170862622e+02 
       6.460903451521e-04       4.158204223321e+02 
       6.896227640644e-04       4.424333440331e+02 
       7.361742671131e-04       4.707381590792e+02 
       7.859126857422e-04       5.008054374454e+02 
       8.389877502628e-04       5.326902346700e+02 
       8.955250248813e-04       5.664284723686e+02 
       9.556202788876e-04       6.020338117524e+02 
       1.019334830977e-03       6.394953637469e+02 
       1.086692367330e-03       6.787765279405e+02 
       1.157677608154e-03       7.198151445614e+02 
       1.232236996392e-03       7.625249917598e+02 
       1.310281343008e-03       8.067985013212e+02 
       1.391690135111e-03       8.525048606333e+02 
       1.476317042650e-03       8.995099573045e+02 
       1.563996075813e-03       9.476665401986e+02 
       1.654547853204e-03       9.968222554978e+02 
       1.747785523160e-03       1.046824073782e+03 
       1.843520006759e-03       1.097521670663e+03 
       1.941564369186e-03       1.148770177010e+03 
       2.041737250992e-03       1.200432250918e+03 
       2.143865387495e-03       1.252379543939e+03 
       2.247785308725e-03       1.304493581756e+03 
       2.353344346352e-03       1.356666196695e+03 
       2.460401084583e-03       1.408799530716e+03 
       2.568825386457e-03       1.460805765392e+03 
       2.678498112078e-03       1.512606615509e+03 
       2.789310626313e-03       1.564132706371e+03 
       2.901164173824e-03       1.615322843152e+03 
       3.013969181174e-03       1.666123336676e+03 
       3.127644530065e-03       1.716487269071e+03 
       3.242116832971e-03       1.766373832484e+03 
       3.357319732307e-03       1.815747714223e+03 
       3.473193236600e-03       1.864578490448e+03 
       3.589683101413e-03       1.912840120744e+03 
       3.706740258709e-03       1.960510414795e+03 
       3.824320295499e-03       2.007570584273e+03 
       3.942382980698e-03       2.054004837970e+03 
       4.060891837938e-03       2.099800034843e+03 
       4.179813761357e-03       2.144945350307e+03 
       4.299118671030e-03       2.189432023451e+03 
       4.418779204605e-03       2.233253148208e+03 
       4.538770441734e-03       2.276403444287e+03 
       4.659069658046e-03       2.318879129872e+03 
       4.779656105616e-03       2.360677687766e+03 
       4.900510817105e-03       2.401797819043e+03 
       5.021616431010e-03       2.442239192061e+03 
       5.142957035697e-03       2.482002393974e+03 
       5.264518030124e-03       2.521088381235e+03 
       5.386285999396e-03       2.559499655408e+03 
       5.508248603478e-03       2.597238361919e+03 
       5.630394477590e-03       2.634307777262e+03 
       5.752713142972e-03       2.670711771358e+03 
       5.875194926863e-03       2.706454634295e+03 
       5.997830890650e-03       2.741540882710e+03 
       6.120612765307e-03       2.775975336682e+03 
       6.243532893292e-03       2.809763046397e+03 
       6.366584176209e-03       2.842909182751e+03 
       6.489760027612e-03       2.875419118330e+03 
       6.613054330379e-03       2.907298367609e+03 
       6.736461398189e-03       2.938552573449e+03 
       6.859975940647e-03       2.969187472555e+03 
       6.983593031688e-03       2.999208855132e+03 
       7.107308080910e-03       3.028622622584e+03 
       7.231116807538e-03       3.057434813966e+03 
       7.355015216752e-03       3.085651342683e+03 
       7.478999578137e-03       3.113278324299e+03 
       7.603066406042e-03       3.140321834918e+03 
       7.727212441668e-03       3.166787967027e+03 
       7.851434636701e-03       3.192682777223e+03 
       7.975730138353e-03       3.218012442391e+03 
       8.100096275676e-03       3.242782991914e+03 
       8.224530547013e-03       3.267000505739e+03 
       8.349030608504e-03       3.290670980387e+03 
       8.473594263523e-03       3.313800443787e+03 
       8.598219452987e-03       3.336394838317e+03 
       8.722904246428e-03       3.358460152738e+03 
       8.847646833792e-03       3.380002180077e+03 
       8.972445517875e-03       3.401026877504e+03 
       9.097298707351e-03       3.421539948027e+03 
       9.222204910340e-03       3.441547288068e+03 
       9.347162728469e-03       3.461054539700e+03 
       9.472170851382e-03       3.480067510424e+03 
       9.597228051667e-03       3.498591809149e+03 
       9.722333180155e-03       3.516633111335e+03 
       9.847485161575e-03       3.534196958722e+03 
       9.972682990521e-03       3.551288973354e+03 
       1.009792572772e-02       3.567914639393e+03 
       1.022321249655e-02       3.584079440066e+03 
       1.034854247986e-02       3.599788719740e+03 
       1.047391491694e-02       3.615047993497e+03 
       1.059932910077e-02       3.629862513300e+03 
       1.072478437544e-02       3.644237618983e+03 
       1.085028013375e-02       3.658178407914e+03 
       1.097581581498e-02       3.671690196804e+03 
       1.110139090281e-02       3.684778131485e+03 
       1.122700492341e-02       3.697447186975e+03 
       1.135265744363e-02       3.709702507851e+03 
       1.147834806932e-02       3.721549051844e+03 
       1.160407644380e-02       3.732991785590e+03 
       1.172984224640e-02       3.744035625240e+03 
       1.185564519109e-02       3.754685453904e+03 
       1.198148502529e-02       3.764946078277e+03 
       1.210736152863e-02       3.774822440860e+03 
       1.223327451192e-02       3.784319133362e+03 
       1.235922381612e-02       3.793440981189e+03 
       1.248520931142e-02       3.802192558475e+03 
       1.261123089636e-02       3.810578621820e+03 
       1.273728849702e-02       3.818603591631e+03 
       1.286338206631e-02       3.826272215652e+03 
       1.298951158322e-02       3.833588819086e+03 
       1.311567705224e-02       3.840557956791e+03 
       1.324187850277e-02       3.847184013264e+03 
       1.336811598853e-02       3.853471319763e+03 
       1.349438958712e-02       3.859424282750e+03 
       1.362069939952e-02       3.865047011734e+03 
       1.374704554973e-02       3.870343887418e+03 
       1.387342818434e-02       3.875319023541e+03 
       1.399984747220e-02       3.879976511228e+03 
       1.412630360416e-02       3.884320553493e+03 
       1.425279679273e-02       3.888355177287e+03 
       1.437932727187e-02       3.892084322256e+03 
       1.450589529677e-02       3.895512035888e+03 
       1.463250114368e-02       3.898642326961e+03 
       1.475914510972e-02       3.901478983102e+03 
       1.488582751275e-02       3.904025893461e+03 
       1.501254869131e-02       3.906286958429e+03 
       1.511476363636e-02       3.907904601825e+03 
       1.513930900447e-02       3.908265929281e+03 
       1.526610883181e-02       3.909966518858e+03 
       1.539294857337e-02       3.911392452552e+03 
       1.551982864963e-02       3.912547394268e+03 
       1.564674950151e-02       3.913435031973e+03 
       1.577371159043e-02       3.914058884576e+03 
       1.590071539829e-02       3.914422523558e+03 
       1.602776142759e-02       3.914529468378e+03 
       1.615485020149e-02       3.914383205649e+03 
       1.628198226391e-02       3.913987234011e+03 
       1.640915817966e-02       3.913344972225e+03 
       1.653637853455e-02       3.912459808959e+03 
       1.666364393559e-02       3.911335144507e+03 
       1.679095501111e-02       3.909974268776e+03 
       1.691831241100e-02       3.908380560600e+03 
       1.704571680687e-02       3.906557273530e+03 
       1.717316889231e-02       3.904507738488e+03 
       1.730066938311e-02       3.902235187558e+03 
       1.742821901751e-02       3.899742856919e+03 
       1.755581855648e-02       3.897033932183e+03 
       1.768346878403e-02       3.894111655893e+03 
       1.781117050747e-02       3.890979122168e+03 
       1.793892455778e-02       3.887639522824e+03 
       1.806673178991e-02       3.884095980129e+03 
       1.819459308317e-02       3.880351603626e+03 
       1.832250934156e-02       3.876409470966e+03 
       1.845048149420e-02       3.872272658737e+03 
       1.857851049570e-02       3.867944245356e+03 
       1.870659732663e-02       3.863427231992e+03 
       1.883474299390e-02       3.858724678337e+03 
       1.896294853126e-02       3.853839571979e+03 
       1.909121499977e-02       3.848774907534e+03 
       1.921954348829e-02       3.843533640587e+03 
       1.934793511398e-02       3.838118762673e+03 
       1.947639102284e-02       3.832533137090e+03 
       1.960491239028e-02       3.826779747781e+03 
       1.973350042166e-02       3.820861447369e+03 
       1.986215635288e-02       3.814781164139e+03 
       1.999088145102e-02       3.808541711526e+03 
       2.011967701493e-02       3.802145962302e+03 
       2.024854437592e-02       3.795596738065e+03 
       2.037748489841e-02       3.788896777374e+03 
       2.050649998060e-02       3.782048948429e+03 
       2.063559105527e-02       3.775055926447e+03 
       2.076475959042e-02       3.767920477205e+03 
       2.089400709010e-02       3.760645264172e+03 
       2.102333509519e-02       3.753233004748e+03 
       2.115274518420e-02       3.745686324922e+03 
       2.128223897410e-02       3.738007822489e+03 
       2.141181812123e-02       3.730200165531e+03 
       2.154148432215e-02       3.722265881328e+03 
       2.167123931458e-02       3.714207525119e+03 
       2.180108487835e-02       3.706027597217e+03 
       2.193102283638e-02       3.697728608439e+03 
       2.206105505571e-02       3.689312982607e+03 
       2.219118344850e-02       3.680783126497e+03 
       2.232140997315e-02       3.672141471070e+03 
       2.245173663539e-02       3.663390372730e+03 
       2.258216548944e-02       3.654532178971e+03 
       2.271269863914e-02       3.645569221422e+03 
       2.284333823926e-02       3.636503736999e+03 
       2.297408649666e-02       3.627337972970e+03 
       2.310494567166e-02       3.618074211809e+03 
       2.323591807932e-02       3.608714578505e+03 
       2.336700609089e-02       3.599261328185e+03 
       2.349821213514e-02       3.589716549949e+03 
       2.362953869992e-02       3.580082389220e+03 
       2.376098833363e-02       3.570360956513e+03 
       2.389256364680e-02       3.560554245704e+03 
       2.402426731368e-02       3.550664420320e+03 
       2.415610207396e-02       3.540693488627e+03 
       2.428807073444e-02       3.530643417885e+03 
       2.442017617086e-02       3.520516196433e+03 
       2.455242132971e-02       3.510313784423e+03 
       2.468480923012e-02       3.500038178516e+03 
       2.481734296585e-02       3.489691302476e+03 
       2.495002570731e-02       3.479274969602e+03 
       2.508286070365e-02       3.468791179581e+03 
       2.521585128494e-02       3.458241743801e+03 
       2.534900086442e-02       3.447628557051e+03 
       2.548231294077e-02       3.436953397693e+03 
       2.561579110059e-02       3.426218072911e+03 
       2.574943902079e-02       3.415424443181e+03 
       2.588326047125e-02       3.404574234283e+03 
       2.601725931742e-02       3.393669204067e+03 
       2.615143952307e-02       3.382711110400e+03 
       2.628580515318e-02       3.371701649820e+03 
       2.642036037686e-02       3.360642556860e+03 
       2.655510947042e-02       3.349535460618e+03 
       2.669005682056e-02       3.338382007488e+03 
       2.682520692759e-02       3.327183879284e+03 
       2.696056440892e-02       3.315942664594e+03 
       2.709613400253e-02       3.304659938733e+03 
       2.723192057066e-02       3.293337258784e+03 
       2.736792910361e-02       3.281976252647e+03 
       2.750416472368e-02       3.270578294961e+03 
       2.764063268925e-02       3.259144967329e+03 
       2.777733839905e-02       3.247677714248e+03 
       2.791428739660e-02       3.236178021565e+03 
       2.805148537473e-02       3.224647212494e+03 
       2.818893818042e-02       3.213086720418e+03 
       2.832665181971e-02       3.201497956115e+03 
       2.846463246286e-02       3.189882184688e+03 
       2.860288644975e-02       3.178240687238e+03 
       2.874142029540e-02       3.166574827359e+03 
       2.888024069582e-02       3.154885848035e+03 
       2.901935453404e-02       3.143174903414e+03 
       2.915876888639e-02       3.131443261330e+03 
       2.929849102911e-02       3.119692090117e+03 
       2.943852844512e-02       3.107922475706e+03 
       2.957888883119e-02       3.096135562772e+03 
       2.971958010537e-02       3.084332557330e+03 
       2.986061041472e-02       3.072514396862e+03 
       3.000198814344e-02       3.060682117573e+03 
       3.014372192129e-02       3.048836864387e+03 
       3.028582063242e-02       3.036979560793e+03 
       3.042829342461e-02       3.025111186161e+03 
       3.057114971890e-02       3.013232723140e+03 
       3.071439921964e-02       3.001345079530e+03 
       3.085805192507e-02       2.989449148512e+03 
       3.100211813836e-02       2.977545875450e+03 
       3.114660847910e-02       2.965636107138e+03 
       3.129153389548e-02       2.953720645573e+03 
       3.143690567691e-02       2.941800403439e+03 
       3.158273546730e-02       2.929876155378e+03 
       3.172903527907e-02       2.917948660067e+03 
       3.187581750769e-02       2.906018692638e+03 
       3.202309494709e-02       2.894087023268e+03 
       3.217088080574e-02       2.882154340629e+03 
       3.231918872361e-02       2.870221354385e+03 
       3.246803279000e-02       2.858288741643e+03 
       3.261742756221e-02       2.846357155052e+03 
       3.276738808531e-02       2.834427220741e+03 
       3.291792991285e-02       2.822499567976e+03 
       3.306906912873e-02       2.810574643199e+03 
       3.322082237025e-02       2.798653134096e+03 
       3.337320685239e-02       2.786735570939e+03 
       3.352624039345e-02       2.774822342256e+03 
       3.367994144214e-02       2.762913974034e+03 
       3.383432910611e-02       2.751010905728e+03 
       3.398942318222e-02       2.739113485249e+03 
       3.414524418850e-02       2.727222155607e+03 
       3.430181339795e-02       2.715337258574e+03 
       3.445915287438e-02       2.703458999661e+03 
       3.461728551035e-02       2.691587810148e+03 
       3.477623506746e-02       2.679723895986e+03 
       3.493602621899e-02       2.667867442476e+03 
       3.509668459530e-02       2.656018681896e+03 
       3.525823683202e-02       2.644177768410e+03 
       3.542071062126e-02       2.632344810066e+03 
       3.558413476612e-02       2.620519958366e+03 
       3.574853923882e-02       2.608703306830e+03 
       3.591395524252e-02       2.596894790236e+03 
       3.608041527735e-02       2.585094542802e+03 
       3.624795321088e-02       2.573302530745e+03 
       3.641660435341e-02       2.561518672365e+03 
       3.658640553842e-02       2.549742930002e+03 
       3.675739520876e-02       2.537975186440e+03 
       3.692961350892e-02       2.526215282576e+03 
       3.710310238399e-02       2.514463093677e+03 
       3.727790568581e-02       2.502718409065e+03 
       3.745406928706e-02       2.490980947811e+03 
       3.763164120394e-02       2.479250455370e+03 
       3.781067172814e-02       2.467526624864e+03 
       3.799121356917e-02       2.455809064840e+03 
       3.817332200778e-02       2.444097375571e+03 
       3.835705506172e-02       2.432391122643e+03 
       3.854247366485e-02       2.420689761982e+03 
       3.872964186116e-02       2.408992740790e+03 
       3.891862701486e-02       2.397299508296e+03 
       3.910950003845e-02       2.385609336245e+03 
       3.930233564051e-02       2.373921497009e+03 
       3.949721259517e-02       2.362235215032e+03 
       3.969421403577e-02       2.350549680781e+03 
       3.989342777515e-02       2.338863899712e+03 
       4.009494665555e-02       2.327176912047e+03 
       4.029886893150e-02       2.315487715056e+03 
       4.050529868931e-02       2.303795131239e+03 
       4.071434630751e-02       2.292097939254e+03 
       4.092612896304e-02       2.280394860023e+03 
       4.114077118862e-02       2.268684585789e+03 
       4.135840548770e-02       2.256965606903e+03 
       4.157917301400e-02       2.245236351204e+03 
       4.180322432392e-02       2.233495173054e+03 
       4.203072021132e-02       2.221740327010e+03 
       4.226183263545e-02       2.209969936689e+03 
       4.249674575465e-02       2.198181942355e+03 
       4.273565708038e-02       2.186374187036e+03 
       4.297877876844e-02       2.174544339583e+03 
       4.322633906721e-02       2.162689977742e+03 
       4.347858394571e-02       2.150808369063e+03 
       4.373577892869e-02       2.138896620804e+03 
       4.399821117043e-02       2.126951635405e+03 
       4.426619180450e-02       2.114970032982e+03 
       4.454005861416e-02       2.102948202483e+03 
       4.482017907568e-02       2.090882191168e+03 
       4.510695383771e-02       2.078767773814e+03 
       4.540082071165e-02       2.066600344477e+03 
       4.570225926342e-02       2.054374867037e+03 
       4.601179611557e-02       2.042085879469e+03 
       4.633001109177e-02       2.029727426907e+03 
       4.665754436406e-02       2.017292973820e+03 
       4.699510479921e-02       2.004775294863e+03 
       4.734347974453e-02       1.992166439133e+03 
       4.770354654989e-02       1.979457525560e+03 
       4.807628619255e-02       1.966638613102e+03 
       4.846279946114e-02       1.953698554576e+03 
       4.886432626773e-02       1.940624676822e+03 
       4.928226880117e-02       1.927402600699e+03 
       4.971821941822e-02       1.914015940581e+03 
       5.017399440278e-02       1.900445747261e+03 
       5.065167502113e-02       1.886670029270e+03 
       5.115365767765e-02       1.872663164766e+03 
       5.168271544758e-02       1.858394744299e+03 
       5.224207384476e-02       1.843828440936e+03 
       5.283550437542e-02       1.828920211367e+03 
       5.346744020893e-02       1.813616058785e+03 
       5.414311907062e-02       1.797848871502e+03 
       5.486875900224e-02       1.781534355092e+03 
       5.565177243200e-02       1.764565349832e+03 
       5.650102199688e-02       1.746803438012e+03 
       5.742711570453e-02       1.728067251445e+03 
       5.844272548905e-02       1.708116109264e+03 
       5.956288543800e-02       1.686628099898e+03 
       6.080517405655e-02       1.663172357783e+03 
       6.218959794421e-02       1.637173757036e+03 
       6.373787187108e-02       1.607877491367e+03 
       6.547167555661e-02       1.574334510327e+03 
       6.740950518277e-02       1.535437631952e+03 
       6.956219923930e-02       1.490060203479e+03 
       7.192829352014e-02       1.437340863147e+03 
       7.449155618010e-02       1.377065094790e+03 
       7.722289897182e-02       1.309998641043e+03 
       8.008644596298e-02       1.237962874129e+03 
       8.304673642706e-02       1.163581646338e+03 
       8.607379268336e-02       1.089812225259e+03 
       8.914495781796e-02       1.019454700059e+03 
       9.224439063400e-02       9.547836616009e+02 
       9.536157797332e-02       8.973480329981e+02 
       9.848977461582e-02       8.479202548042e+02 
       1.016247444675e-01       8.065514268844e+02 
       1.047638623657e-01       7.726880183722e+02 
       1.079055146711e-01       7.453137443393e+02 
       1.110487143657e-01       7.230964736170e+02 
       1.141928594427e-01       7.045317451179e+02 
       1.173375832880e-01       6.880822364706e+02 
       1.204826627799e-01       6.723115565164e+02 
       1.236279621162e-01       6.560063152195e+02 
       1.267733985823e-01       6.382750267245e+02 
       1.299189217246e-01       6.186097993942e+02 
       1.330645006941e-01       5.968998715304e+02 
       1.362101165593e-01       5.733957823846e+02 
       1.393557576376e-01       5.486318011150e+02 
       1.425014166608e-01       5.233229254170e+02 
       1.456470890541e-01       4.982544894485e+02 
       1.487927718895e-01       4.741807264645e+02 
       1.519384632504e-01       4.517440098652e+02 
       1.550841618448e-01       4.314203106154e+02 
       1.582298667695e-01       4.134913845997e+02 
       1.613755773661e-01       3.980410143782e+02 
       1.645212931329e-01       3.849705561293e+02 
       1.676670136709e-01       3.740281919491e+02 
       1.708127386499e-01       3.648467369961e+02 
       1.739584677879e-01       3.569859771524e+02 
       1.771042008374e-01       3.499762709338e+02 
       1.802499375776e-01       3.434180496303e+02 
       1.833956778080e-01       3.368886252420e+02 
       1.865414213454e-01       3.299989221303e+02 
       1.896871680206e-01       3.225188352159e+02 
       1.928329176769e-01       3.143421005132e+02 
       1.959786701683e-01       3.054863132520e+02 
       1.991244253586e-01       2.960765611502e+02 
       2.022701831206e-01       2.863156390744e+02 
       2.054159433350e-01       2.764470521483e+02 
       2.085617058898e-01       2.667192071156e+02 
       2.117074706797e-01       2.573570039061e+02 
       2.148532376058e-01       2.485435705773e+02 
       2.179990065751e-01       2.404112544915e+02 
       2.211447774995e-01       2.330390854263e+02 
       2.242905502964e-01       2.264536475255e+02 
       2.274363248874e-01       2.206317708762e+02 
       2.305821011986e-01       2.155048986891e+02 
       2.337278791601e-01       2.109663473014e+02 
       2.368736587056e-01       2.068820219746e+02 
       2.400194397727e-01       2.031043743960e+02 
       2.431652223017e-01       1.994877647884e+02 
       2.463110062363e-01       1.959027596925e+02 
       2.494567915230e-01       1.922469060129e+02 
       2.526025781110e-01       1.884507757903e+02 
       2.557483659520e-01       1.844793313282e+02 
       2.588941550000e-01       1.803298520153e+02 
       2.620399452112e-01       1.760279217621e+02 
       2.651857365442e-01       1.716221656012e+02 
       2.683315289591e-01       1.671780188330e+02 
       2.714773224181e-01       1.627703342575e+02 
       2.746231168852e-01       1.584750767592e+02 
       2.777689123259e-01       1.543606620996e+02 
       2.809147087073e-01       1.504803943058e+02 
       2.840605059980e-01       1.468676614885e+02 
       2.872063041680e-01       1.435342738958e+02 
       2.903521031885e-01       1.404721903914e+02 
       2.934979030320e-01       1.376576115966e+02 
       2.966437036723e-01       1.350557458125e+02 
       2.997895050840e-01       1.326255938412e+02 
       3.029353072431e-01       1.303234543391e+02 
       3.060811101263e-01       1.281060574025e+02 
       3.092269137115e-01       1.259329816290e+02 
       3.123727179774e-01       1.237695191173e+02 
       3.155185229034e-01       1.215891656933e+02 
       3.186643284700e-01       1.193759802893e+02 
       3.218101346582e-01       1.171254205916e+02 
       3.249559414500e-01       1.148437088052e+02 
       3.281017488279e-01       1.125455269769e+02 
       3.312475567751e-01       1.102507367251e+02 
       3.343933652754e-01       1.079811664700e+02 
       3.375391743133e-01       1.057579041210e+02 
       3.406849838740e-01       1.035996186771e+02 
       3.438307939428e-01       1.015216922653e+02 
       3.469766045061e-01       9.953556141109e+01 
       3.501224155503e-01       9.764812845018e+01 
       3.532682270626e-01       9.586120409413e+01 
       3.564140390305e-01       9.417109722651e+01 
       3.595598514421e-01       9.256887611509e+01 
       3.627056642856e-01       9.104153295553e+01 
       3.658514775500e-01       8.957382664689e+01 
       3.689972912245e-01       8.815040024179e+01 
       3.721431052985e-01       8.675762126054e+01 
       3.752889197620e-01       8.538472260298e+01 
       3.784347346052e-01       8.402411909158e+01 
       3.815805498187e-01       8.267112143640e+01 
       3.847263653935e-01       8.132346447810e+01 
       3.878721813206e-01       7.998097702847e+01 
       3.910179975915e-01       7.864545329513e+01 
       3.941638141980e-01       7.732056586661e+01 
       3.973096311320e-01       7.601156360763e+01 
       4.004554483858e-01       7.472462242315e+01 
       4.036012659520e-01       7.346589451154e+01 
       4.067470838231e-01       7.224052654345e+01 
       4.098929019923e-01       7.105197208454e+01 
       4.130387204526e-01       6.990180447836e+01 
       4.161845391974e-01       6.878999682437e+01 
       4.193303582203e-01       6.771544077673e+01 
       4.224761775150e-01       6.667641566161e+01 
       4.256219970756e-01       6.567079610913e+01 
       4.287678168960e-01       6.469600401236e+01 
       4.319136369708e-01       6.374885358089e+01 
       4.350594572942e-01       6.282554654308e+01 
       4.382052778609e-01       6.192193774575e+01 
       4.413510986657e-01       6.103405292150e+01 
       4.444969197036e-01       6.015865862401e+01 
       4.476427409695e-01       5.929365320158e+01 
       4.507885624588e-01       5.843814513271e+01 
       4.539343841667e-01       5.759220007103e+01 
       4.570802060887e-01       5.675645412743e+01 
       4.602260282205e-01       5.593178066382e+01 
       4.633718505576e-01       5.511914807476e+01 
       4.665176730961e-01       5.431966574363e+01 
       4.696634958317e-01       5.353468279842e+01 
       4.728093187605e-01       5.276577472835e+01 
       4.759551418788e-01       5.201454222910e+01 
       4.791009651827e-01       5.128225560096e+01 
       4.822467886687e-01       5.056949461710e+01 
       4.853926123331e-01       4.987597011295e+01 
       4.885384361725e-01       4.920059162818e+01 
       4.916842601836e-01       4.854176758765e+01 
       4.948300843630e-01       4.789778070596e+01 
       4.979759087075e-01       4.726709446554e+01 
       5.011217332141e-01       4.664844858237e+01 
       5.042675578797e-01       4.604080520481e+01 
       5.074133827013e-01       4.544321067476e+01 
       5.105592076761e-01       4.485473454351e+01 
       5.137050328011e-01       4.427452656246e+01 
       5.168508580737e-01       4.370198423874e+01 
       5.199966834912e-01       4.313692340689e+01 
       5.231425090510e-01       4.257962386541e+01 
       5.262883347504e-01       4.203072144175e+01 
       5.294341605870e-01       4.149095037552e+01 
       5.325799865584e-01       4.096088692279e+01 
       5.357258126621e-01       4.044079430282e+01 
       5.388716388959e-01       3.993062160637e+01 
       5.420174652575e-01       3.943015075853e+01 
       5.451632917446e-01       3.893916978581e+01 
       5.483091183552e-01       3.845758240118e+01 
       5.514549450870e-01       3.798537171270e+01 
       5.546007719380e-01       3.752248092804e+01 
       5.577465989062e-01       3.706866336050e+01 
       5.608924259896e-01       3.662343571862e+01 
       5.640382531862e-01       3.618613793061e+01 
       5.671840804943e-01       3.575610094197e+01 
       5.703299079119e-01       3.533280067654e+01 
       5.734757354372e-01       3.491594139371e+01 
       5.766215630685e-01       3.450542092867e+01 
       5.797673908040e-01       3.410121885712e+01 
       5.829132186420e-01       3.370326607740e+01 
