# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=2.34
# for k=1.02462e-05 to 1.06981 h/Mpc,
# number of wavenumbers equal to 605
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_ncdm[0]              7:d_tot                  8:t_g                    9:t_b                   10:t_cdm                 11:t_ur                  12:t_ncdm[0]             13:t_tot              
       1.024618752284e-05      -1.625435309091e+00      -1.219076546563e+00      -1.219076546577e+00      -1.625435305397e+00      -1.219523594908e+00      -1.219427644398e+00       8.547128614538e-08       8.550166034921e-08       8.550166437105e-08       8.546999632904e-08       8.550060287909e-08       8.550162362128e-08 
       2.285396527656e-05      -1.627414650314e+00      -1.220562619311e+00      -1.220562619688e+00      -1.627414557132e+00      -1.221010181925e+00      -1.220914143483e+00       4.246156039385e-07       4.253742159127e-07       4.253743175440e-07       4.245832783926e-07       4.253661846246e-07       4.253733838386e-07 
       3.550426958221e-05      -1.630909288326e+00      -1.223191489382e+00      -1.223191491598e+00      -1.630908744550e+00      -1.223639860175e+00      -1.223543762341e+00       1.022189891982e-06       1.026610771488e-06       1.026611364977e-06       1.022001509368e-06       1.026579561807e-06       1.026605995023e-06 
       4.822970573941e-05      -1.635937825815e+00      -1.226985796851e+00      -1.226985804424e+00      -1.635935974988e+00      -1.227435105321e+00      -1.227339138398e+00       1.879347361615e-06       1.894388259984e-06       1.894390281432e-06       1.878706818392e-06       1.894299173824e-06       1.894372089718e-06 
       6.106339628454e-05      -1.642529373043e+00      -1.231980292070e+00      -1.231980311547e+00      -1.642524623670e+00      -1.232430422819e+00      -1.232335018375e+00       2.998063172450e-06       3.036653613805e-06       3.036658805435e-06       2.996421267565e-06       3.036444364465e-06       3.036612219232e-06 
       7.403926398640e-05      -1.650723596092e+00      -1.238222435152e+00      -1.238222477250e+00      -1.650713351582e+00      -1.238672935423e+00      -1.238578857359e+00       4.381023052424e-06       4.464260233065e-06       4.464271443190e-06       4.377485913143e-06       4.463830545115e-06       4.464171058515e-06 
       8.719232353213e-05      -1.660570790168e+00      -1.245773241080e+00      -1.245773322008e+00      -1.660551136374e+00      -1.246223211367e+00      -1.246131663315e+00       6.031470157267e-06       6.191161225886e-06       6.191182759028e-06       6.024694403847e-06       6.190360593439e-06       6.190990278566e-06 
       1.005589856323e-04      -1.672131957669e+00      -1.254708394808e+00      -1.254708537854e+00      -1.672097294043e+00      -1.255156356638e+00      -1.255069111398e+00       7.952999209475e-06       8.234664330276e-06       8.234702364438e-06       7.941069666451e-06       8.233277291525e-06       8.234362979219e-06 
       1.141773773035e-04      -1.685478856789e+00      -1.265119664512e+00      -1.265119901970e+00      -1.685421454608e+00      -1.265563398136e+00      -1.265482956155e+00       1.014928321396e-05       1.061575513142e-05       1.061581822305e-05       1.012956833699e-05       1.061348327188e-05       1.061525627376e-05 
       1.280876821175e-04      -1.700693976058e+00      -1.277116650493e+00      -1.277117026023e+00      -1.700603443827e+00      -1.277552993411e+00      -1.277482779066e+00       1.262371352074e-05       1.335949707093e-05       1.335959677274e-05       1.259269291237e-05       1.335593677199e-05       1.335871049290e-05 
       1.423325042208e-04      -1.717870376624e+00      -1.290828918612e+00      -1.290829490171e+00      -1.717733008517e+00      -1.291253513412e+00      -1.291198120220e+00       1.537892841601e-05       1.649551883596e-05       1.649567045895e-05       1.533198584104e-05       1.649013352386e-05       1.649432555899e-05 
       1.569572598879e-04      -1.737111315097e+00      -1.306408570792e+00      -1.306409414272e+00      -1.736909292978e+00      -1.306815547594e+00      -1.306781046544e+00       1.841619901493e-05       2.005860214617e-05       2.005882570493e-05       1.834737321753e-05       2.005068745327e-05       2.005684750250e-05 
       1.720106002473e-04      -1.758529537617e+00      -1.324033320679e+00      -1.324034534469e+00      -1.758239950708e+00      -1.324414895326e+00      -1.324409224544e+00       2.173463339079e-05       2.408938568359e-05       2.408970707400e-05       2.163631777993e-05       2.407802548206e-05       2.408687080871e-05 
       1.875448685450e-04      -1.782246112674e+00      -1.343910168318e+00      -1.343911879028e+00      -1.781839750811e+00      -1.344256131679e+00      -1.344289591243e+00       2.533014973956e-05       2.863520380520e-05       2.863565627670e-05       2.519273066217e-05       2.861921446859e-05       2.863167516455e-05 
       2.036165948176e-04      -1.808388591253e+00      -1.366279751594e+00      -1.366282121264e+00      -1.807828458389e+00      -1.366576818317e+00      -1.366662700816e+00       2.919416067197e-05       3.375108249263e-05       3.375170849338e-05       2.900558278051e-05       3.372894196575e-05       3.374621897749e-05 
       2.202870300316e-04      -1.837088265663e+00      -1.391421506489e+00      -1.391424741693e+00      -1.836327748881e+00      -1.391652481614e+00      -1.391807878730e+00       3.331189724444e-05       3.950091839730e-05       3.950177189120e-05       3.305714341568e-05       3.947067560740e-05       3.949431542546e-05 
       2.376227204837e-04      -1.868476196790e+00      -1.419659758260e+00      -1.419664121626e+00      -1.867456813510e+00      -1.419802467491e+00      -1.420049305088e+00       3.766029173025e-05       4.595887132058e-05       4.596002070126e-05       3.732076464621e-05       4.591803010249e-05       4.595002126557e-05 
       2.556961213766e-04      -1.902677607620e+00      -1.451370898058e+00      -1.451376722866e+00      -1.901326239772e+00      -1.451396810633e+00      -1.451763181303e+00       4.220532817794e-05       5.321100468748e-05       5.321253644645e-05       4.175812152109e-05       5.315637459037e-05       5.319927283514e-05 
       2.745862457772e-04      -1.939804137479e+00      -1.486991816076e+00      -1.486999524784e+00      -1.938029647270e+00      -1.486864266927e+00      -1.487386150631e+00       4.689876604694e-05       6.135721293171e-05       6.135923627810e-05       4.631581627424e-05       6.128471689615e-05       6.134180803377e-05 
       2.943793413763e-04      -1.979943339901e+00      -1.527029777758e+00      -1.527039905534e+00      -1.977632449318e+00      -1.526701666416e+00      -1.527425158460e+00       5.167414975810e-05       7.051347872931e-05       7.051613140686e-05       5.092126606453e-05       7.041790449113e-05       7.049341710312e-05 
       3.151695823064e-04      -2.023144699699e+00      -1.572073946735e+00      -1.572087171351e+00      -2.020157008005e+00      -1.571484751715e+00      -1.572468955293e+00       5.644204381914e-05       8.081450581935e-05       8.081796142433e-05       5.547782633121e-05       8.068918376852e-05       8.078856785557e-05 
       3.370597563996e-04      -2.069401352208e+00      -1.622808753168e+00      -1.622825932953e+00      -2.065563368390e+00      -1.621880650466e+00      -1.623201440276e+00       6.108449680044e-05       9.241677466521e-05       9.242125183526e-05       5.985917454288e-05       9.225315949968e-05       9.238345259333e-05 
       3.601619193749e-04      -2.118626664113e+00      -1.680029317910e+00      -1.680051539891e+00      -2.113724751596e+00      -1.678662125185e+00      -1.680417054837e+00       6.544884994974e-05       1.055020649989e-04       1.055078389176e-04       6.390310494129e-05       1.052891914228e-04       1.054595008854e-04 
       3.845979762574e-04      -2.170624913309e+00      -1.744659080828e+00      -1.744687721633e+00      -2.164397097763e+00      -1.742723664318e+00      -1.745038374004e+00       6.934121328860e-05       1.202814836889e-04       1.202889004257e-04       6.740511174455e-05       1.200052573013e-04       1.202273970091e-04 
       4.105001367699e-04      -2.225055617503e+00      -1.817769748822e+00      -1.817806551458e+00      -2.217182311203e+00      -1.815099418826e+00      -1.818136010420e+00       7.252024836213e-05       1.370000202081e-04       1.370095144830e-04       7.011248155727e-05       1.366422929443e-04       1.369316250729e-04 
       4.380111757167e-04      -2.281391712725e+00      -1.900603549563e+00      -1.900650719686e+00      -2.271485589483e+00      -1.896982830959e+00      -1.900950817087e+00       7.469239046797e-05       1.559416282691e-04       1.559537452755e-04       7.172014559392e-05       1.554789928748e-04       1.558555416969e-04 
