# Matter power spectrum P(k) at redshift z=0
# for k=1.045e-05 to 1.09055 h/Mpc,
# number of wavenumbers equal to 603
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.045004358465e-05       5.155517530046e+01 
       2.333095830364e-05       1.133442767446e+02 
       3.625717138197e-05       1.731382337387e+02 
       4.926346170446e-05       2.328174702504e+02 
       6.238518340034e-05       2.921618758220e+02 
       7.565858108432e-05       3.518812189570e+02 
       8.912111517766e-05       4.123894002571e+02 
       1.028118016360e-04       4.729599485379e+02 
       1.167715704439e-04       5.346672125071e+02 
       1.310436472695e-04       5.972764550697e+02 
       1.456739626796e-04       6.612437841113e+02 
       1.607115932535e-04       7.266333108735e+02 
       1.762092387588e-04       7.938081818480e+02 
       1.922237391794e-04       8.630072089316e+02 
       2.088166347275e-04       9.343202114963e+02 
       2.260547708937e-04       1.008239548217e+03 
       2.440109489228e-04       1.084948180934e+03 
       2.627646196243e-04       1.164762336771e+03 
       2.824026148746e-04       1.248070522329e+03 
       3.030199061975e-04       1.335212965788e+03 
       3.247203730558e-04       1.426592401988e+03 
       3.476175545344e-04       1.522680639241e+03 
       3.718353465748e-04       1.623920704428e+03 
       3.975085925723e-04       1.730846421061e+03 
       4.247834979996e-04       1.844000729002e+03 
       4.538177802962e-04       1.963951264135e+03 
       4.847804449377e-04       2.091323819472e+03 
       5.178510599038e-04       2.226763401551e+03 
       5.532183878398e-04       2.370926596056e+03 
       5.910782339041e-04       2.524486836948e+03 
       6.316303850249e-04       2.688107379397e+03 
       6.750745609842e-04       2.862426933357e+03 
       7.216053758473e-04       3.048034642840e+03 
       7.714064215132e-04       3.245453748573e+03 
       8.246437268604e-04       3.455105708809e+03 
       8.814589978991e-04       3.677274995639e+03 
       9.419631766204e-04       3.912119309150e+03 
       1.006230932013e-03       4.159613399955e+03 
       1.074296682416e-03       4.419549680379e+03 
       1.146152626855e-03       4.691561322573e+03 
       1.221749044348e-03       4.975081382229e+03 
       1.300996843579e-03       5.269405296785e+03 
       1.383772069420e-03       5.573699237598e+03 
       1.469921856686e-03       5.886973742645e+03 
       1.559271205766e-03       6.208287241888e+03 
       1.651629950110e-03       6.536604765114e+03 
       1.746799373907e-03       6.870840002400e+03 
       1.844578083652e-03       7.210011475705e+03 
       1.944766900247e-03       7.553104529856e+03 
       2.047172686846e-03       7.899204543141e+03 
       2.151611143041e-03       8.247422224023e+03 
       2.257908672078e-03       8.596974697120e+03 
       2.365903467808e-03       8.947086920638e+03 
       2.475445979787e-03       9.297125466737e+03 
       2.586398907712e-03       9.646498037297e+03 
       2.698636858273e-03       9.994642323534e+03 
       2.812045774843e-03       1.034110524090e+04 
       2.926522227346e-03       1.068546292763e+04 
       3.041972628545e-03       1.102735820411e+04 
       3.158312425015e-03       1.136647342174e+04 
       3.275465296538e-03       1.170249092867e+04 
       3.393362386273e-03       1.203521635678e+04 
       3.511941575581e-03       1.236444454811e+04 
       3.631146811106e-03       1.268993237813e+04 
       3.750927487358e-03       1.301158230146e+04 
       3.871237885001e-03       1.332924684550e+04 
       3.992036663108e-03       1.364284690341e+04 
       4.113286402413e-03       1.395220544342e+04 
       4.234953195939e-03       1.425735427921e+04 
       4.357006283050e-03       1.455815720410e+04 
       4.479417722957e-03       1.485457886066e+04 
       4.602162103782e-03       1.514663476005e+04 
       4.725216283514e-03       1.543418899560e+04 
       4.848559159457e-03       1.571727554420e+04 
       4.972171463028e-03       1.599587004310e+04 
       5.096035577095e-03       1.626997421986e+04 
       5.220135373297e-03       1.653965979165e+04 
       5.344456067073e-03       1.680485574137e+04 
       5.468984088379e-03       1.706561762257e+04 
       5.593706966285e-03       1.732191829333e+04 
       5.718613225869e-03       1.757374681626e+04 
       5.843692296005e-03       1.782125340239e+04 
       5.968934426788e-03       1.806428933075e+04 
       6.094330615523e-03       1.830305088561e+04 
       6.219872540296e-03       1.853746075484e+04 
       6.345552500285e-03       1.876759684581e+04 
       6.471363362067e-03       1.899339966185e+04 
       6.597298511245e-03       1.921505156472e+04 
       6.723351808830e-03       1.943242566956e+04 
       6.849517551848e-03       1.964569605063e+04 
       6.975790437733e-03       1.985483651348e+04 
       7.102165532088e-03       2.005990245693e+04 
       7.228638239473e-03       2.026088739831e+04 
       7.355204276895e-03       2.045787127626e+04 
       7.481859649730e-03       2.064986753459e+04 
       7.608600629819e-03       2.083887695847e+04 
       7.735423735528e-03       2.102409359211e+04 
       7.862325713566e-03       2.120541219063e+04 
       7.989303522403e-03       2.138292267349e+04 
       8.116354317107e-03       2.155658621198e+04 
       8.243475435493e-03       2.172664227202e+04 
       8.370664385430e-03       2.189303450896e+04 
       8.497918833217e-03       2.205566712681e+04 
       8.625236592919e-03       2.221469191146e+04 
       8.752615616576e-03       2.237018095534e+04 
       8.880053985201e-03       2.252222236100e+04 
       9.007549900508e-03       2.267073701919e+04 
       9.135101677287e-03       2.281573523514e+04 
       9.262707736385e-03       2.295729479920e+04 
       9.390366598231e-03       2.309549418862e+04 
       9.518076876860e-03       2.323030630710e+04 
       9.645837274391e-03       2.336181180350e+04 
       9.773646575931e-03       2.349013336999e+04 
       9.901503644852e-03       2.361519236162e+04 
       1.002940741843e-02       2.373714377220e+04 
       1.015735690378e-02       2.385594798333e+04 
       1.028535117414e-02       2.397157895399e+04 
       1.041338936539e-02       2.408409668401e+04 
       1.054147067279e-02       2.419350511558e+04 
       1.066959434803e-02       2.430005693826e+04 
       1.079775969644e-02       2.440355674874e+04 
       1.092596607441e-02       2.450412340015e+04 
       1.105421288699e-02       2.460176040495e+04 
       1.118249958563e-02       2.469649650169e+04 
       1.131082566619e-02       2.478868817161e+04 
       1.143919066690e-02       2.487776682949e+04 
       1.156759416669e-02       2.496411660281e+04 
       1.169603578339e-02       2.504766956790e+04 
       1.182451517231e-02       2.512849877825e+04 
       1.195303202469e-02       2.520665022008e+04 
       1.208158606644e-02       2.528216716660e+04 
       1.221017705681e-02       2.535505565977e+04 
       1.233880478731e-02       2.542534064883e+04 
       1.246746908058e-02       2.549304737867e+04 
       1.259616978942e-02       2.555824400516e+04 
       1.272490679583e-02       2.562095312269e+04 
       1.285368001018e-02       2.568119822374e+04 
       1.298248937038e-02       2.573898159905e+04 
       1.311133484117e-02       2.579436423924e+04 
       1.324021641342e-02       2.584734285886e+04 
       1.336913410352e-02       2.589801893424e+04 
       1.349808795276e-02       2.594633326726e+04 
       1.362707802683e-02       2.599238890989e+04 
       1.375610441532e-02       2.603614516883e+04 
       1.388516723129e-02       2.607768734064e+04 
       1.401426661081e-02       2.611702001934e+04 
       1.414340271265e-02       2.615414411090e+04 
       1.427257571792e-02       2.618913992080e+04 
       1.440178582977e-02       2.622198976517e+04 
       1.453103327311e-02       2.625274057852e+04 
       1.466031829438e-02       2.628142807344e+04 
       1.478964116138e-02       2.630803167810e+04 
       1.491900216301e-02       2.633265961546e+04 
       1.504840160920e-02       2.635529700916e+04 
       1.517783983073e-02       2.637598476888e+04 
       1.530731717916e-02       2.639473002474e+04 
       1.543683402673e-02       2.640953005641e+04 
       1.556639076630e-02       2.642439580647e+04 
       1.569598781137e-02       2.643806167964e+04 
       1.582562559600e-02       2.644948678074e+04 
       1.595530457487e-02       2.645862811081e+04 
       1.608502522327e-02       2.646557571423e+04 
       1.621478803722e-02       2.647131961889e+04 
       1.634459353345e-02       2.647529649342e+04 
       1.647444224958e-02       2.647907453547e+04 
       1.660433474414e-02       2.647991721753e+04 
       1.673427159678e-02       2.647886702591e+04 
