# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.494809263574e-10       7.287903562998e-15       4.813388560284e-13       0.000000000000e+00       8.812725866291e-09       4.855278379226e-10      -2.509692579021e-12 
    3       1.409097557977e-10       1.234268203599e-14       6.058092148861e-13       0.000000000000e+00       5.423125105823e-09       3.460430848536e-10      -2.207264630615e-12 
    4       1.324530122992e-10       1.441196215782e-14       6.266858926993e-13       0.000000000000e+00       3.768066157777e-09       2.633870129324e-10      -1.760791059609e-12 
    5       1.257504322525e-10       1.332906981337e-14       5.868901800353e-13       0.000000000000e+00       2.811622487820e-09       2.090013667825e-10      -1.307021983450e-12 
    6       1.208111330242e-10       1.028608655695e-14       5.164721136411e-13       0.000000000000e+00       2.196060640438e-09       1.706757600161e-10      -8.931838252211e-13 
    7       1.173400092032e-10       6.818256451410e-15       4.358070261619e-13       0.000000000000e+00       1.771757320869e-09       1.423893001694e-10      -5.434176005924e-13 
    8       1.150177604377e-10       4.029589914213e-15       3.571356624240e-13       0.000000000000e+00       1.464522684179e-09       1.207754903323e-10      -2.684773307898e-13 
    9       1.135989585373e-10       2.329677875088e-15       2.877070926947e-13       0.000000000000e+00       1.233396855146e-09       1.037960660566e-10      -6.999350884757e-14 
   10       1.128700721828e-10       1.567543731115e-15       2.315905984046e-13       0.000000000000e+00       1.054254228976e-09       9.020221054127e-11       5.734424194045e-14 
   11       1.126907545158e-10       1.342548730068e-15       1.904619960203e-13       0.000000000000e+00       8.886662555575e-10       7.947482640096e-11       1.231095181602e-13 
   12       1.129532118003e-10       1.285254071795e-15       1.640393204747e-13       0.000000000000e+00       7.765066212103e-10       7.025032702323e-11       1.419220799548e-13 
   13       1.135375009627e-10       1.197995865564e-15       1.505689659737e-13       0.000000000000e+00       6.844368932615e-10       6.271494075805e-11       1.275456845459e-13 
   14       1.143447553851e-10       1.052600494160e-15       1.474408890443e-13       0.000000000000e+00       6.078326974430e-10       5.618292754124e-11       9.270267790530e-14 
   15       1.153819365030e-10       9.087771208096e-16       1.516995698710e-13       0.000000000000e+00       5.433526131762e-10       5.072678530882e-11       4.961273664571e-14 
   16       1.166095373245e-10       8.277677455952e-16       1.603503861116e-13       0.000000000000e+00       4.885297549254e-10       4.610284536344e-11       7.354365487279e-15 
   17       1.179451267011e-10       8.270532828303e-16       1.708295398337e-13       0.000000000000e+00       4.415007435566e-10       4.211084409998e-11      -2.774438289826e-14 
   18       1.193920965102e-10       8.794892247823e-16       1.812999578503e-13       0.000000000000e+00       4.006813844333e-10       3.856501602506e-11      -5.214516513020e-14 
   19       1.209584924005e-10       9.524271768873e-16       1.908162212872e-13       0.000000000000e+00       3.654244312358e-10       3.543555744184e-11      -6.495352899696e-14 
   20       1.225889819423e-10       1.012296381951e-15       1.986502152895e-13       0.000000000000e+00       3.343711687107e-10       3.266923039111e-11      -6.697383191750e-14 
   21       1.242954793867e-10       1.062033728698e-15       2.048428306517e-13       0.000000000000e+00       3.070341789436e-10       3.022152975797e-11      -6.033046516546e-14 
   22       1.260774469076e-10       1.119775281786e-15       2.097990649455e-13       0.000000000000e+00       2.827598252089e-10       2.801094142283e-11      -4.836258483167e-14 
   23       1.279238598266e-10       1.204818488443e-15       2.140092152881e-13       0.000000000000e+00       2.612146027121e-10       2.600730530446e-11      -3.402168984414e-14 
   24       1.298024709232e-10       1.335632007075e-15       2.180561664374e-13       0.000000000000e+00       2.419006666887e-10       2.417831654474e-11      -2.041667353839e-14 
   25       1.317304822809e-10       1.512630626641e-15       2.223990519342e-13       0.000000000000e+00       2.245911162020e-10       2.253376165115e-11      -9.393977622696e-15 
   26       1.337206444893e-10       1.728856801513e-15       2.274228106690e-13       0.000000000000e+00       2.089729525244e-10       2.107596013846e-11      -2.292028736873e-15 
   27       1.357538965236e-10       1.977951740709e-15       2.331640942820e-13       0.000000000000e+00       1.948589386194e-10       1.977095343437e-11       6.978103718508e-16 
   28       1.377942222343e-10       2.253556718434e-15       2.394775415348e-13       0.000000000000e+00       1.820058194025e-10       1.856664861141e-11      -3.542783979865e-17 
   29       1.398513473487e-10       2.555161857159e-15       2.460643386765e-13       0.000000000000e+00       1.703480360734e-10       1.745854642400e-11      -3.693322645570e-15 
   30       1.419396412260e-10       2.883951422885e-15       2.524823149808e-13       0.000000000000e+00       1.597604933423e-10       1.644830493757e-11      -9.061073819388e-15 
   31       1.440630985400e-10       3.240490900444e-15       2.582080391081e-13       0.000000000000e+00       1.500273291736e-10       1.552830397562e-11      -1.471213376370e-14 
   32       1.462246583087e-10       3.622668283338e-15       2.628543515113e-13       0.000000000000e+00       1.410983586304e-10       1.468940298228e-11      -1.977885823297e-14 
   33       1.484176467253e-10       4.026881344510e-15       2.660231365199e-13       0.000000000000e+00       1.329105199692e-10       1.391417119096e-11      -2.344358274635e-14 
   34       1.506292013490e-10       4.450025666181e-15       2.673325787960e-13       0.000000000000e+00       1.253493235578e-10       1.318124649655e-11      -2.495524133893e-14 
   35       1.528658966116e-10       4.894804660137e-15       2.667245095829e-13       0.000000000000e+00       1.183761267229e-10       1.249117516340e-11      -2.441471578226e-14 
   36       1.551354263142e-10       5.366346257975e-15       2.642671824705e-13       0.000000000000e+00       1.119350408410e-10       1.184874419861e-11      -2.227496417016e-14 
   37       1.574401010451e-10       5.869948046826e-15       2.600701779477e-13       0.000000000000e+00       1.059422989534e-10       1.125583625195e-11      -1.909276322509e-14 
   38       1.597803900851e-10       6.407868901004e-15       2.542573960837e-13       0.000000000000e+00       1.003824527896e-10       1.071137068584e-11      -1.534571728556e-14 
