# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.494814137679e-10       7.288142661631e-15       4.813388508378e-13       2.390986003074e-19       8.812725866291e-09       4.855278379226e-10      -2.509692579021e-12 
    3       1.409107284329e-10       1.234316046524e-14       6.058091917984e-13       4.784289321325e-19       5.423125105823e-09       3.460430848536e-10      -2.207264630615e-12 
    4       1.324546285554e-10       1.441276004775e-14       6.266858265281e-13       7.978883591561e-19       3.768066157777e-09       2.633870129324e-10      -1.760791059609e-12 
    5       1.257528477621e-10       1.333026758222e-14       5.868900297662e-13       1.197763478958e-18       2.811622487820e-09       2.090013667825e-10      -1.307021983450e-12 
    6       1.208145000900e-10       1.028776496554e-14       5.164718192729e-13       1.678394025148e-18       2.196060640438e-09       1.706757600161e-10      -8.931838252211e-13 
    7       1.173444763101e-10       6.820496646709e-15       4.358065060235e-13       2.240161616949e-18       1.771757320869e-09       1.423893001694e-10      -5.434176005924e-13 
    8       1.150234718510e-10       4.032473460649e-15       3.571348110175e-13       2.883477292438e-18       1.464522684179e-09       1.207754903323e-10      -2.684773307898e-13 
    9       1.136060539945e-10       2.333286772684e-15       2.877057790935e-13       3.608768318277e-18       1.233396855146e-09       1.037960660566e-10      -6.999350884757e-14 
   10       1.128786866821e-10       1.571960419965e-15       2.315886652094e-13       4.416464795860e-18       1.054254228976e-09       9.020221054127e-11       5.734424194045e-14 
   11       1.127010182025e-10       1.347856081065e-15       1.904592588549e-13       5.306986589796e-18       8.886662555575e-10       7.947482640096e-11       1.231095181602e-13 
   12       1.129652499475e-10       1.291535364015e-15       1.640355679835e-13       6.280731089241e-18       7.765066212103e-10       7.025032702323e-11       1.419220799548e-13 
   13       1.135514340407e-10       1.205334751116e-15       1.505639602612e-13       7.338062276503e-18       6.844368932615e-10       6.271494075805e-11       1.275456845459e-13 
