# Table of selected background quantitites
# All densities are mutiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:lum. dist.gw           9:comov.snd.hrz.        10:(.)rho_g              11:(.)rho_b              12:(.)rho_cdm            13:(.)rho_ncdm[0]        14:(.)rho_ur             15:(.)rho_crit           16:U                     17:U_prime               18:V                     19:V_prime               20:gr.fac. D             21:gr.fac. f          
       1.000000000000e+14       7.555728775702e-26       4.632966010831e-09       2.158338309717e+22       1.416938464322e+04       1.416938464322e-10       1.416938464322e+18       1.416938464322e+18       2.674975774605e-09       2.753580214648e+44       2.471195774495e+33       1.331842117096e+34       1.900835498220e+44       4.008546167835e+41       4.658424259194e+44       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       5.366621546043e-18       2.000000000017e+00 
       9.930486593843e+13       7.661879209271e-26       4.665707820095e-09       2.128435913568e+22       1.416938464322e+04       1.426857033572e-10       1.407088842425e+18       1.407088842425e+18       2.693700605027e-09       2.677810562215e+44       2.420018806723e+33       1.304260473502e+34       1.848530631899e+44       3.898243897256e+41       4.530239438166e+44       2.473921787307e-15       1.520287258471e-04       1.174920122997e-72       1.449582582627e-61       5.442017212144e-18       2.000000000016e+00 
       9.861456399050e+13       7.769520950283e-26       4.698449629359e-09       2.098947795982e+22       1.416938464322e+04       1.436845032807e-10       1.397307688604e+18       1.397307688604e+18       2.712556509262e-09       2.604125846403e+44       2.369901682957e+33       1.277250029041e+34       1.797665026915e+44       3.790976789647e+41       4.405581850259e+44       9.895777947214e-15       3.019497852368e-04       1.909059710964e-71       1.173992812514e-60       5.518472111958e-18       2.000000000014e+00 
       9.792906056653e+13       7.878674950113e-26       4.731191438623e-09       2.069868217396e+22       1.416938464322e+04       1.446902948036e-10       1.387594526916e+18       1.387594526916e+18       2.731544404827e-09       2.532468696478e+44       2.320822454470e+33       1.250798954525e+34       1.748199079435e+44       3.686661327107e+41       4.284354437388e+44       2.226595851804e-14       4.497950912870e-04       9.815121738790e-71       4.011389080455e-60       5.596001126660e-18       2.000000000013e+00 
       9.724832231036e+13       7.989362454487e-26       4.763933247887e-09       2.041191517764e+22       1.416938464322e+04       1.457031268673e-10       1.377948884723e+18       1.377948884723e+18       2.750665215661e-09       2.462783320360e+44       2.272759627080e+33       1.224895665743e+34       1.700094275396e+44       3.585216289876e+41       4.166462812190e+44       3.958515281566e-14       5.955964543482e-04       3.150512618953e-70       9.626953960654e-60       5.674619346489e-18       2.000000000012e+00 
       9.657231609767e+13       8.101605007610e-26       4.798494046554e-09       2.012912115454e+22       1.416938464322e+04       1.467230487553e-10       1.368370292674e+18       1.368370292674e+18       2.769919872171e-09       2.395015461189e+44       2.225692151735e+33       1.199528818382e+34       1.653313160517e+44       3.486562693102e+41       4.051815184541e+44       6.185421459454e-14       7.393771863251e-04       7.812159426405e-70       1.903789304263e-59       5.754342073688e-18       2.000000000011e+00 
       9.590100903443e+13       8.215424456362e-26       4.831235855818e-09       1.985024506167e+22       1.416938464322e+04       1.477501100966e-10       1.358858284681e+18       1.358858284681e+18       2.789309311276e-09       2.329112355080e+44       2.179599415297e+33       1.174687303066e+34       1.607819311139e+44       3.390623725341e+41       3.940322290083e+44       8.907423127228e-14       8.811637510063e-04       1.645374966405e-69       3.331072229637e-59       5.835184825482e-18       2.000000000010e+00 
       9.523436845525e+13       8.330842954549e-26       4.865796654485e-09       1.957523261861e+22       1.416938464322e+04       1.487843608673e-10       1.349412397896e+18       1.349412397896e+18       2.808834476454e-09       2.265022690039e+44       2.134461231514e+33       1.150360240487e+34       1.563577305864e+44       3.297324688751e+41       3.831897320728e+44       1.212464693546e-13       1.020986428754e-03       3.096275857078e-69       5.356327237524e-59       5.917163337095e-18       2.000000000009e+00 
       9.457236192179e+13       8.447882967218e-26       4.898538463749e-09       1.930403029697e+22       1.416938464322e+04       1.498258513934e-10       1.340032172687e+18       1.340032172687e+18       2.828496317790e-09       2.202696566012e+44       2.090257832178e+33       1.126536976640e+34       1.520552697979e+44       3.206592940936e+41       3.726455857065e+44       1.583725231066e-13       1.158871331901e-03       5.365543554976e-69       8.096675698354e-59       6.000293564819e-18       2.000000000007e+00 
       9.391495722125e+13       8.566567275024e-26       4.933099262416e-09       1.903658530996e+22       1.416938464322e+04       1.508746323531e-10       1.330717152619e+18       1.330717152619e+18       2.848295792014e-09       2.142085456034e+44       2.046969858471e+33       1.103207078158e+34       1.478711988629e+44       3.118357838382e+41       3.623915802632e+44       2.004541898856e-13       1.294846641577e-03       8.730693560447e-69       1.167479228914e-58       6.084591689111e-18       2.000000000006e+00 
