# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.290291754898e-10       5.494971461466e-15       4.588343016168e-13       2.646572935768e-16       9.341659896459e-09       3.067510518498e-10      -2.186731284284e-12 
    3       1.240852887006e-10       8.008212075824e-15       5.160248426336e-13       2.838997735533e-16       5.691151747086e-09       2.188157576236e-10      -1.773697189348e-12 
    4       1.193702769439e-10       8.089798591674e-15       4.926424392958e-13       2.608406400412e-16       3.931457058993e-09       1.664262033973e-10      -1.293429004710e-12 
    5       1.158566280547e-10       6.438713183282e-15       4.316051097235e-13       2.151538536354e-16       2.919435075279e-09       1.316774542782e-10      -8.581618743487e-13 
    6       1.135163906635e-10       4.270337201848e-15       3.580431151789e-13       1.643096515822e-16       2.270339724594e-09       1.071339727946e-10      -5.019697672898e-13 
    7       1.121542895939e-10       2.491930913347e-15       2.872879512939e-13       1.195960098306e-16       1.824397005353e-09       8.906735766751e-11      -2.358028030799e-13 
    8       1.115309104408e-10       1.419749163596e-15       2.272773408670e-13       8.621866495588e-17       1.502258704390e-09       7.533008199264e-11      -5.673015588747e-14 
    9       1.114807488890e-10       9.341219301905e-16       1.814202125556e-13       6.502388545413e-17       1.260463163595e-09       6.459173915435e-11       4.663722551606e-14 
   10       1.118502964377e-10       7.636797938738e-16       1.502026696192e-13       5.443834923705e-17       1.073606076537e-09       5.605049496951e-11       9.053708160504e-14 
   11       1.125518867332e-10       6.929611432013e-16       1.322095789337e-13       5.195383518730e-17       9.024806573014e-10       4.968597701135e-11       9.284157008910e-14 
   12       1.135308708574e-10       6.290154840061e-16       1.248898909896e-13       5.506383820171e-17       7.864228488859e-10       4.392212782796e-11       7.096528033528e-14 
   13       1.146972906114e-10       5.676200667374e-16       1.252260701151e-13       6.172384614710e-17       6.913909164452e-10       3.924811450162e-11       3.906159454407e-14 
   14       1.159856086214e-10       5.320564911768e-16       1.303922470102e-13       7.049789287636e-17       6.125105101415e-10       3.512695158342e-11       7.070462382399e-15 
   15       1.174190598111e-10       5.340329086479e-16       1.381426510579e-13       8.048232067251e-17       5.462676894502e-10       3.171083399218e-11      -1.824654729026e-14 
   16       1.189952753193e-10       5.672218687652e-16       1.467758454307e-13       9.118734264269e-17       4.900707924318e-10       2.884559824569e-11      -3.415121945472e-14 
   17       1.206149336869e-10       6.191740451917e-16       1.552095358339e-13       1.023659856253e-16       4.419658052675e-10       2.638003491383e-11      -4.063435904672e-14 
   18       1.223155239910e-10       6.826399702658e-16       1.630723390596e-13       1.139346957754e-16       4.002973079804e-10       2.415476849982e-11      -3.965479521978e-14 
   19       1.241106204175e-10       7.602381143213e-16       1.704093144460e-13       1.258610817100e-16       3.643804622765e-10       2.217080880968e-11      -3.356565227714e-14 
   20       1.259375899605e-10       8.574458383837e-16       1.773958072852e-13       1.381266716285e-16       3.328056599913e-10       2.044006077978e-11      -2.541024774344e-14 
   21       1.278140929928e-10       9.785023993598e-16       1.843088212850e-13       1.507216041906e-16       3.050612580904e-10       1.893624140311e-11      -1.721658679161e-14 
   22       1.297503298316e-10       1.126470433435e-15       1.914551707438e-13       1.636438100884e-16       2.804691408943e-10       1.759275363922e-11      -1.075775113776e-14 
   23       1.317354046244e-10       1.300524536273e-15       1.989252481542e-13       1.768809232882e-16       2.586805566149e-10       1.637681050602e-11      -6.734040402356e-15 
   24       1.337350494184e-10       1.498107497384e-15       2.066884009112e-13       1.904206622269e-16       2.391809599374e-10       1.525696481902e-11      -5.318740983349e-15 
   25       1.357709179338e-10       1.718491670463e-15       2.145682743975e-13       2.042519136748e-16       2.217338219629e-10       1.424880878431e-11      -6.002663443508e-15 
   26       1.378626631288e-10       1.961343074579e-15       2.222841589985e-13       2.183650358552e-16       2.060164269349e-10       1.336800163857e-11      -7.896712215243e-15 
   27       1.399947780938e-10       2.226952279741e-15       2.295130571619e-13       2.327435872052e-16       1.918348814265e-10       1.258719853755e-11      -1.019688017772e-14 
   28       1.421334866613e-10       2.515754646473e-15       2.359059193994e-13       2.473697161555e-16       1.789392371745e-10       1.186199820198e-11      -1.211335082690e-14 
   29       1.442883097675e-10       2.828453176900e-15       2.412727879498e-13       2.622255599557e-16       1.672602966187e-10       1.118832759293e-11      -1.339814185588e-14 
   30       1.464722098016e-10       3.165789751030e-15       2.454601296302e-13       2.772939893280e-16       1.566692137198e-10       1.056981154723e-11      -1.396847724730e-14 
   31       1.486875429836e-10       3.528606543344e-15       2.483323747527e-13       2.925583268428e-16       1.469457241098e-10       1.000475961506e-11      -1.378769183432e-14 
   32       1.509370612208e-10       3.918401493120e-15       2.498873195631e-13       3.080001604491e-16       1.380374480991e-10       9.488905709242e-12      -1.299475997708e-14 
   33       1.532142507705e-10       4.336997570567e-15       2.501873681730e-13       3.236007761838e-16       1.298794787154e-10       9.012562594688e-12      -1.183175281697e-14 
   34       1.555063941769e-10       4.786182472604e-15       2.493083058348e-13       3.393413315120e-16       1.223553158910e-10       8.563640319709e-12      -1.057434736250e-14 
   35       1.578205128318e-10       5.266908426267e-15       2.472551533661e-13       3.552014154123e-16       1.154249927316e-10       8.142840106660e-12      -9.386229750891e-15 
   36       1.601648233213e-10       5.779806413609e-15       2.440185420594e-13       3.711599715375e-16       1.090314240361e-10       7.753240300948e-12      -8.418346341733e-15 
   37       1.625420527067e-10       6.325455626055e-15       2.395857226282e-13       3.871962292922e-16       1.030896596901e-10       7.395955806950e-12      -7.806680052306e-15 
   38       1.649526742528e-10       6.904616720420e-15       2.339010056229e-13       4.032916594827e-16       9.758344846681e-11       7.069676577966e-12      -7.527360912995e-15 
   39       1.673914845586e-10       7.518066395134e-15       2.268918065503e-13       4.194286879066e-16       9.249452777063e-11       6.770617816903e-12      -7.492518454032e-15 
   40       1.698458272757e-10       8.166530554965e-15       2.184784677762e-13       4.355902106633e-16       8.777327814920e-11       6.492368366083e-12      -7.586601668639e-15 
   41       1.723015162639e-10       8.850674724234e-15       2.085816346115e-13       4.517585348455e-16       8.335582207307e-11       6.227854328539e-12      -7.689122953976e-15 
   42       1.747646321613e-10       9.571079808270e-15       1.971487136578e-13       4.679117138383e-16       7.922857534647e-11       5.976515049622e-12      -7.756428698647e-15 
