# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.290296606358e-10       5.495199277204e-15       4.588342972129e-13       2.648851092678e-16       9.341659896459e-09       3.067510518498e-10      -2.186731284284e-12 
    3       1.240862561564e-10       8.008667845693e-15       5.160248230200e-13       2.843555429579e-16       5.691151747086e-09       2.188157576236e-10      -1.773697189348e-12 
    4       1.193718831527e-10       8.090558512211e-15       4.926423829848e-13       2.616005582974e-16       3.931457058993e-09       1.664262033973e-10      -1.293429004710e-12 
    5       1.158590259112e-10       6.439853626014e-15       4.316049815725e-13       2.162942885542e-16       2.919435075279e-09       1.316774542782e-10      -8.581618743487e-13 
    6       1.135197288210e-10       4.271934748981e-15       3.580428634983e-13       1.659071773982e-16       2.270339724594e-09       1.071339727946e-10      -5.019697672898e-13 
    7       1.121587118887e-10       2.494062388342e-15       2.872875052703e-13       1.217274352027e-16       1.824397005353e-09       8.906735766751e-11      -2.358028030799e-13 
    8       1.115365554499e-10       1.422491655849e-15       2.272766083398e-13       8.896105456590e-17       1.502258704390e-09       7.533008199264e-11      -5.673015588747e-14 
    9       1.114877496278e-10       9.375528131880e-16       1.814190781729e-13       6.845457479216e-17       1.260463163595e-09       6.459173915435e-11       4.663722551606e-14 
   10       1.118587802028e-10       7.678767363091e-16       1.502009933839e-13       5.863495241395e-17       1.073606076537e-09       5.605049496951e-11       9.053708160504e-14 
   11       1.125619750883e-10       6.980021127237e-16       1.322071951403e-13       5.699424587004e-17       9.024806573014e-10       4.968597701135e-11       9.284157008910e-14 
   12       1.135426797555e-10       6.349787434305e-16       1.248866075380e-13       6.102622401675e-17       7.864228488859e-10       4.392212782796e-11       7.096528033528e-14 
   13       1.147109306429e-10       5.745841627192e-16       1.252216681770e-13       6.868663712923e-17       6.913909164452e-10       3.924811450162e-11       3.906159454407e-14 
   14       1.160011853710e-10       5.401002355346e-16       1.303864810163e-13       7.853976474698e-17       6.125105101415e-10       3.512695158342e-11       7.070462382399e-15 
   15       1.174366743055e-10       5.432353526896e-16       1.381352489642e-13       8.968217390415e-17       5.462676894502e-10       3.171083399218e-11      -1.824654729026e-14 
   16       1.190150245429e-10       5.776622711384e-16       1.467665092201e-13       1.016242783985e-16       4.900707924318e-10       2.884559824569e-11      -3.415121945472e-14 
   17       1.206369111417e-10       6.309318339301e-16       1.551979422052e-13       1.141192797484e-16       4.419658052675e-10       2.638003491383e-11      -4.063435904672e-14 
   18       1.223398202873e-10       6.957946995912e-16       1.630581402800e-13       1.270837714755e-16       4.002973079804e-10       2.415476849982e-11      -3.965479521978e-14 
   19       1.241373238011e-10       7.748694185987e-16       1.703921391913e-13       1.404854855364e-16       3.643804622765e-10       2.217080880968e-11      -3.356565227714e-14 
   20       1.259667869358e-10       8.736333801519e-16       1.773752617814e-13       1.543060448558e-16       3.328056599913e-10       2.044006077978e-11      -2.541024774344e-14 
   21       1.278458687234e-10       9.963258195948e-16       1.842844901636e-13       1.685356651659e-16       3.050612580904e-10       1.893624140311e-11      -1.721658679161e-14 
   22       1.297847686529e-10       1.146009295481e-15       1.914266182348e-13       1.831723312332e-16       2.804691408943e-10       1.759275363922e-11      -1.075775113776e-14 
   23       1.317725902762e-10       1.321858276112e-15       1.988920189554e-13       1.982037215255e-16       2.586805566149e-10       1.637681050602e-11      -6.734040402356e-15 
   24       1.337750653908e-10       1.521315367343e-15       2.066500214032e-13       2.136175840200e-16       2.391809599374e-10       1.525696481902e-11      -5.318740983349e-15 
   25       1.358138474703e-10       1.743652694241e-15       2.145242535435e-13       2.294028361170e-16       2.217338219629e-10       1.424880878431e-11      -6.002663443508e-15 
   26       1.379085893681e-10       1.988535993920e-15       2.222339896026e-13       2.455498612399e-16       2.060164269349e-10       1.336800163857e-11      -7.896712215243e-15 
   27       1.400437839017e-10       2.256255513158e-15       2.294562169486e-13       2.620422517980e-16       1.918348814265e-10       1.258719853755e-11      -1.019688017772e-14 
   28       1.421856545500e-10       2.547246242416e-15       2.358418724313e-13       2.788621946631e-16       1.789392371745e-10       1.186199820198e-11      -1.211335082690e-14 
   29       1.443437214113e-10       2.862210789783e-15       2.412009861049e-13       2.959918873110e-16       1.672602966187e-10       1.118832759293e-11      -1.339814185588e-14 
   30       1.465309458065e-10       3.201890597996e-15       2.453800142973e-13       3.134142715789e-16       1.566692137198e-10       1.056981154723e-11      -1.396847724730e-14 
   31       1.487496826471e-10       3.567127361416e-15       2.482433788599e-13       3.311127518057e-16       1.469457241098e-10       1.000475961506e-11      -1.378769183432e-14 
   32       1.510026819175e-10       3.959418527483e-15       2.497888703391e-13       3.490690218482e-16       1.380374480991e-10       9.488905709242e-12      -1.299475997708e-14 
   33       1.532834275045e-10       4.380586542340e-15       2.500788896658e-13       3.672644923553e-16       1.298794787154e-10       9.012562594688e-12      -1.183175281697e-14 
   34       1.555791991860e-10       4.832418543113e-15       2.491892218241e-13       3.856804609341e-16       1.223553158910e-10       8.563640319709e-12      -1.057434736250e-14 
   35       1.578970151919e-10       5.315866178379e-15       2.471248918355e-13       4.042966668155e-16       1.154249927316e-10       8.142840106660e-12      -9.386229750891e-15 
   36       1.602450884798e-10       5.831559821937e-15       2.438765389324e-13       4.230922204554e-16       1.090314240361e-10       7.753240300948e-12      -8.418346341733e-15 
   37       1.626261421344e-10       6.380078019278e-15       2.394314260005e-13       4.420465279421e-16       1.030896596901e-10       7.395955806950e-12      -7.806680052306e-15 
   38       1.650406456480e-10       6.962180731689e-15       2.337338825173e-13       4.611412131279e-16       9.758344846681e-11       7.069676577966e-12      -7.527360912995e-15 
   39       1.674833916259e-10       7.578643920299e-15       2.267113483445e-13       4.803588555665e-16       9.249452777063e-11       6.770617816903e-12      -7.492518454032e-15 
   40       1.699417193210e-10       8.230192713742e-15       2.182841952550e-13       4.996825158603e-16       8.777327814920e-11       6.492368366083e-12      -7.586601668639e-15 
   41       1.724014380780e-10       8.917491805271e-15       2.083731039022e-13       5.190946603752e-16       8.335582207307e-11       6.227854328539e-12      -7.689122953976e-15 
   42       1.748686249467e-10       9.641121160083e-15       1.969255245961e-13       5.385734403698e-16       7.922857534647e-11       5.976515049622e-12      -7.756428698647e-15 
   43       1.773537269293e-10       1.040158660553e-14       1.838968209940e-13       5.580952534258e-16       7.538011581297e-11       5.739101642441e-12      -7.763303095777e-15 
   44       1.798652895448e-10       1.119932151326e-14       1.692429864777e-13       5.776357005582e-16       7.178182800057e-11       5.515636361522e-12      -7.680366540593e-15 
   45       1.824092563516e-10       1.203470396383e-14       1.529267401690e-13       5.971703454437e-16       6.839800545007e-11       5.305612448056e-12      -7.485874744286e-15 
   46       1.849872190866e-10       1.290812349603e-14       1.349381018556e-13       6.166773694404e-16       6.522297767554e-11       5.108818059386e-12      -7.205853063461e-15 
   47       1.875972103396e-10       1.381992771815e-14       1.152798861427e-13       6.361356333164e-16       6.225275947844e-11       4.924648112490e-12      -6.885577786730e-15 
   48       1.902338299265e-10       1.477040040286e-14       9.396238994060e-14       6.555239427054e-16       5.947385946217e-11       4.751812387693e-12      -6.579048772297e-15 
   49       1.928879640773e-10       1.575975882204e-14       7.100369810329e-14       6.748210491733e-16       5.686257472453e-11       4.588285791394e-12      -6.349456800044e-15 
   50       1.955503995194e-10       1.678817030088e-14       4.642055580189e-14       6.940057766224e-16       5.439206867327e-11       4.431896162523e-12      -6.253050833680e-15 
   51       1.982244737163e-10       1.785581336039e-14       2.019735572562e-14       7.130574384802e-16       5.205750568717e-11       4.282391180413e-12      -6.284493074202e-15 
   52       2.009163729932e-10       1.896282856447e-14      -7.690738878517e-15       7.319555355952e-16       4.985651980729e-11       4.139846521792e-12      -6.417479000139e-15 
   53       2.036314425468e-10       2.010929903229e-14      -3.726923168684e-14       7.506796475960e-16       4.778169690770e-11       4.004058085247e-12      -6.619734680716e-15 
   54       2.063740889234e-10       2.129524867764e-14      -6.856443157921e-14       7.692094398558e-16       4.582023565257e-11       3.874522256013e-12      -6.852702947246e-15 
   55       2.091475921800e-10       2.252063307357e-14      -1.016010342414e-13       7.875257091035e-16       4.395781653975e-11       3.750633349212e-12      -7.079855138901e-15 
   56       2.119537111402e-10       2.378531342252e-14      -1.363938466512e-13       8.056138084768e-16       4.219211128791e-11       3.632378589172e-12      -7.294763255298e-15 
   57       2.147928092575e-10       2.508907303582e-14      -1.729542489855e-13       8.234610855253e-16       4.052203561095e-11       3.519781210122e-12      -7.499451833804e-15 
   58       2.176638374972e-10       2.643162213828e-14      -2.112926090081e-13       8.410559645100e-16       3.894366388515e-11       3.412687375754e-12      -7.696405119304e-15 
   59       2.205642332957e-10       2.781259582015e-14      -2.514183207385e-13       8.583879938353e-16       3.745005405766e-11       3.310754905507e-12      -7.888589296921e-15 
