# dimensionless [l(l+1)/2pi] C_l's for tensor mode
# for l=2 to 500, i.e. number of multipoles equal to 499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       7.362619672719e-12       1.547920122450e-16       6.980948967225e-15       2.646572935768e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    3       5.858774685962e-12       1.799618868447e-16      -1.979676678464e-15       2.838997735533e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    4       5.425896727486e-12       1.761830299147e-16      -4.783155442776e-15       2.608406400412e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    5       5.293073472623e-12       1.494714685733e-16      -5.319845518837e-15       2.151538536354e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    6       5.242236323633e-12       1.142406399231e-16      -4.999988106764e-15       1.643096515822e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    7       5.232305873667e-12       8.214341915022e-17      -4.415546372969e-15       1.195960098306e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    8       5.243152117273e-12       5.934956929522e-17      -3.851657091358e-15       8.621866495588e-17       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    9       5.264068024993e-12       4.719377230938e-17      -3.425089845825e-15       6.502388545413e-17       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   10       5.288903461834e-12       4.404994650408e-17      -3.167090753878e-15       5.443834923705e-17       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   11       5.314116937820e-12       4.721577938953e-17      -3.068595958804e-15       5.195383518730e-17       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   12       5.337738271977e-12       5.417244909084e-17      -3.105420632981e-15       5.506383820171e-17       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   13       5.358664226860e-12       6.314076711053e-17      -3.252399695881e-15       6.172384614710e-17       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   14       5.376265483459e-12       7.310516799974e-17      -3.488199324997e-15       7.049789287636e-17       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   15       5.390214607172e-12       8.362542772374e-17      -3.795840122183e-15       8.048232067251e-17       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   16       5.400391126907e-12       9.457076031498e-17      -4.163455118783e-15       9.118734264269e-17       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   17       5.406806527325e-12       1.059535541755e-16      -4.582507344180e-15       1.023659856253e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   18       5.409221353416e-12       1.177857637237e-16      -5.045953593737e-15       1.139346957754e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
