#scalar perturbations for mode k = 1.039140000000e-02 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:delta_ur              14:theta_ur              15:shear_ur              16:delta_cdm             17:theta_cdm             18:delta_ncdm[0]         19:theta_ncdm[0]         20:shear_ncdm[0]         21:dU_nlde               22:dV_nlde            
       6.819322512569e+00       1.490197476755e-05      -1.213655182569e+00       2.203003164066e-04       3.874559077412e-08       9.686397693529e-08       9.961863028304e-14       1.937279538706e-08      -9.102413869268e-01       2.203003164066e-04       6.011518254060e-01       6.968370790642e-01      -1.213655182569e+00       2.202500037835e-04       2.006997651981e-04      -9.102413869268e-01       2.204012413840e-04      -1.213660828231e+00       2.202513616259e-04       2.007003950921e-04       0.000000000000e+00       0.000000000000e+00 
       1.018749234530e+01       2.239774630294e-05      -1.220435373388e+00       3.282814868800e-04       1.298628785332e-07       3.246571963329e-07       7.521665894748e-13       6.493143926658e-08      -9.153265300427e-01       3.282814884253e-04       6.011094351465e-01       6.954500428466e-01      -1.220434915872e+00       3.281123625321e-04       4.469527960628e-04      -9.153272113546e-01       3.286149741940e-04      -1.220409034397e+00       3.276697989982e-04       4.457349572882e-04       3.425626448250e-03       7.958366796243e-18 
       1.518973706872e+01       3.369540166922e-05      -1.231626154423e+00       4.874075288386e-04       4.373293214046e-07       1.093323303511e-06       5.742446212612e-12       2.186646607023e-07      -9.237196158515e-01       4.874075438046e-04       6.009540718719e-01       6.933326121431e-01      -1.231623416893e+00       4.868403602796e-04       9.903169439856e-04      -9.237236191549e-01       4.884983818702e-04      -1.231601955692e+00       4.865837742358e-04       9.892404664540e-04       1.388766342173e-02       8.752674915008e-17 
       2.258470703502e+01       5.075899646087e-05      -1.250682890299e+00       7.195049684120e-04       1.452673540352e-06       3.631683850881e-06       4.305146091073e-11       7.263367701762e-07      -9.380121681539e-01       7.195050867050e-04       6.005541916705e-01       6.900567676441e-01      -1.250668880418e+00       7.176102296259e-04       2.176726162284e-03      -9.380320879690e-01       7.230212721695e-04      -1.250458409033e+00       7.154291103518e-04       2.163160525766e-03       3.203837439658e-02       7.052225126643e-16 
       3.344617326778e+01       7.660426624838e-05      -1.283966616229e+00       1.052345129734e-03       4.818186661691e-06       1.204546665423e-05       3.244015824033e-10       2.409093330845e-06      -9.629749669861e-01       1.052346009763e-03       5.996224737960e-01       6.849464451463e-01      -1.283897551007e+00       1.046057589168e-03       4.724490977966e-03      -9.630692332980e-01       1.063438712551e-03      -1.283377860113e+00       1.041832890173e-03       4.684535934163e-03       5.842538791938e-02       5.296459971071e-15 
       4.925767661614e+01       1.158935543082e-04      -1.343055258671e+00       1.516287195985e-03       1.604358091472e-05       4.010895228681e-05       2.490878183627e-09       8.021790457362e-06      -1.007291495128e+00       1.516293526436e-03       5.975774206633e-01       6.769548941897e-01      -1.342722294517e+00       1.495665878523e-03       1.005108207604e-02      -1.007720690167e+00       1.550222938378e-03      -1.342458857923e+00       1.494688858505e-03       1.003492886717e-02       9.183366886917e-02       3.809458883152e-14 
       7.200607824776e+01       1.758839783387e-04      -1.448175991652e+00       2.132507019478e-03       5.441958466492e-05       1.360489616623e-04       2.048802222580e-08       2.720979233246e-05      -1.086132519933e+00       2.132553678798e-03       5.934956493068e-01       6.645499128185e-01      -1.446614014474e+00       2.066249297494e-03       2.070514639594e-02      -1.087996613341e+00       2.231921745949e-03      -1.445179524174e+00       2.061106077501e-03       2.057445301820e-02       1.254993077915e-01       2.607980629803e-13 
       1.042550566563e+02       2.679340086843e-04      -1.631871287155e+00       2.885464796797e-03       1.742433058064e-04       4.356082645161e-04       1.553771097489e-07       8.712165290322e-05      -1.223908792899e+00       2.885779158430e-03       5.857720177285e-01       6.457304968258e-01      -1.624832820203e+00       2.679996157328e-03       4.045721795198e-02      -1.231517987120e+00       3.160010742757e-03      -1.623140656543e+00       2.678030929199e-03       4.031558629390e-02       1.398196359439e-01       1.674560369485e-12 
       1.491840030274e+02       4.098773804383e-04      -1.939269601622e+00       3.677023567197e-03       5.166030924773e-04       1.291507731193e-03       1.080288288483e-06       2.583015462387e-04      -1.454500128926e+00       3.678998102274e-03       5.726239936603e-01       6.184016845466e-01      -1.909404930919e+00       3.076812531134e-03       7.230973641126e-02      -1.483173036477e+00       4.378377364736e-03      -1.902803722518e+00       3.077198038746e-03       7.166871180864e-02       9.252349530868e-02       9.871070314696e-12 
       2.048683264958e+02       6.079457947657e-04      -2.370550261035e+00       4.248564703590e-03       1.416626257868e-03       3.541565644670e-03       7.083131289337e-06       7.083131289339e-04      -1.778257628684e+00       4.259059680027e-03       5.534761409735e-01       5.848062106743e-01      -2.266348978138e+00       2.774276862823e-03       1.074440986343e-01      -1.867141512515e+00       5.771629408269e-03      -2.261368217019e+00       2.784876376713e-03       1.070330909850e-01      -6.153520977924e-02       4.556045248713e-11 
       2.048683264958e+02       6.079457947657e-04      -2.370550261035e+00       4.248564703590e-03       1.416626257868e-03       3.541565644670e-03       7.083131289337e-06       7.083131289339e-04      -1.778257628684e+00       4.259059680027e-03       5.534914896522e-01       5.848062106743e-01      -2.266348978138e+00       2.774276862823e-03       1.074440986343e-01      -1.867141512515e+00       5.771629408269e-03      -2.261368217019e+00       2.784876376713e-03       1.070330909850e-01      -6.153520977924e-02       4.556045248713e-11 
       2.053494936148e+02       6.097641621704e-04      -2.374410584598e+00       4.251680211518e-03       1.429443102558e-03       3.544596981728e-03       7.093384438876e-06       7.089289662671e-04      -1.781157942102e+00       4.262270576092e-03       5.533215646978e-01       5.845228034316e-01      -2.269260446178e+00       2.767984330318e-03       1.076858639223e-01      -1.870771619360e+00       5.783128362740e-03      -2.264231462239e+00       2.778739433276e-03       1.072708403211e-01      -6.323831185120e-02       4.606904415457e-11 
       2.058336562356e+02       6.115956982965e-04      -2.378296287072e+00       4.254778003735e-03       1.440837899771e-03       3.552510322890e-03       7.121653060345e-06       7.105175352488e-04      -1.784077375596e+00       4.265490623485e-03       5.531500179558e-01       5.842377964343e-01      -2.272185287121e+00       2.761592896613e-03       1.079277014775e-01      -1.874429414107e+00       5.794689773981e-03      -2.267126957349e+00       2.772464364580e-03       1.075102389701e-01      -6.495736642773e-02       4.658513956434e-11 
       2.063208582458e+02       6.134406038449e-04      -2.382207726468e+00       4.257863787349e-03       1.451467166655e-03       3.563945330560e-03       7.164457967214e-06       7.128082319382e-04      -1.787016205642e+00       4.268705365277e-03       5.529810749538e-01       5.839511663657e-01      -2.275123640244e+00       2.755101023771e-03       1.081695976586e-01      -1.878115321001e+00       5.806314552184e-03      -2.269978592714e+00       2.766216264179e-03       1.077449900698e-01      -6.669259778518e-02       4.710889127988e-11 
       2.068111458899e+02       6.152990893508e-04      -2.386145278758e+00       4.260938420278e-03       1.461726564601e-03       3.578018764733e-03       7.218891558139e-06       7.156252934753e-04      -1.789974717666e+00       4.271912133599e-03       5.528093947552e-01       5.836628892875e-01      -2.278075652593e+00       2.748507108272e-03       1.084115389950e-01      -1.881829782410e+00       5.818003648490e-03      -2.272873624687e+00       2.759803641065e-03       1.079822668708e-01      -6.844424076130e-02       4.764045738409e-11 
       2.073045680438e+02       6.171713762800e-04      -2.390109339681e+00       4.264001880281e-03       1.471854252873e-03       3.594146274240e-03       7.282677639259e-06       7.188523841673e-04      -1.792953211209e+00       4.275110362463e-03       5.526409202092e-01       5.833729402142e-01      -2.281041481492e+00       2.741809480179e-03       1.086535122634e-01      -1.885573261854e+00       5.829758065712e-03      -2.275710215488e+00       2.753452397778e-03       1.082137199230e-01      -7.021254154960e-02       4.818000199547e-11 
       2.078011765271e+02       6.190576982794e-04      -2.394100327585e+00       4.267053981457e-03       1.481993769796e-03       3.611932966786e-03       7.354104310597e-06       7.224108478909e-04      -1.795952002747e+00       4.278299864191e-03       5.524579555713e-01       5.830812927874e-01      -2.284021296790e+00       2.735006399780e-03       1.088955045775e-01      -1.889346246996e+00       5.841578868131e-03      -2.278784704442e+00       2.746491945507e-03       1.084634180246e-01      -7.199775877014e-02       4.872769583162e-11 
       2.083010264598e+02       6.209583026061e-04      -2.398118686651e+00       4.270094506477e-03       1.492232210684e-03       3.631105981335e-03       7.431919496097e-06       7.262463065321e-04      -1.798971428243e+00       4.281480525888e-03       5.523000001645e-01       5.827879189758e-01      -2.287015283130e+00       2.728096052293e-03       1.091375034919e-01      -1.893149252826e+00       5.853467191277e-03      -2.281433359848e+00       2.740431513571e-03       1.086775482509e-01      -7.380016479406e-02       4.928371683674e-11 
       2.088041766717e+02       6.228734517622e-04      -2.402164890398e+00       4.273123234468e-03       1.502623397043e-03       3.651472735021e-03       7.515228212297e-06       7.303203602454e-04      -1.802011845822e+00       4.284652255043e-03       5.521223572401e-01       5.824927887886e-01      -2.290023642335e+00       2.721076540902e-03       1.093794971208e-01      -1.896982825154e+00       5.865424252205e-03      -2.284405573681e+00       2.733559744415e-03       1.089167426592e-01      -7.562004732143e-02       4.984825088846e-11 
       2.093106901695e+02       6.248034253673e-04      -2.406239445577e+00       4.276139944426e-03       1.513201945328e-03       3.672894900836e-03       7.603405964016e-06       7.346054137822e-04      -1.805073638698e+00       4.287814981387e-03       5.519434320881e-01       5.821958699823e-01      -2.293046595993e+00       2.713945878232e-03       1.096214742759e-01      -1.900847544492e+00       5.877451360742e-03      -2.287392009580e+00       2.726579165337e-03       1.091559044451e-01      -7.745771122800e-02       5.042149260015e-11 
       2.098206346684e+02       6.267485222848e-04      -2.410342896559e+00       4.279144419791e-03       1.523991818236e-03       3.695272064595e-03       7.696031213923e-06       7.390814264921e-04      -1.808157218500e+00       4.290968654661e-03       5.517631924233e-01       5.818971277339e-01      -2.296084388377e+00       2.706701976294e-03       1.098634246214e-01      -1.904744030452e+00       5.889549931942e-03      -2.290392900331e+00       2.719487747138e-03       1.093950229825e-01      -7.931348068861e-02       5.100364622993e-11 
       2.103340831965e+02       6.287090630453e-04      -2.414475830234e+00       4.282136449806e-03       1.535011555938e-03       3.718531364356e-03       7.792835325099e-06       7.437338514418e-04      -1.811263028953e+00       4.294113249173e-03       5.515816067074e-01       5.815965242991e-01      -2.299137289636e+00       2.699342634785e-03       1.101053388501e-01      -1.908672946673e+00       5.901721500037e-03      -2.293408497063e+00       2.712283344378e-03       1.096340883160e-01      -8.118770161482e-02       5.159492671565e-11 
       2.108511147915e+02       6.306853926364e-04      -2.418638881694e+00       4.285115831031e-03       1.546277503045e-03       3.742620863077e-03       7.893666747569e-06       7.485523167206e-04      -1.814391550182e+00       4.297248768394e-03       5.513986425091e-01       5.812940186027e-01      -2.302205599548e+00       2.691865527474e-03       1.103472088865e-01      -1.912635006532e+00       5.913967734428e-03      -2.296439107021e+00       2.704963722731e-03       1.098730929924e-01      -8.308074447248e-02       5.219556086369e-11 
       2.113718152880e+02       6.326778836626e-04      -2.422832740576e+00       4.288082368868e-03       1.557805833973e-03       3.767505274605e-03       7.998466196711e-06       7.535297747206e-04      -1.817543303488e+00       4.300375249446e-03       5.512142653670e-01       5.809895658019e-01      -2.305289651642e+00       2.684268186603e-03       1.105890281136e-01      -1.916630979546e+00       5.926290457637e-03      -2.299485025412e+00       2.697526458458e-03       1.101120288241e-01      -8.499300748585e-02       5.280578870129e-11 
       2.118962782074e+02       6.346869399203e-04      -2.427058158299e+00       4.291035879144e-03       1.569613862847e-03       3.793163196918e-03       8.107250036637e-06       7.586619512443e-04      -1.820718856813e+00       4.303492768204e-03       5.510284379743e-01       5.806831167758e-01      -2.308389817916e+00       2.676547985088e-03       1.108307916256e-01      -1.920661698669e+00       5.938691665582e-03      -2.302546642006e+00       2.689969041777e-03       1.103508920260e-01      -8.692492027250e-02       5.342586501422e-11 
       2.124246057548e+02       6.367130004068e-04      -2.431315956094e+00       4.293976189811e-03       1.581720926945e-03       3.819585329742e-03       8.220099644118e-06       7.639469905110e-04      -1.823918830807e+00       4.306601444344e-03       5.508411194659e-01       5.803746175708e-01      -2.311506514034e+00       2.668702116345e-03       1.110724965051e-01      -1.924728068422e+00       5.951173550183e-03      -2.305624324865e+00       2.682288714530e-03       1.105896776640e-01      -8.887694793255e-02       5.405606108567e-11 
       2.129569099193e+02       6.387565437585e-04      -2.435607033929e+00       4.296903142716e-03       1.594149009726e-03       3.846773348261e-03       8.337155037319e-06       7.693852307967e-04      -1.827143905555e+00       4.309701446708e-03       5.506522648564e-01       5.800640087801e-01      -2.314640205069e+00       2.660727571694e-03       1.113141421193e-01      -1.928831073935e+00       5.963738524292e-03      -2.308718554515e+00       2.674482599230e-03       1.108283861190e-01      -9.084959559094e-02       5.469666664497e-11 
