#tensor perturbations for mode k = 1.039140000000e-02 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:shear_g                5:l4_g                   6:pol0_g                 7:pol2_g                 8:pol4_g                 9:H (gw)                10:Hdot (gwdot)          11:delta_ur              12:shear_ur              13:l4_ur              
       6.819322512569e+00       1.490197476755e-05      -0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       4.082482904639e-01       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
       1.018749234530e+01       2.239774630294e-05       1.528975039789e-07       0.000000000000e+00       0.000000000000e+00      -3.822437599473e-08       0.000000000000e+00       0.000000000000e+00       4.080554770021e-01      -1.028364642641e-04      -4.722769651347e-04      -3.526297999848e-09      -5.726634462615e-14 
       1.518973706872e+01       3.369540166922e-05       6.497234737377e-07       0.000000000000e+00       0.000000000000e+00      -1.624308684344e-07       0.000000000000e+00       0.000000000000e+00       4.073024267100e-01      -1.927335664033e-04      -2.316316825250e-03      -1.133396222800e-07      -1.176013487843e-11 
       2.258470703502e+01       5.075899646087e-05       2.255005576247e-06       0.000000000000e+00       0.000000000000e+00      -5.637513940619e-07       0.000000000000e+00       0.000000000000e+00       4.054841414333e-01      -2.964978228106e-04      -6.764719249998e-03      -1.206782869642e-06      -4.543302199885e-10 
       3.344617326778e+01       7.660426624838e-05       7.577706268607e-06       0.000000000000e+00       0.000000000000e+00      -1.894426567152e-06       0.000000000000e+00       0.000000000000e+00       4.015050958907e-01      -4.347025898652e-04      -1.647534320617e-02      -8.402387965196e-06      -9.120913069649e-09 
       4.925767661614e+01       1.158935543082e-04       2.490172258822e-05       0.000000000000e+00       0.000000000000e+00      -6.225430647055e-06       0.000000000000e+00       0.000000000000e+00       3.931189220029e-01      -6.240550485177e-04      -3.682319411894e-02      -4.711988416707e-05      -1.300452740083e-07 
       7.200607824776e+01       1.758839783387e-04       8.454776825802e-05       0.000000000000e+00       0.000000000000e+00      -2.113694206451e-05       0.000000000000e+00       0.000000000000e+00       3.760249347314e-01      -8.740907859967e-04      -7.776921752648e-02      -2.312982606697e-04      -1.499009068751e-06 
       1.042550566563e+02       2.679340086843e-04       2.694288899361e-04       0.000000000000e+00       0.000000000000e+00      -6.735722248401e-05       0.000000000000e+00       0.000000000000e+00       3.428163471783e-01      -1.173651562771e-03      -1.551016920801e-01      -1.024615694349e-03      -1.477137620609e-05 
       1.491840030274e+02       4.098773804383e-04       7.900549359802e-04       0.000000000000e+00       0.000000000000e+00      -1.975137339951e-04       0.000000000000e+00       0.000000000000e+00       2.830205884829e-01      -1.461204650094e-03      -2.858211487495e-01      -4.098206204579e-03      -1.265776429094e-04 
       2.048683264958e+02       6.079457947657e-04       2.034637250375e-03       0.000000000000e+00       0.000000000000e+00      -5.086593125938e-04       0.000000000000e+00       0.000000000000e+00       1.969864949588e-01      -1.585704714267e-03      -4.490853892433e-01      -1.312852870481e-02      -7.995866724521e-04 
