# Matter power spectrum P(k) at redshift z=0
# for k=1.01561e-05 to 1.05973 h/Mpc,
# number of wavenumbers equal to 605
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.015609368729e-05       1.692773624346e+04 
       2.267738495258e-05       9.191779827266e+02 
       3.524028478471e-05       6.682114735401e+01 
       4.787672937341e-05       2.348452907173e+00 
       6.061915424492e-05       5.192939132393e+01 
       7.350076761246e-05       1.233112122570e+02 
       8.655583200561e-05       1.979943516028e+02 
       9.981995773355e-05       2.718966111480e+02 
       1.133304117652e-04       3.444233063158e+02 
       1.271264456402e-04       4.158907966734e+02 
       1.412496460389e-04       4.868316070244e+02 
       1.557443116070e-04       5.577993617553e+02 
       1.706578595195e-04       6.293200745799e+02 
       1.860412650193e-04       7.018879793646e+02 
       2.019495367172e-04       7.759740873169e+02 
       2.184422296999e-04       8.520375283988e+02 
       2.355839973340e-04       9.305364382743e+02 
       2.534451809383e-04       1.011937702000e+03 
       2.721024340162e-04       1.096725379140e+03 
       2.916393742733e-04       1.185407957856e+03 
       3.121472519096e-04       1.278524366647e+03 
       3.337256163710e-04       1.376648736736e+03 
       3.564829555671e-04       1.480393590629e+03 
       3.805372712503e-04       1.590411061999e+03 
       4.060165416992e-04       1.707391500367e+03 
       4.330590082029e-04       1.832058719093e+03 
       4.618132057437e-04       1.965160990372e+03 
       4.924376420576e-04       2.107456952689e+03 
       5.251000152722e-04       2.259695843717e+03 
       5.599758521444e-04       2.422592086295e+03 
       5.972464514297e-04       2.596795326653e+03 
       6.370960359960e-04       2.782858607487e+03 
       6.797080589132e-04       2.981209264973e+03 
       7.252606772999e-04       3.192128884274e+03 
       7.739215035022e-04       3.415749266200e+03 
       8.258418597443e-04       3.652069585209e+03 
       8.811508844514e-04       3.900994634196e+03 
       9.399499422174e-04       4.162385342885e+03 
       1.002307846501e-03       4.436103041525e+03 
       1.068257389337e-03       4.722023332112e+03 
       1.137793573208e-03       5.020000352163e+03 
       1.210873764755e-03       5.329780956499e+03 
       1.287419768020e-03       5.650896392676e+03 
       1.367321590988e-03       5.982548662404e+03 
       1.450442499057e-03       6.323695904535e+03 
       1.536624845535e-03       6.673085096855e+03 
       1.625696153194e-03       7.029396676243e+03 
       1.717474981267e-03       7.391403388154e+03 
       1.811776222945e-03       7.758036490489e+03 
       1.908415608988e-03       8.128350253775e+03 
       2.007213317364e-03       8.501432909065e+03 
       2.107996689827e-03       8.876345180462e+03 
       2.210602127094e-03       9.252136992235e+03 
       2.314876275387e-03       9.627923502412e+03 
       2.420676633735e-03       1.000295372901e+04 
       2.527871710617e-03       1.037661724351e+04 
       2.636340846821e-03       1.074839266017e+04 
       2.745973804322e-03       1.111779046852e+04 
       2.856670202240e-03       1.148433835464e+04 
       2.968338863079e-03       1.184761046771e+04 
       3.080897116646e-03       1.220726000349e+04 
       3.194270095860e-03       1.256301922385e+04 
       3.308390048127e-03       1.291466767709e+04 
       3.423195677788e-03       1.326200304991e+04 
       3.538631529053e-03       1.360483549130e+04 
       3.654647414380e-03       1.394300466003e+04 
       3.771197890094e-03       1.427639342860e+04 
       3.888241778939e-03       1.460492042637e+04 
       4.005741737808e-03       1.492852003213e+04 
       4.123663868077e-03       1.524713001295e+04 
       4.241977365479e-03       1.556069621388e+04 
       4.360654206250e-03       1.586918359896e+04 
       4.479668866282e-03       1.617257920133e+04 
       4.598998070098e-03       1.647088246788e+04 
       4.718620566630e-03       1.676409471763e+04 
       4.838516929024e-03       1.705221794472e+04 
       4.958669375886e-03       1.733526102920e+04 
       5.079061611659e-03       1.761324500979e+04 
       5.199678684003e-03       1.788619638303e+04 
       5.320506856316e-03       1.815414865329e+04 
       5.441533493690e-03       1.841713204394e+04 
       5.562746960816e-03       1.867517779618e+04 
       5.684136530494e-03       1.892832271423e+04 
       5.805692301572e-03       1.917660977228e+04 
       5.927405125265e-03       1.942008301642e+04 
       6.049266538922e-03       1.965878497708e+04 
       6.171268706438e-03       1.989275762651e+04 
       6.293404364556e-03       2.012204516711e+04 
       6.415666774453e-03       2.034669590137e+04 
       6.538049678017e-03       2.056675934180e+04 
       6.660547258318e-03       2.078228353650e+04 
       6.783154103842e-03       2.099331504613e+04 
       6.905865176074e-03       2.119990123874e+04 
       7.028675780097e-03       2.140209190036e+04 
       7.151581537888e-03       2.159993776746e+04 
       7.274578364038e-03       2.179348763940e+04 
       7.397662443653e-03       2.198278968803e+04 
       7.520830212215e-03       2.216789134252e+04 
       7.644078337212e-03       2.234884128613e+04 
       7.767403701361e-03       2.252568872463e+04 
       7.890803387275e-03       2.269848217891e+04 
       8.014274663425e-03       2.286726848010e+04 
       8.137814971287e-03       2.303209402619e+04 
       8.261421913558e-03       2.319300534799e+04 
       8.385093243330e-03       2.335005016316e+04 
       8.508826854162e-03       2.350327499191e+04 
       8.632620770934e-03       2.365272560897e+04 
       8.756473141440e-03       2.379844626588e+04 
       8.880382228645e-03       2.394048248278e+04 
       9.004346403539e-03       2.407887872272e+04 
       9.128364138552e-03       2.421368073404e+04 
       9.252434001471e-03       2.434493152782e+04 
       9.376554649815e-03       2.447267469704e+04 
       9.500724825646e-03       2.459695265144e+04 
       9.624943350749e-03       2.471780888930e+04 
       9.749209122186e-03       2.483528561978e+04 
       9.873521108169e-03       2.494942530551e+04 
       9.997878344232e-03       2.506026852502e+04 
       1.012227992968e-02       2.516785650554e+04 
       1.024672502432e-02       2.527222970028e+04 
       1.037121284534e-02       2.537342966980e+04 
       1.049574266457e-02       2.547149562031e+04 
       1.062031380573e-02       2.556646785966e+04 
       1.074492564206e-02       2.565838436196e+04 
       1.086957759401e-02       2.574728488850e+04 
       1.099426912708e-02       2.583320849978e+04 
