# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0
# for k=1.01561e-05 to 1.05973 h/Mpc,
# number of wavenumbers equal to 605
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_ncdm[0]              7:d_tot                  8:t_g                    9:t_b                   10:t_cdm                 11:t_ur                  12:t_ncdm[0]             13:t_tot              
       1.015609368729e-05      -2.228688014387e+00      -1.671515550337e+00      -1.671515550351e+00      -2.228688001825e+00      -1.671535783341e+00      -1.671611584715e+00       1.213966215125e-07       1.209688341675e-07       1.209688344928e-07       1.213950382936e-07       1.209675536310e-07       1.209689115265e-07 
       2.267738495258e-05      -2.233603022461e+00      -1.675210174040e+00      -1.675210174636e+00      -2.233602623020e+00      -1.675230422526e+00      -1.675306418777e+00       6.024541469596e-07       6.031342299261e-07       6.031342699600e-07       6.023934630916e-07       6.031268541575e-07       6.031339871125e-07 
       3.524028478471e-05      -2.242250468695e+00      -1.681750436958e+00      -1.681750440643e+00      -2.242248071231e+00      -1.681770608375e+00      -1.681847044947e+00       1.442918435387e-06       1.456534703258e-06       1.456534963842e-06       1.442548121449e-06       1.456512655013e-06       1.456531441545e-06 
       4.787672937341e-05      -2.254617843233e+00      -1.691194290552e+00      -1.691194303324e+00      -2.254609628021e+00      -1.691214115290e+00      -1.691291402593e+00       2.631671980532e-06       2.688506107933e-06       2.688507024513e-06       2.630399943874e-06       2.688454124592e-06       2.688493004663e-06 
       6.061915424492e-05      -2.270691034270e+00      -1.703630569952e+00      -1.703630603000e+00      -2.270669945177e+00      -1.703649514398e+00      -1.703728309163e+00       4.152869572228e-06       4.310304989622e-06       4.310307375107e-06       4.149610346019e-06       4.310197833198e-06       4.310269165857e-06 
       7.350076761246e-05      -2.290451759402e+00      -1.719180584756e+00      -1.719180656380e+00      -2.290406390100e+00      -1.719197751927e+00      -1.719279050251e+00       5.985337005597e-06       6.337301294640e-06       6.337306477385e-06       5.978355056523e-06       6.337099995014e-06       6.337221705906e-06 
       8.655583200561e-05      -2.313874057581e+00      -1.738000353191e+00      -1.738000491034e+00      -2.313787421578e+00      -1.738014365878e+00      -1.738099612745e+00       8.101760397561e-06       8.789251038209e-06       8.789261021095e-06       8.088507753864e-06       8.788898477847e-06       8.789096123908e-06 
       9.981995773355e-05      -2.340919742259e+00      -1.760283568617e+00      -1.760283812310e+00      -2.340767896004e+00      -1.760292428932e+00      -1.760383649999e+00       1.046765517148e-05       1.169065571997e-05       1.169067336750e-05       1.044460372220e-05       1.169007133054e-05       1.169038074312e-05 
       1.133304117652e-04      -2.371532602150e+00      -1.786265346108e+00      -1.786265750462e+00      -2.371283090491e+00      -1.786266264011e+00      -1.786366226721e+00       1.304010463023e-05       1.507121774750e-05       1.507124700905e-05       1.300257515752e-05       1.507029103758e-05       1.507076175226e-05 
       1.271264456402e-04      -2.405631166662e+00      -1.816226874639e+00      -1.816227513531e+00      -2.405241260831e+00      -1.816216056107e+00      -1.816328469038e+00       1.576626058105e-05       1.896640356011e-05       1.896644973907e-05       1.570825304694e-05       1.896498612263e-05       1.896568587019e-05 
