# Matter power spectrum P(k) at redshift z=2.34
# for k=1.01561e-05 to 1.05973 h/Mpc,
# number of wavenumbers equal to 605
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.015609368729e-05       4.337717053658e+00 
       2.267738495258e-05       6.913023538417e+00 
       3.524028478471e-05       1.837620991835e+01 
       4.787672937341e-05       2.870087328587e+01 
       6.061915424492e-05       3.839023684151e+01 
       7.350076761246e-05       4.776599895871e+01 
       8.655583200561e-05       5.700083393195e+01 
       9.981995773355e-05       6.619866974442e+01 
       1.133304117652e-04       7.543045225875e+01 
       1.271264456402e-04       8.475038526872e+01 
       1.412496460389e-04       9.420388693403e+01 
       1.557443116070e-04       1.038318444379e+02 
       1.706578595195e-04       1.136730905141e+02 
       1.860412650193e-04       1.237659744128e+02 
       2.019495367172e-04       1.341494297580e+02 
       2.184422296999e-04       1.448637835124e+02 
       2.355839973340e-04       1.559513916235e+02 
       2.534451809383e-04       1.674571984680e+02 
       2.721024340162e-04       1.794292240987e+02 
       2.916393742733e-04       1.919190247429e+02 
       3.121472519096e-04       2.049821042923e+02 
       3.337256163710e-04       2.186783000964e+02 
       3.564829555671e-04       2.330721070778e+02 
       3.805372712503e-04       2.482329364210e+02 
       4.060165416992e-04       2.642352632220e+02 
       4.330590082029e-04       2.811586332964e+02 
       4.618132057437e-04       2.990874734053e+02 
       4.924376420576e-04       3.181106420252e+02 
       5.251000152722e-04       3.383206548707e+02 
       5.599758521444e-04       3.598125139123e+02 
       5.972464514297e-04       3.826820701441e+02 
       6.370960359960e-04       4.070238729676e+02 
       6.797080589132e-04       4.329284891576e+02 
       7.252606772999e-04       4.604793213295e+02 
       7.739215035022e-04       4.897490308718e+02 
       8.258418597443e-04       5.207957449205e+02 
       8.811508844514e-04       5.536593131087e+02 
       9.399499422174e-04       5.883579440524e+02 
       1.002307846501e-03       6.248855814411e+02 
       1.068257389337e-03       6.632103562693e+02 
       1.137793573208e-03       7.032743629124e+02 
       1.210873764755e-03       7.449948639649e+02 
       1.287419768020e-03       7.882668525358e+02 
       1.367321590988e-03       8.329623401327e+02 
       1.450442499057e-03       8.789460685755e+02 
       1.536624845535e-03       9.260721783875e+02 
       1.625696153194e-03       9.741882326949e+02 
       1.717474981267e-03       1.023140947756e+03 
       1.811776222945e-03       1.072779597817e+03 
       1.908415608988e-03       1.122958638582e+03 
       2.007213317364e-03       1.173539591807e+03 
       2.107996689827e-03       1.224392319131e+03 
       2.210602127094e-03       1.275395860601e+03 
       2.314876275387e-03       1.326438941276e+03 
       2.420676633735e-03       1.377420262246e+03 
       2.527871710617e-03       1.428248602314e+03 
       2.636340846821e-03       1.478842703045e+03 
       2.745973804322e-03       1.529130936836e+03 
       2.856670202240e-03       1.579050744167e+03 
