# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=2.34
# for k=1.01561e-05 to 1.05973 h/Mpc,
# number of wavenumbers equal to 605
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_ncdm[0]              7:d_tot                  8:t_g                    9:t_b                   10:t_cdm                 11:t_ur                  12:t_ncdm[0]             13:t_tot              
       1.015609368729e-05      -1.619131979219e+00      -1.214349031834e+00      -1.214349031840e+00      -1.619131976945e+00      -1.214645801489e+00      -1.214586001950e+00       8.527631166630e-08       8.529302985322e-08       8.529303244351e-08       8.527545031733e-08       8.529204760160e-08       8.529300320362e-08 
       2.267738495258e-05      -1.621078716697e+00      -1.215810560709e+00      -1.215810560941e+00      -1.621078652772e+00      -1.216107666759e+00      -1.216047814751e+00       4.245657781270e-07       4.252501806314e-07       4.252502605345e-07       4.245412532433e-07       4.252434213117e-07       4.252496134294e-07 
       3.524028478471e-05      -1.624517392983e+00      -1.218397217396e+00      -1.218397218835e+00      -1.624517014193e+00      -1.218694846618e+00      -1.218634969577e+00       1.022697229798e-06       1.026915194137e-06       1.026915673152e-06       1.022551724492e-06       1.026890913579e-06       1.026911970683e-06 
       4.787672937341e-05      -1.629465920920e+00      -1.222130988325e+00      -1.222130993317e+00      -1.629464625209e+00      -1.222429210055e+00      -1.222369449741e+00       1.880794303477e-06       1.895399085715e-06       1.895400730988e-06       1.880296615894e-06       1.895333070263e-06       1.895388207813e-06 
       6.061915424492e-05      -1.635952352127e+00      -1.227045622911e+00      -1.227045635838e+00      -1.635949019983e+00      -1.227344331591e+00      -1.227285000226e+00       3.000787613489e-06       3.038548283960e-06       3.038552524786e-06       2.999508437539e-06       3.038397721875e-06       3.038520476415e-06 
       7.350076761246e-05      -1.644014916792e+00      -1.233187209793e+00      -1.233187237830e+00      -1.644007721587e+00      -1.233486059085e+00      -1.233427703553e+00       4.385305824748e-06       4.467077596483e-06       4.467086769808e-06       4.382546050555e-06       4.466774079935e-06       4.467017737296e-06 
       8.655583200561e-05      -1.653702079409e+00      -1.240614984415e+00      -1.240615038410e+00      -1.653688268373e+00      -1.240913309417e+00      -1.240856786843e+00       6.037526098499e-06       6.194758464690e-06       6.194776100890e-06       6.032234729273e-06       6.194199765795e-06       6.194643770391e-06 
       9.981995773355e-05      -1.665072605650e+00      -1.249402402556e+00      -1.249402498092e+00      -1.665048241814e+00      -1.249699125981e+00      -1.249645694651e+00       7.960973275211e-06       8.238667206247e-06       8.238698368760e-06       7.951651659812e-06       8.237707400105e-06       8.238465091616e-06 
       1.133304117652e-04      -1.678195585430e+00      -1.259638489213e+00      -1.259638647878e+00      -1.678155239176e+00      -1.259932006460e+00      -1.259883436923e+00       1.015925394797e-05       1.061949964923e-05       1.061955134434e-05       1.014384252164e-05       1.061793706284e-05       1.061916516588e-05 
       1.271264456402e-04      -1.693150393594e+00      -1.271429517484e+00      -1.271429768434e+00      -1.693086770112e+00      -1.271717554250e+00      -1.271676266688e+00       1.263570674385e-05       1.336196026969e-05       1.336204194642e-05       1.261144981142e-05       1.335952260452e-05       1.336143300844e-05 
       1.412496460389e-04      -1.710026513671e+00      -1.284901048703e+00      -1.284901430592e+00      -1.709929999786e+00      -1.285180483124e+00      -1.285149718645e+00       1.539294539133e-05       1.649523605679e-05       1.649536022159e-05       1.535622870473e-05       1.649156186281e-05       1.649443637405e-05 
       1.557443116070e-04      -1.728923151005e+00      -1.300200390961e+00      -1.300200954334e+00      -1.728781261217e+00      -1.300467030046e+00      -1.300451065695e+00       1.843226471546e-05       2.005356758858e-05       2.005375056549e-05       1.837841966345e-05       2.004818304116e-05       2.005239198611e-05 
       1.706578595195e-04      -1.749948532400e+00      -1.317499541958e+00      -1.317500352236e+00      -1.749745229559e+00      -1.317747839194e+00      -1.317752259232e+00       2.175287221645e-05       2.407693239466e-05       2.407719526934e-05       2.167593937230e-05       2.406922202783e-05       2.407524784334e-05 
       1.860412650193e-04      -1.773218756512e+00      -1.336998695470e+00      -1.336999836687e+00      -1.772933617144e+00      -1.337221392564e+00      -1.337253432329e+00       2.535089909586e-05       2.861185860855e-05       2.861222840454e-05       2.524334268490e-05       2.860102826521e-05       2.860949555956e-05 
       2.019495367172e-04      -1.798856009364e+00      -1.358930398284e+00      -1.358931977779e+00      -1.798463197250e+00      -1.359118069072e+00      -1.359187052459e+00       2.921813512838e-05       3.371239030518e-05       3.371290145297e-05       2.907049876189e-05       3.369742005175e-05       3.370913407523e-05 
       2.184422296999e-04      -1.826985918822e+00      -1.383564473014e+00      -1.383566627334e+00      -1.826452922827e+00      -1.383704940779e+00      -1.383822838916e+00       3.334042035529e-05       3.944122943716e-05       3.944192561227e-05       3.314091321187e-05       3.942081350689e-05       3.943680958551e-05 
       2.355839973340e-04      -1.857733738977e+00      -1.411213823441e+00      -1.411216725782e+00      -1.857019822606e+00      -1.411291414288e+00      -1.411473561237e+00       3.769561723080e-05       4.587108352209e-05       4.587201994783e-05       3.742961903894e-05       4.584355346167e-05       4.586516075835e-05 
       2.534451809383e-04      -1.891218992691e+00      -1.442241276131e+00      -1.442245145734e+00      -1.890273293275e+00      -1.442235859283e+00      -1.442501871970e+00       4.225107662994e-05       5.308625211986e-05       5.308749845433e-05       4.190054958175e-05       5.304947812560e-05       5.307840219049e-05 
       2.721024340162e-04      -1.927548089314e+00      -1.477067610644e+00      -1.477072724670e+00      -1.926307295213e+00      -1.476953361527e+00      -1.477328325579e+00       4.696050944384e-05       6.118448978385e-05       6.118613374000e-05       4.650330626936e-05       6.113575366417e-05       6.117418368784e-05 
       2.916393742733e-04      -1.966804347665e+00      -1.516180967473e+00      -1.516187676018e+00      -1.965189872910e+00      -1.515924769052e+00      -1.516440771980e+00       5.176017991925e-05       7.027918660654e-05       7.028133848926e-05       5.116924054809e-05       7.021501774348e-05       7.026576639091e-05 
       3.121472519096e-04      -2.009034736770e+00      -1.560147816049e+00      -1.560156561132e+00      -2.006949306932e+00      -1.559707187781e+00      -1.560405306232e+00       5.656436482464e-05       8.050191111309e-05       8.050470949806e-05       5.580680093064e-05       8.041787410339e-05       8.048456041165e-05 
       3.337256163710e-04      -2.054232575945e+00      -1.609625692991e+00      -1.609637032547e+00      -2.051556139168e+00      -1.608946101592e+00      -1.609878983644e+00       6.126007617564e-05       9.200536087801e-05       9.200897970381e-05       6.029615530121e-05       9.189577996712e-05       9.198306930112e-05 
