# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       7.708442809719e-11       6.789939375551e-15       2.249212133494e-13       0.000000000000e+00       8.761462733078e-09       4.960426527083e-10      -2.339453592630e-12 
    3       1.088525926240e-10       1.198050845997e-14       5.155046991843e-13       0.000000000000e+00       5.371455893614e-09       3.349719031926e-10      -2.158969112604e-12 
    4       1.186071441082e-10       1.415962629097e-14       5.974253999972e-13       0.000000000000e+00       3.729368778303e-09       2.561240660092e-10      -1.740906962175e-12 
    5       1.194256311618e-10       1.315504163952e-14       5.760644053312e-13       0.000000000000e+00       2.781907383235e-09       2.054406144013e-10      -1.294974600719e-12 
    6       1.177698171269e-10       1.016909102247e-14       5.113716401061e-13       0.000000000000e+00       2.172435280167e-09       1.692885850471e-10      -8.841063034771e-13 
    7       1.158420532985e-10       6.743844013175e-15       4.331968069996e-13       0.000000000000e+00       1.752474827046e-09       1.421729049220e-10      -5.359993341174e-13 
    8       1.142980993936e-10       3.987120651990e-15       3.562033654211e-13       0.000000000000e+00       1.448141453615e-09       1.210731750040e-10      -2.623166099383e-13 
    9       1.133012432274e-10       2.309647680550e-15       2.880499414984e-13       0.000000000000e+00       1.219060376114e-09       1.044398596181e-10      -6.491283745710e-14 
   10       1.128239076804e-10       1.560977795709e-15       2.328078894527e-13       0.000000000000e+00       1.041592193540e-09       9.112432125070e-11       6.147538959789e-14 
   11       1.128041272278e-10       1.341938482029e-15       1.921070506522e-13       0.000000000000e+00       8.760091154960e-10       8.052652909811e-11       1.264636392314e-13 
   12       1.131306223016e-10       1.285602821324e-15       1.657354040246e-13       0.000000000000e+00       7.653577312081e-10       7.122646149948e-11       1.445397630502e-13 
   13       1.137675271689e-10       1.197048228942e-15       1.520591983350e-13       0.000000000000e+00       6.745477170633e-10       6.365972812489e-11       1.296843961553e-13 
   14       1.146278085036e-10       1.050151508641e-15       1.485672839254e-13       0.000000000000e+00       5.990107792220e-10       5.714762146469e-11       9.440666964027e-14 
   15       1.156903889432e-10       9.054986538260e-16       1.524077344888e-13       0.000000000000e+00       5.354398182091e-10       5.173846608294e-11       5.102550233970e-14 
   16       1.169054664946e-10       8.242570813035e-16       1.606707880081e-13       0.000000000000e+00       4.813981901779e-10       4.706509926965e-11       8.599775445374e-15 
   17       1.182653987300e-10       8.235032296765e-16       1.708182479132e-13       0.000000000000e+00       4.350462909769e-10       4.296178465720e-11      -2.656522002820e-14 
   18       1.197145562312e-10       8.757395195591e-16       1.810926924924e-13       0.000000000000e+00       3.948191560192e-10       3.939691917747e-11      -5.092484874032e-14 
   19       1.212636350615e-10       9.484714305093e-16       1.905343422676e-13       0.000000000000e+00       3.600789766185e-10       3.631072502157e-11      -6.363162477895e-14 
   20       1.228937621002e-10       1.008488052975e-15       1.983560191890e-13       0.000000000000e+00       3.294832692949e-10       3.354806527231e-11      -6.556729513031e-14 
