# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       7.708492509212e-11       6.790191552728e-15       2.249212081681e-13       2.521771462923e-19       8.761462733078e-09       4.960426527083e-10      -2.339453592630e-12 
    3       1.088535838754e-10       1.198101304206e-14       5.155046761387e-13       5.045817910073e-19       5.371455893614e-09       3.349719031926e-10      -2.158969112604e-12 
    4       1.186087901912e-10       1.416046775970e-14       5.974253339496e-13       8.414672261018e-19       3.729368778303e-09       2.561240660092e-10      -1.740906962175e-12 
    5       1.194280892282e-10       1.315630475952e-14       5.760642553508e-13       1.263114886833e-18       2.781907383235e-09       2.054406144013e-10      -1.294974600719e-12 
    6       1.177732402375e-10       1.017086089477e-14       5.113713463228e-13       1.769858451431e-18       2.172435280167e-09       1.692885850471e-10      -8.841063034771e-13 
    7       1.158465898720e-10       6.746206118014e-15       4.331962879344e-13       2.362072830828e-18       1.752474827046e-09       1.421729049220e-10      -5.359993341174e-13 
    8       1.143038927830e-10       3.990160879564e-15       3.562025158463e-13       3.040161966580e-18       1.448141453615e-09       1.210731750040e-10      -2.623166099383e-13 
    9       1.133084314338e-10       2.313452348914e-15       2.880486308538e-13       3.804545918652e-18       1.219060376114e-09       1.044398596181e-10      -6.491283745710e-14 
   10       1.128326232058e-10       1.565633655213e-15       2.328059608223e-13       4.655647751265e-18       1.041592193540e-09       9.112432125070e-11       6.147538959789e-14 
   11       1.128144970671e-10       1.347532706261e-15       1.921043202840e-13       5.593880730939e-18       8.760091154960e-10       8.052652909811e-11       1.264636392314e-13 
   12       1.131427680654e-10       1.292222984927e-15       1.657316613523e-13       6.619636335850e-18       7.653577312081e-10       7.122646149948e-11       1.445397630502e-13 
   13       1.137815653252e-10       1.204782273099e-15       1.520542064452e-13       7.733273540457e-18       6.745477170633e-10       6.365972812489e-11       1.296843961553e-13 
   14       1.146438507243e-10       1.059087695399e-15       1.485607803948e-13       8.935109785240e-18       5.990107792220e-10       5.714762146469e-11       9.440666964027e-14 
   15       1.157085425343e-10       9.157255107995e-16       1.523994325066e-13       1.022541397076e-17       5.354398182091e-10       5.173846608294e-11       5.102550233970e-14 
   16       1.169258348895e-10       8.358633385605e-16       1.606603776915e-13       1.160440173082e-17       4.813981901779e-10       4.706509926965e-11       8.599775445374e-15 
   17       1.182880820211e-10       8.365777508463e-16       1.708053977213e-13       1.307223314477e-17       4.350462909769e-10       4.296178465720e-11      -2.656522002820e-14 
   18       1.197396517270e-10       8.903712284012e-16       1.810770506940e-13       1.462901175431e-17       3.948191560192e-10       3.939691917747e-11      -5.092484874032e-14 
   19       1.212912377761e-10       9.647492407671e-16       1.905155380965e-13       1.627479319543e-17       3.600789766185e-10       3.631072502157e-11      -6.363162477895e-14 
   20       1.229239653342e-10       1.026500788777e-15       1.983336643655e-13       1.800957712422e-17       3.294832692949e-10       3.354806527231e-11      -6.556729513031e-14 
   21       1.246382203529e-10       1.078823152009e-15       2.045735030074e-13       1.983333173742e-17       3.025507730654e-10       3.105064424116e-11      -5.889787636837e-14 
   22       1.264093035949e-10       1.140003156375e-15       2.096509360660e-13       2.174598413193e-17       2.786372344942e-10       2.875977689036e-11      -4.698596585181e-14 
   23       1.282416761093e-10       1.229010811909e-15       2.140157846641e-13       2.374744947944e-17       2.574139073377e-10       2.668631163951e-11      -3.275649154442e-14 
   24       1.301273870812e-10       1.363800998611e-15       2.181937032034e-13       2.583762133954e-17       2.383900210497e-10       2.483767750796e-11      -1.927509600348e-14 
   25       1.320678211486e-10       1.544547450910e-15       2.226344049792e-13       2.801640570553e-17       2.213414405227e-10       2.319488308263e-11      -8.382271028207e-15 
   26       1.340503364142e-10       1.764170350026e-15       2.277271092046e-13       3.028370915035e-17       2.059590909245e-10       2.171386002488e-11      -1.422173065190e-15 
   27       1.360653428020e-10       2.016408960671e-15       2.334986125550e-13       3.263946867749e-17       1.920582897277e-10       2.037170887011e-11       1.412579035181e-15 
   28       1.380961431775e-10       2.295084348892e-15       2.397925756417e-13       3.508364415238e-17       1.793993338838e-10       1.914346481281e-11       5.153244209484e-16 
   29       1.401540377998e-10       2.599770379926e-15       2.463182437563e-13       3.761625276876e-17       1.679176867134e-10       1.802569302745e-11      -3.291188704834e-15 
   30       1.422485489611e-10       2.931722776236e-15       2.526513586002e-13       4.023734972462e-17       1.574902148478e-10       1.701138685930e-11      -8.756483659630e-15 
   31       1.443783902170e-10       3.291583342175e-15       2.582882522991e-13       4.294702814381e-17       1.479043613842e-10       1.608342877290e-11      -1.442316396049e-14 
   32       1.465454717286e-10       3.677257051595e-15       2.628480717953e-13       4.574544226143e-17       1.391106439909e-10       1.523006277517e-11      -1.944241457937e-14 
   33       1.487433650897e-10       4.085139848662e-15       2.659353173236e-13       4.863280108887e-17       1.310468369327e-10       1.443320825121e-11      -2.303807261710e-14 
   34       1.509592158465e-10       4.512134029916e-15       2.671708256420e-13       5.160936233167e-17       1.236000550920e-10       1.367177239403e-11      -2.450136182651e-14 
   35       1.531983074637e-10       4.960996412770e-15       2.664983009710e-13       5.467541471254e-17       1.167322394563e-10       1.295077593163e-11      -2.393726649310e-14 
   36       1.554664035303e-10       5.436931228520e-15       2.639876037500e-13       5.783129714471e-17       1.103883816315e-10       1.228166693277e-11      -2.179014219863e-14 
   37       1.577644208343e-10       5.945297335819e-15       2.597494550869e-13       6.107738412691e-17       1.044860123313e-10       1.167247255458e-11      -1.860836253711e-14 
   38       1.600951341986e-10       6.488301218690e-15       2.539070598768e-13       6.441400465155e-17       9.900993046262e-11       1.112111504257e-11      -1.487105986579e-14 
   39       1.624574982991e-10       7.067254847200e-15       2.466205765581e-13       6.784150166971e-17       9.394279676740e-11       1.061931503387e-11      -1.111914608052e-14 
   40       1.648440316472e-10       7.683457417673e-15       2.380985185599e-13       7.136025679816e-17       8.923631609213e-11       1.015387675375e-11      -8.011088772525e-15 
   41       1.672448862625e-10       8.337979775795e-15       2.285363980915e-13       7.497065295756e-17       8.482807317917e-11       9.710506553879e-12      -6.155687666021e-15 
   42       1.696631924997e-10       9.030940510775e-15       2.179015419518e-13       7.867294205933e-17       8.070512361543e-11       9.287709700050e-12      -5.527447117056e-15 
   43       1.721036294934e-10       9.761989145500e-15       2.060831927310e-13       8.246733816726e-17       7.685655832069e-11       8.886754990356e-12      -5.873130851833e-15 
   44       1.745678330150e-10       1.053048106890e-14       1.929493265721e-13       8.635405307923e-17       7.325442101783e-11       8.507750964868e-12      -6.865197115324e-15 
   45       1.770555141362e-10       1.133573411265e-14       1.783581946702e-13       9.033326017137e-17       6.986370293940e-11       8.150069411685e-12      -8.150053620498e-15 
   46       1.795689638281e-10       1.217793126950e-14       1.622005479728e-13       9.440497403048e-17       6.667908868951e-11       7.814011550342e-12      -9.521202979381e-15 
   47       1.821093538196e-10       1.305745788303e-14       1.443675199324e-13       9.856913412198e-17       6.369688706271e-11       7.499463347644e-12      -1.078979253274e-14 
   48       1.846751873437e-10       1.397464910276e-14       1.247379914561e-13       1.028256349880e-16       6.090394742005e-11       7.205339867356e-12      -1.173446297624e-14 
   49       1.872620637046e-10       1.492978805725e-14       1.031778616415e-13       1.071743237693e-16       5.827695612796e-11       6.929511807253e-12      -1.209965736229e-14 
   50       1.898649720600e-10       1.592309853631e-14       7.957585234673e-14       1.116149942744e-16       5.578946222910e-11       6.669382572301e-12      -1.167881036980e-14 
   51       1.924864529785e-10       1.695472493474e-14       5.396407125552e-14       1.161473730377e-16       5.343683493151e-11       6.423974591673e-12      -1.059445979547e-14 
   52       1.951302452852e-10       1.802474370650e-14       2.642891371596e-14       1.207711251939e-16       5.121686439924e-11       6.192282323689e-12      -9.091245166402e-15 
   53       1.977988368215e-10       1.913316634375e-14      -2.921644373631e-15       1.254858550215e-16       4.912229283987e-11       5.972629382419e-12      -7.459921542702e-15 
   54       2.004933480353e-10       2.027993729150e-14      -3.395705658942e-14       1.302911033027e-16       4.714047467197e-11       5.762625688199e-12      -6.039662884833e-15 
   55       2.032141396887e-10       2.146496904808e-14      -6.655523829286e-14       1.351863980644e-16       4.525723743321e-11       5.559882571388e-12      -5.138036606245e-15 
   56       2.059630794580e-10       2.268826245519e-14      -1.007069590879e-13       1.401714276112e-16       4.347036620369e-11       5.364464278102e-12      -4.762370295852e-15 
   57       2.087416345032e-10       2.394981263779e-14      -1.364356496717e-13       1.452459058525e-16       4.177887375941e-11       5.176970416896e-12      -4.825685251224e-15 
   58       2.115501104031e-10       2.524957381366e-14      -1.737679037076e-13       1.504095221383e-16       4.017892098940e-11       4.997818334019e-12      -5.222293875189e-15 
   59       2.143875629564e-10       2.658745865679e-14      -2.127337354708e-13       1.556619406983e-16       3.866364072828e-11       4.827229794584e-12      -5.826895427046e-15 
   60       2.172517099839e-10       2.796333766085e-14      -2.533668374952e-13       1.610028000818e-16       3.722296158902e-11       4.665217663720e-12      -6.493671773774e-15 
   61       2.201401258496e-10       2.937697902294e-14      -2.956983260810e-13       1.664317893712e-16       3.584640641639e-11       4.511621771802e-12      -7.086728485338e-15 
   62       2.230543378728e-10       3.082785396692e-14      -3.397357544251e-13       1.719488980853e-16       3.453262021074e-11       4.366256048549e-12      -7.581448347794e-15 
   63       2.259964970749e-10       3.231528639434e-14      -3.854798245223e-13       1.775542216300e-16       3.328167796983e-11       4.228770930536e-12      -7.984386662830e-15 
   64       2.289681300381e-10       3.383850603433e-14      -4.329305336299e-13       1.832478913108e-16       3.209221862107e-11       4.098595566023e-12      -8.304021923147e-15 
   65       2.319700914073e-10       3.539664591979e-14      -4.820872252891e-13       1.890300762085e-16       3.096136323665e-11       3.974926056684e-12      -8.550846127731e-15 
   66       2.350025163910e-10       3.698873986357e-14      -5.329486403457e-13       1.949009850542e-16       2.988463324865e-11       3.856713699344e-12      -8.737455097128e-15 
   67       2.380647732626e-10       3.861371993467e-14      -5.855129679717e-13       2.008608681049e-16       2.885586866415e-11       3.742653227715e-12      -8.878638788722e-15 
   68       2.411560513330e-10       4.027052358842e-14      -6.397752558209e-13       2.069100078350e-16       2.786887430349e-11       3.631522199542e-12      -8.989192087479e-15 
   69       2.442773693875e-10       4.195844590570e-14      -6.957189170758e-13       2.130486846311e-16       2.692292867839e-11       3.523305297022e-12      -9.076630188937e-15 
   70       2.474298907519e-10       4.367685452070e-14      -7.533225862549e-13       2.192772074833e-16       2.601824956440e-11       3.418277762912e-12      -9.147152625376e-15 
   71       2.506142931436e-10       4.542508655755e-14      -8.125625915887e-13       2.255959261139e-16       2.515432782655e-11       3.316671684118e-12      -9.207823631068e-15 
   72       2.538307374252e-10       4.720244891098e-14      -8.734129384998e-13       2.320052325668e-16       2.432988982942e-11       3.218673214139e-12      -9.266604157702e-15 
   73       2.570788363584e-10       4.900821852693e-14      -9.358452930827e-13       2.385055627967e-16       2.354285984726e-11       3.124419795501e-12      -9.332383889788e-15 
   74       2.603576233578e-10       5.084164268318e-14      -9.998289655834e-13       2.450973982583e-16       2.279032247402e-11       3.033997382189e-12      -9.415013260080e-15 
   75       2.636655212444e-10       5.270193927002e-14      -1.065330893879e-12       2.517812674957e-16       2.206848503351e-11       2.947437662085e-12      -9.525335464990e-15 
   76       2.670010208585e-10       5.458815750591e-14      -1.132314130499e-12       2.585576516807e-16       2.137361964663e-11       2.864722687876e-12      -9.671872809051e-15 
   77       2.703649288335e-10       5.649873014123e-14      -1.200733021685e-12       2.654266778287e-16       2.070517085679e-11       2.785805884583e-12      -9.850117355717e-15 
   78       2.737584748509e-10       5.843183972718e-14      -1.270537115109e-12       2.723883722666e-16       2.006314903455e-11       2.710589844376e-12      -1.005133646744e-14 
   79       2.771826217243e-10       6.038554839711e-14      -1.341672531903e-12       2.794427513463e-16       1.944718377563e-11       2.638916674787e-12      -1.026570922870e-14 
   80       2.806380487096e-10       6.235779528517e-14      -1.414081919448e-12       2.865898210650e-16       1.885650639971e-11       2.570565373053e-12      -1.048228985568e-14 
   81       2.841251348149e-10       6.434639394513e-14      -1.487704404172e-12       2.938295766842e-16       1.828993244911e-11       2.505249200475e-12      -1.068897110605e-14 
   82       2.876439421107e-10       6.634902976909e-14      -1.562475544341e-12       3.011620023497e-16       1.774584418760e-11       2.442613056765e-12      -1.087244768865e-14 
   83       2.911941990395e-10       6.836325740621e-14      -1.638327282854e-12       3.085870707111e-16       1.722217309911e-11       2.382230854404e-12      -1.101817967321e-14 
   84       2.947755590161e-10       7.038673008264e-14      -1.715194861638e-12       3.161047571378e-16       1.671690301684e-11       2.323700754096e-12      -1.111345478918e-14 
   85       2.983884620426e-10       7.241793689529e-14      -1.793038985272e-12       3.237150859078e-16       1.622971368062e-11       2.266954762659e-12      -1.115723876724e-14 
   86       3.020333859944e-10       7.445558358141e-14      -1.871827262156e-12       3.314180910142e-16       1.576057882568e-11       2.211995884550e-12      -1.115189848182e-14 
   87       3.057105721451e-10       7.649837278174e-14      -1.951527638359e-12       3.392138021166e-16       1.530926115561e-11       2.158803857645e-12      -1.110026351595e-14 
   88       3.094200131033e-10       7.854500535676e-14      -2.032108467412e-12       3.471022444064e-16       1.487530359118e-11       2.107334172320e-12      -1.100564165310e-14 
   89       3.131614407488e-10       8.059418170291e-14      -2.113538580107e-12       3.550834384716e-16       1.445802051920e-11       2.057517090527e-12      -1.087183436914e-14 
   90       3.169343141698e-10       8.264460306885e-14      -2.195787354289e-12       3.631574001618e-16       1.405648904136e-11       2.009256664870e-12      -1.070315232421e-14 
   91       3.207378075996e-10       8.469497287167e-14      -2.278824784652e-12       3.713241404528e-16       1.366954022305e-11       1.962429757680e-12      -1.050443085458e-14 
   92       3.245707983528e-10       8.674399801318e-14      -2.362621552537e-12       3.795836653124e-16       1.329575034222e-11       1.916885060096e-12      -1.028104546459e-14 
   93       3.284322120448e-10       8.879029202566e-14      -2.447142246336e-12       3.879360892369e-16       1.293377894894e-11       1.872485248995e-12      -1.003834627852e-14 
   94       3.323221438415e-10       9.083206498719e-14      -2.532323704731e-12       3.963819956891e-16       1.258346021277e-11       1.829242841215e-12      -9.779830448757e-15 
   95       3.362408843266e-10       9.286738918618e-14      -2.618093530166e-12       4.049221308733e-16       1.224486029785e-11       1.787203053259e-12      -9.508722241681e-15 
   96       3.401885701816e-10       9.489429310548e-14      -2.704376624117e-12       4.135572962991e-16       1.191794124016e-11       1.746402100451e-12      -9.228537001504e-15 
   97       3.441651770277e-10       9.691076139103e-14      -2.791095162863e-12       4.222883502070e-16       1.160255695703e-11       1.706866808154e-12      -8.943088666331e-15 
   98       3.481705122662e-10       9.891473482059e-14      -2.878168573260e-12       4.311162089932e-16       1.129844925653e-11       1.668614222997e-12      -8.656497284209e-15 
   99       3.522042079201e-10       1.009041102723e-13      -2.965513508522e-12       4.400418486358e-16       1.100524384697e-11       1.631651224095e-12      -8.373196529179e-15 
  100       3.562657134747e-10       1.028767406936e-13      -3.053043823991e-12       4.490663061193e-16       1.072244634634e-11       1.595974134273e-12      -8.097941217331e-15 
  101       3.603542887189e-10       1.048304350695e-13      -3.140670552913e-12       4.581906808604e-16       1.044943829177e-11       1.561568331289e-12      -7.835814822846e-15 
  102       3.644689965865e-10       1.067629583917e-13      -3.228301882212e-12       4.674161361332e-16       1.018547314896e-11       1.528407859058e-12      -7.592236994057e-15 
